machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,25730000000,7925490,12186376000,6000000,299630,-1,-1,-1,-1,-1,-1,547464,3094742,74191380000,0.06122949
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,25814000000,3909139,12178975000,6000000,578134140,-1,-1,-1,-1,-1,-1,538284,3094742,73519060000,0.0750075
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,3195266,926864,4000000,582931840,-1,-1,-1,-1,-1,-1,541372,3095720,75912086000,0.09746817
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,43693203000,12489619000,4000000,551831230,-1,-1,-1,-1,-1,-1,538308,3095720,74892720000,0.09746817
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,44250330000,12735248000,12000000,600341440,-1,-1,-1,-1,-1,-1,538332,3096696,75900330000,0.095142856
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,6000000,7789445,12793974000,6000000,557509500,-1,-1,-1,-1,-1,-1,538308,3096696,76752210000,0.09746817
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,45647864000,13128906000,2000000,592517250,-1,-1,-1,-1,-1,-1,541336,3097672,79179250000,0.09293888
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,3850509,13116078000,6000000,625817900,-1,-1,-1,-1,-1,-1,544448,3097672,80490310000,0.09293888
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,12000000,47262118000,13548164000,4000000,598614460,-1,-1,-1,-1,-1,-1,547476,3098587,82426190000,0.09082231
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,28528000000,46518227000,13461717000,8000000,2115785600,-1,-1,-1,-1,-1,-1,542880,3098587,82500910000,0.113596074
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,29214000000,3802931,13741751000,8000000,581486140,-1,-1,-1,-1,-1,-1,538296,3099563,11183934000,0.074
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,47585160000,13720946000,6000000,615696700,-1,-1,-1,-1,-1,-1,539433,3099563,83752150000,0.0888
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,49880584000,14251742000,6000000,613335740,-1,-1,-1,-1,-1,-1,547488,3100539,85583160000,0.23400995
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,48719370000,14112124000,8000000,617957000,-1,-1,-1,-1,-1,-1,544424,3100539,87040230000,0.23910774
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,1,14547734000,2000000,636912900,-1,-1,-1,-1,-1,-1,547464,3101454,88371260000,0.29784247
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,30818000000,3961979,14455465000,6000000,687028030,-1,-1,-1,-1,-1,-1,541360,3101454,85981560000,0.2765224
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,31414000000,3919770,14720858000,1.15328E+11,692170560,-1,-1,-1,-1,-1,-1,539828,3102308,88124890000,0.291625
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,6000000,3954146,14769556000,4000000,726823100,-1,-1,-1,-1,-1,-1,539481,3102308,90201490000,0.291625
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,52330627000,15092492000,8000000,306720,-1,-1,-1,-1,-1,-1,544448,3103223,90751295000,0.3199328
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,32022000000,52133540000,15311009000,8000000,710801300,-1,-1,-1,-1,-1,-1,539872,3103223,92507030000,0.32647562
