machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,2096000000.0,2438000000.0,1322000000.0,12104000000.0,86000000.0,120000000.0,52000000.0,56000000.0,2060.0,229350620.0,6306913.0,105137.0,2208120.0,924000000.0,1.0
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,406062500.0,980562500.0,444562500.0,3187625000.0,2000000.0,2125000.0,0.0,0.0,1144.9688,104723350.0,40674404.0,105841.78,2107371.5,20500000.0,1.2004802
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,2474000000.0,2902000000.0,1640000000.0,14612000000.0,204000000.0,210000000.0,80000000.0,80000000.0,2055.0,166003150.0,2307648.0,105137.0,2208120.0,3044000000.0,0.79951984
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,385437500.0,659000000.0,298625000.0,2238562600.0,4000000.0,6000000.0,0.0,0.0,1166.5938,33401604.0,46080080.0,105873.78,2107372.5,45312500.0,1.0
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,4654000000.0,4340000000.0,2454000000.0,24166000000.0,272000000.0,330000000.0,130000000.0,134000000.0,2046.0,354784450.0,4881012.0,105137.0,2208121.0,3488000000.0,0.62490624
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,801125000.0,1328312400.0,598875000.0,4537125000.0,6000000.0,8000000.0,1875000.0,2000000.0,1044.4375,88487710.0,92502660.0,105841.78,2107371.5,109687500.0,1.2004802
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,8934000000.0,7916000000.0,4508000000.0,45514000000.0,450000000.0,546000000.0,280000000.0,264000000.0,2048.0,585003140.0,5284654.0,105137.0,2208120.0,3888000000.0,0.7332
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,1524750000.0,2133812500.0,949375000.0,7472125000.0,11812500.0,16000000.0,3812500.0,4000000.0,1050.8125,98345450.0,176891180.0,105841.78,2107371.5,265312500.0,1.333
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,15458000000.0,13818000000.0,7902000000.0,79258000000.0,944000000.0,1102000000.0,484000000.0,458000000.0,2038.0,1045874300.0,10486772.0,105138.0,2208131.0,9072000000.0,0.48007682
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,2735562500.0,3926250000.0,1771750000.0,13742875000.0,20000000.0,29562500.0,6000000.0,8000000.0,1055.6562,207008420.0,320639420.0,105873.81,2107372.8,471375000.0,2.0
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,18512000000.0,15280000000.0,8836000000.0,91278000000.0,1766000000.0,1346000000.0,700000000.0,664000000.0,2036.0,1065501950.0,3383707.0,105137.0,2208131.0,14652000000.0,0.21618554
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,3473750000.0,4248812500.0,1870625000.0,15051813000.0,31875000.0,48000000.0,15625000.0,18000000.0,1069.7188,80723620.0,510971840.0,105841.78,2107371.8,864562500.0,2.8584905
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,52000000.0,100000000.0,50000000.0,410000000.0,0.0,2000000.0,0.0,0.0,2226.0,19185656.0,513189.0,105137.0,2208098.0,6000000.0,25.096386
ruby,-0.4199651,0.26422864,-0.10638443,-0.69416475,1.6971872,0.5015343,0.6657362,1.331731,1.2854857,0.8525866,1.6081797,2.0782447,1.2553543,-0.049236577,-0.25470966,1.0,52375000.0,109437500.0,42937500.0,320000000.0,,,,,1176.5,8018199.5,12140099.0,105873.78,2107371.8,0.0,2.0
