machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,338750000,873982140,129053570,1991053600,20964286,2125000,0,0,0.4375,85097096,14434352,954.8393,19700.49,79553570,1.666
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,367571420,1221375000,196839280,2717107200,43410716,6232143,178571.42,17857.143,0.48214287,154933230,25901012,953.7321,19700.527,130142856,1.5015016
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,420446430,996535740,145250000,2300910600,20732142,2125000,0,0,4.339286,114853550,37772240,955.9286,19701.178,77821430,1.5015016
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,334982140,714446400,97964290,1652285700,23571428,2107142.8,4553571.5,232142.86,0.4375,55457020,40558930,955.9464,19701.188,171107140,1
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,34911500000,72409735000,9245571000,1.66E+11,2619000000,334892860,466178560,126446430,3.8035715,2486610400,1651580000,971.4554,19699.365,19859892000,1.4615384
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,2.74E+11,7.59E+11,1.08E+11,1.67E+12,43201000000,5255803400,10514571000,2118053600,3.830357,44307517000,25359469000,971.4107,19701.035,3.28E+11,1.6442983
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,41140142000,81098120000,10153464000,1.88E+11,2635553500,332071420,489642850,126875000,351.92856,2628856600,1683863600,7089.991,20454.678,19417178000,1.3757154
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,2.43E+11,7.17E+11,1.04E+11,1.56E+12,43236893000,5242375000,10534035000,2116946400,1463.3214,44557940000,25423542000,7092.652,23001.865,3.32E+11,1.6701208
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,196428.58,232142.86,17857.143,625000,0,0,0,0,4.285714,766.1429,576.1696,943.8571,19695.215,0,1
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,758821440,1331964300,157589280,3159982000,30303572,3392857.2,4125000,71428.57,4.339286,45465356,29213790,943.8661,19700.785,243535710,1.2004802
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,7549339000,23154518000,3624107300,51649073000,753357100,112839290,28071428,24839286,5.830357,2695861200,433337860,943.7768,19701.053,2028964200,2
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,4670803500,16366108000,2646125000,35322106000,1249392900,193071420,221750000,53982144,3.892857,907212860,672476000,952.9732,19700.143,6262982000,1.5227056
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,10628946000,24929930000,4030839300,56881037000,904339260,432375000,30285714,13785714,4.241071,1373435400,295478940,952.0357,19701.553,1546482200,1.4390458
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,9667464000,39562050000,6845321000,84382160000,2950321400,514553570,592678600,141767860,7.125,2254861600,1708059600,952.0446,19700.607,16989607000,1.5195882
Ruby,0.16216227,-0.66959566,0.048649866,-1.1890239,-0.29255062,0.077191606,1.2887609,-0.18412745,1.1753095,-0.50632054,-2.031515,-0.77271295,-2.2459524,0.9118497,-0.061914798,1,10481500000,57771840000,10728518000,1.24E+11,2801875000,732357100,142089280,89910710,3.267857,8786590000,1480495600,952.0268,19700.607,7863446500,1.7558082
