machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
boraxo,-0.46054792,-0.14854547,-0.15549058,0.14419653,-0.6070862,-0.44318783,-0.3918143,0.7977317,-0.14632703,0.03396684,0.08774510325,0.17309809712500002,0.37408268175,0.100927439375,0.199498189875,0.09083290575,0.153035901375,0.128437334875,0.12450973625,0.147851726875,0.153337672,0.124555084375,0.016892234487,0.0383510981875,0.16309946725000002,0.1591608105,0.049594641875,0.230021529375,0.170723602375,0.1888870235,0.189889398,0.186865599125,0.25698798375,0.158691968375,0.18577358387499998,0.19612251,0.028542772124999997,0.15097455975000001,0.04926903225,0.045526425375,0.19017209824999998,0.071237534125,0.17529000125,0.167306895375,0.038584486875000004,0.07790301499999999,0.207515006875,0.1548747385,0.17893258274999999,0.168078139375,0.0666888555,0.149724365125,0.18420293037500002,0.1000952745,0.17733281375,0.146027233875,0.14382275525,0.16858429575,0.169436324625,0.178732896875,0.159400315375,0.116167203875,0.039262867125,0.19495017175,0.19638611425,0.13212217,0.371720679375,0.16527099475,0.194326353625,0.205945644,1.0,1.0,0.0535427326875,0.1914768675,0.193694531875
catalyst,-1.2058963000000003,-0.7154663999999998,0.36875337,-0.4969361,0.25157505,0.48446575,0.8237849,-0.52391815,-0.9400666400000001,1.0156966,0.059383754571428575,0.2384475462857143,0.42856734714285716,0.2601909765714286,0.18153343971428573,0.24971354642857144,0.2820636142857143,0.25653566014285717,0.25340644,0.24013248857142858,0.29005343285714286,0.2614992994285714,0.010660470642857144,0.2547421871428571,0.18598325057142856,0.170371562,0.25623825285714286,0.37028473857142863,0.2710548842857143,0.23800537542857142,0.16176201099999998,0.23653504057142857,0.3324785757142857,0.2516606338571429,0.2770405107142857,0.3072233585714286,0.2444545802857143,0.2700909542857143,0.25590308557142855,0.2550481468571429,0.252653495,0.25645660800000003,0.2590304042857143,0.23342922842857144,0.2558221975714286,0.2687799157142857,0.2414025442857143,0.2535050462857143,0.24050580242857142,0.2444498334285714,0.2562085704285714,0.24634691257142857,0.23397521757142856,0.11253734685714287,0.23292859900000001,0.24455058857142856,0.23964988285714287,0.2516717238571428,0.24693979357142856,0.2993361885714286,0.28133340285714287,0.08700654399999999,0.016330705857142858,0.20299976428571428,0.20229057042857143,0.24466449257142855,0.44273613,0.2880117942857143,0.2525569598571429,0.1708454761428571,0.1668967,0.26306266,0.04866842185714286,0.24397115714285714,0.23176314271428572
corona,1.0408914,-1.1583959,1.1656545,-0.3333092,-0.6166714,0.8284893,0.8488228,-1.6858428,0.16380566,0.7323929,0.0,0.023578044,0.014811782,0.016568782,0.007365967,0.007292115,0.007932321,0.013944308,0.013921403,0.00537458,0.009348956,0.019449603,0.8822206,0.39331514,0.11566608,1.0,0.19590645,0.016291603,0.013661965,0.012760954,0.009570656,0.012653387,0.013807891,0.012623898,0.009671693,0.0113867335,0.003363303,0.01277002,0.00054958,0.00053009,0.0685292,0.059615027,0.017617783,0.011254378,0.000558663,0.053681802,0.4919452,0.014312078,0.01356773,0.011669047,0.062198043,0.012512207,0.012326491,1.0,0.012273468,0.012215487,,0.004612117,,0.00959131,0.015192556,0.02236412,,0.012776466,0.012535657,,0.014982298,0.01128584,0.006017407,,,,1.0,0.05793579,0.023289058
ec2-c5n,-1.2889231,-0.27854332,0.65581614,0.37851998,0.54487103,-2.3841705,2.1654246,0.4165561,0.17548579,-0.6695178,0.08774510325,0.16759832025,0.26626324125,0.09747311087499999,0.145785910125,0.1845487535,0.13415880375,0.22295118625,0.18676049637499997,0.213986233,0.13721332625,0.199182327875,0.007978804375,0.059667868,0.2663587925,0.155804758,0.06624048,0.212289548875,0.16914783475,0.16855582012499998,0.12199029362500001,0.16624040475000001,0.2138790395,0.152796546375,0.13922614649999998,0.1835827075,0.036533644875,0.147588380625,0.032901991125,0.030296526875,0.1369189425,0.05073536,0.174416097125,0.152285102,0.028734821625,0.058681069625,0.20969798,0.150604572,0.169856730375,0.152642975625,0.0467834654375,0.14519619312499998,0.16502569350000001,0.100546622,0.159742784875,0.14222922775,0.19640521175,0.119240720125,0.164410014625,0.10945078325,0.161017612125,0.09530256887500001,0.0300860706875,0.133212136625,0.133083116375,0.17785096475,0.24642322125,0.15891075475,0.1454685715,0.14659502024999999,0.07685426,0.25186637,0.06835999825,0.15393606987500003,0.163766698875
ec2-c6a,-1.2214108,1.0770084,1.4029433,-1.5361307,0.598874,-1.672665,0.5247097,-0.78355306,0.7031711,-0.27504092,0.19068627575,0.0760222936875,0.09135240775,0.081239617625,0.12423204337499999,0.1400341893125,0.063118670875,0.160683012875,0.1473264969375,0.1303946539375,0.06742589674999999,0.124077223125,0.018333434,0.05366010725,0.28945825625,0.110736753125,0.07931841,0.11415684125,0.09514291562499999,0.06551320975,0.0616684475,0.069255404125,0.14038290450000002,0.07315986275,0.08330237875,0.098608729875,0.02524372425,0.06796988837500001,0.014797779625,0.0143516645,0.1154787505,0.02052172275,0.098077824375,0.0606551695,0.014987338499999999,0.05579796725,0.121284283125,0.10833470437500001,0.07202416975,0.07278377625,0.020729899125,0.070100784625,0.0595732535,0.054798426875,0.063993416,0.06385248962500001,0.130939164,0.087755233875,0.125805087375,0.059649707499999996,0.1013574365,0.112876797625,0.05509020975,0.07715265375,0.08939871375000001,0.112468709375,0.0887690933125,0.0776591685,0.1015153415,0.092340076625,0.13477194,0.18180251,0.0507024619375,0.092774228875,0.079599489125
ec2-c6i,-1.2593303,0.34661093000000004,1.298596,0.7157667,0.4068904,0.76383126,0.06412912,0.9081281,-0.020901674,-0.02251133,0.13781512657142855,0.12221710614285712,0.2230524577142857,0.07874983757142857,0.15143951914285717,0.18108469314285713,0.10127948799999999,0.19025231442857143,0.18896005771428573,0.17492801314285716,0.10402094892857143,0.1726659654285714,0.00617051601,0.055955672285714284,0.2660644542857143,0.11537777757142856,0.069069177,0.13671512057142857,0.13680883242857142,0.12063425857142855,0.13061673199999999,0.11830427885714287,0.15178875285714286,0.11381378971428571,0.10774809,0.1446834254285714,0.029743631714285713,0.11698044957142859,0.018634856,0.017935874857142858,0.12902618414285713,0.028703401142857143,0.11527323199999999,0.10085643557142857,0.017664335714285714,0.030363462285714286,0.14526657442857144,0.10727390657142857,0.12279419957142856,0.10409701364285714,0.02830395757142857,0.10688826714285714,0.11776675299999999,0.08134862142857144,0.11470284714285714,0.10504912328571428,0.16078436585714284,0.11238178928571428,0.1468658377142857,0.08986497114285714,0.12742430485714284,0.09707651299999999,0.021689094142857142,0.120640957,0.12049231671428572,0.14628145307142856,0.24048594714285715,0.1297255647142857,0.13925171214285714,0.14016893757142856,0.107926466,0.15678439,0.07012627942857143,0.1414154487142857,0.11437902742857142
ec2-p3,-0.14094672,-0.36238718,0.516059,-0.81406516,0.44861567,-0.5637373,-1.1975621,1.9190687,-1.1078154,0.0036068857,0.0,0.020089414,0.010503906,0.005030643,0.001262082,0.004205716,0.005796645,0.008560307,0.008527867,0.000678061,0.005657408,0.011285535,0.00022828,0.000228995,0.04554174,0.10390635,9.030548e-05,0.020900702,0.00987855,0.012033204,0.004082628,0.011842305,0.009604882,0.010258717,0.004877486,0.009542082,0.000832527,0.010980138,3.4834367e-05,3.6058977e-05,0.04599732,0.026112908,0.0126265,0.011330414,3.743971e-05,0.015421922,0.25867817,0.006497654,0.01348306,0.009269331,0.026314262,0.010458585,0.011432447,0.011138083,0.011343201,0.010244563,,0.001744126,,0.007073392,0.002026152,0.011765781,,0.002203868,0.002186507,,0.001231808,0.008947336,0.001120667,,,,0.006746937,0.012938917,0.009996625
ec2-p4d,-0.50923246,-0.6748989,-1.0323226,-2.904112,-0.40635887,1.0604534,1.4157102,1.0490246,0.27109396,-0.8630497,0.0,0.004263196,0.0,0.0,0.0,0.0,0.001694569,0.0,0.0,0.0,0.001454108,0.0,0.000250403,0.000341248,0.04390764,0.26618883,0.0,0.021255326,0.003683765,0.002272152,0.000296179,0.002229331,0.0,0.00468381,0.000854639,0.003600485,0.0,0.005427063,0.0,0.0,0.043790568,0.011299132,0.004626704,0.002215275,0.0,0.003781119,0.3079502,0.0,0.0,0.0,0.011986806,0.005082755,0.00139996,0.008047943,0.00120109,0.004934291,,0.0,,0.002883078,0.0,0.019162962,,0.000770777,0.000764973,,0.0,0.003114136,0.0,,,,0.007432265,0.0,0.0
lassen,0.54532444,0.753977,1.9390393,0.8222676,-0.016436428,-0.92543286,-1.5532889,0.86741257,-0.07756997,1.5300475,0.0,0.020709889,0.010749178,0.005270323,0.00254864,0.005002153,0.006066683,0.009749875,0.009702088,0.001247089,0.0059231,0.012441194,0.000276823,0.00261324,0.06507993,0.10558876,0.001379416,0.022141133,0.01006138,0.0128353825,0.0,0.01265237,0.010006185,0.010651621,0.004995806,0.009648466,0.000922239,0.01103606,0.000147722,0.000145435,0.053392004,0.04081742,0.013179344,0.011906123,5.683986e-05,0.018416569,0.28141838,0.006953252,0.014264109,0.009806223,0.027338982,0.010730086,0.012107748,0.016404152,0.012115488,0.010524351,,0.001803875,,0.007213259,0.002257016,0.039154977,,0.003525103,0.003521313,,0.001625961,0.009206726,0.001228019,,,,0.012678569,0.015415596,0.0109099215
mammoth,-0.10146315,1.2274065,-1.5642594,-1.6949539,1.2272991,1.0759995,1.1713321,0.29726976,-2.371629,-1.1435025,0.24558823575,0.11825567025,0.191558812,0.067674881625,0.152967154375,0.191564974,0.08976615275,0.173133776625,0.161513453,0.120971094625,0.090370054875,0.151447964625,0.006155708625,0.06639572525,0.18184724375,0.132406545875,0.08966713475,0.130795731625,0.11380911225000001,0.11988054725,0.093957800875,0.119044584625,0.189829804375,0.10908227775,0.103102853625,0.116637135625,0.023590781375,0.1023139035625,0.02484564275,0.025187783499999998,0.1360091675,0.035752466999999996,0.15282241162500002,0.131544485,0.023039842374999998,0.06508439325,0.14487083975,0.114233711,0.11304552275,0.09944192962500001,0.036236577125,0.10708835375,0.1223879735,0.07149929025,0.122567062875,0.10792941225,0.147619089375,0.09791492962500001,0.15957322000000002,0.135053782875,0.08108354675,0.253075960375,0.0310398895,0.11181891024999999,0.11193465749999999,0.1033399275,0.19669401725,0.11011920025000001,0.108217687875,0.121348155625,0.43045294,0.4072947,0.0461148996875,0.15553897125,0.12838515275
