machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.2784314,0.014086012,0.122567564,0.014149069,0.017263746,0.010060602,0.021602174,0.025227252,0.020963034,0.031093149,0.021655863,0.02102225,0.031638887,0.006465749,0.19396092,0.04332206,0.007497613,0.12996818,0.025075624,0.013961121,0.028380945,0.014318267,0.13516666,0.020585043,0.0630153,0.07980855,0.004154563,0.024103586,0.020134242,0.019801434,0.011493178,0.02481353,0.017980866,0.012685927,0.020402249,0.03607187,0.03860701,0.023017688,0.017896323,0.016508471,0.020546934,0.0197796,0.013116213,0.008909221,0.012819517,0.019268095,0.008341627,0.020653522,0.015993658,0.043685924,0.025220074,0.26556757,0.1495498,0.014306497,0.016341548,0.01085703,0.124278665,0.022963487,0.023800395,0.0134881,,,0.011804185,0.038168646,0.016915837
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.13725491,0.037608583,0.24008965,0.026282003,0.036064938,0.019659238,0.032499094,0.03340135,0.025381746,0.045725696,0.0332187,0.025420006,0.028096072,0.010206006,0.102166966,0.038152155,0.013227495,0.12228985,0.036114562,0.038734604,0.02449577,0.038010504,0.1450348,0.03375147,0.06324025,0.07600855,0.00653552,0.034137893,0.040630303,0.039946817,0.027616441,0.045997795,0.033424627,0.02725033,0.040992543,0.048690725,0.051541384,0.04987948,0.038710993,0.035496242,0.04218865,0.03270011,0.03679214,0.02261713,0.03611252,0.03204057,0.02395971,0.040477656,0.034242626,0.049545024,0.049065,0.1773293,0.05407576,0.033446454,0.03747078,0.025681132,0.25009614,0.035671078,0.055917468,0.030441971,,,0.011237017,0.04502002,0.040016282
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.12156863,0.043408584,0.26894796,0.029925672,0.04046616,0.02200053,0.04202612,0.0345674,0.025548523,0.04418026,0.042983864,0.026547369,0.025762163,0.0115305865,0.07687389,0.03522546,0.014446619,0.118511885,0.042975605,0.044528693,0.023758225,0.043833006,0.10563354,0.038534474,0.06374705,0.08490437,0.008249916,0.040627103,0.045040417,0.04418749,0.032891326,0.051892668,0.038519755,0.031346247,0.045666195,0.05290541,0.060469374,0.05595848,0.044595856,0.03924229,0.047057163,0.036899436,0.042706072,0.026209528,0.0419754,0.036349606,0.02856325,0.045687273,0.03925181,0.057273537,0.054934103,0.13459417,0.045350242,0.037610143,0.04207891,0.029434336,0.28127715,0.04363853,0.058081552,0.03372025,,,0.0106107695,0.044209894,0.044503346
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.06666667,0.03460688,0.22946356,0.025911028,0.054716207,0.020353016,0.038270663,0.028085433,0.02659843,0.04368446,0.034897927,0.023696944,0.013667257,0.009855778,0.057264652,0.028618496,0.013550337,0.13418603,0.036446456,0.03548402,0.044304937,0.034838386,0.14704248,0.032701325,0.063907005,0.08032291,0.007586944,0.03345415,0.011137076,0.010081984,0.051396903,0.01993952,0.031953614,0.025958529,0.007393498,0.034589674,0.061020367,0.041297775,0.03619636,0.033610422,0.015252551,0.03137365,0.034728095,0.020770019,0.033895843,0.030654563,0.028693067,0.04534513,0.039900158,0.04989755,0.048570294,0.079159304,0.018130736,0.051539727,0.051429328,0.027924668,0.22063336,0.036973108,0.053289894,0.055429615,,,0.014557313,0.04557554,0.03766355
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.05882353,0.041035578,0.25747457,0.029858703,0.061846588,0.023240719,0.04416762,0.030731324,0.023648107,0.05363405,0.045237012,0.028892936,0.013543804,0.010021912,0.05698046,0.031597763,0.014550471,0.12206163,0.043943282,0.04185287,0.049769737,0.04123246,0.14421436,0.038448025,0.064812936,0.08440195,0.008445488,0.04007683,0.01196487,0.011078988,0.059629988,0.02057582,0.037582908,0.03125236,0.00848868,0.033178054,0.06548436,0.046773415,0.04238769,0.03899714,0.016079113,0.03625804,0.041158043,0.024935668,0.0401501,0.035454907,0.035363708,0.050199095,0.044789515,0.05759779,0.054707542,0.07201592,0.013956664,0.057453763,0.057620928,0.03189174,0.24844262,0.044027075,0.05883813,0.063207716,,,0.01545533,0.04008981,0.04327238
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.02745098,0.11530354,0.5021584,0.07058232,0.12813418,0.056869887,0.1282212,0.07442039,0.07309275,0.09549101,0.12893263,0.07372084,0.010949146,0.020928374,0.05783304,0.09009656,0.02897903,0.16277358,0.13424286,0.1287575,0.11032969,0.12865743,0.1404243,0.12092397,0.10905664,0.13202222,0.021376576,0.118647516,0.023979565,0.02225633,0.11917301,0.03311113,0.12472302,0.1148074,0.017011374,0.027536627,0.12573893,0.09272645,0.11747359,0.10926897,0.031997293,0.113099195,0.12443491,0.06626864,0.12041561,0.11194961,0.08960426,0.10213663,0.09667449,0.12601863,0.11291819,0.041496627,0.003527051,0.12010434,0.12017522,0.076443724,0.49905917,0.1230733,0.11489135,0.1466703,,,0.029055547,0.11059417,0.12003891
boraxo,-0.6779876,1.0128999,-0.571233,-0.77925813,-0.70499426,0.91023743,1.5765073,0.27008268,-0.77775997,2.0346832,0.011764706,0.2279793,1.0,0.12300358,0.2574937,0.119063154,0.19599321,0.16099393,0.1600706,0.18502973,0.19359198,0.15281193,0.0114305,0.04552067,0.13882771,0.19652653,0.05998767,0.22627272,0.22306499,0.25571528,0.23807588,0.25607154,0.23838773,0.208286,0.19730589,0.21774353,0.0355744,0.1961281,0.048669755,0.0446243,0.24851844,0.07453271,0.21760972,0.22966602,0.033759736,0.06738458,0.25883693,0.18473332,0.2373532,0.22030738,0.07030931,0.19877309,0.25294352,0.13318464,0.24064682,0.19384922,0.18003069,0.20257536,0.19971691,0.21763042,0.22615902,0.05681549,0.006097312,0.24514045,0.2459722,0.16066223,1.0,0.21026148,0.23180024,0.3046072,,,0.0634283,0.2398676,0.24714595
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.18431373,0.0349315,0.15963046,0.07088545,0.024221258,0.035862833,0.13217147,0.054323386,0.053983364,0.047216345,0.13838956,0.059368946,0.017844532,0.04631542,0.104511544,0.040693294,0.04703335,0.26066417,0.0706026,0.034139648,0.025361078,0.033825424,0.2642254,0.031852342,0.10494492,0.1539075,0.034052882,0.0549663,0.04744902,0.046599753,0.03871257,0.05298102,0.038745373,0.03131303,0.046945527,0.06773748,0.05735952,0.05386827,0.034964047,0.03873419,0.048532933,0.029867765,0.031913593,0.016418476,0.03203861,0.029521966,0.03289384,0.041700393,0.042996395,0.14450552,0.05501727,0.19948362,0.047609992,0.025143478,0.025185823,0.037611704,0.17230956,0.09006687,0.047173653,0.02590238,,,0.014072858,0.06316691,0.035946157
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.09019608,0.06424996,0.30800247,0.09023259,0.0466756,0.06833295,0.139574,0.095196985,0.09475306,0.08738628,0.14530082,0.105215505,0.012157983,0.09319659,0.07630551,0.04819404,0.09419539,0.26883453,0.08297076,0.06210996,0.042266525,0.06174902,0.2614721,0.057473093,0.111597195,0.15582074,0.06693592,0.06839732,0.093742594,0.093300655,0.075026415,0.09612404,0.062274847,0.057362,0.093144886,0.1321022,0.07648558,0.08549152,0.06272011,0.07208007,0.09413513,0.054538596,0.06124545,0.030042933,0.058693785,0.050498784,0.06686284,0.081705034,0.07765414,0.16258393,0.10829518,0.10594955,0.02029986,0.054595042,0.05452716,0.077840164,0.34511647,0.09330508,0.091700986,0.058327228,,,0.01935461,0.09353517,0.061895687
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.05882353,0.094871014,0.46890658,0.13800475,0.06994533,0.102018416,0.19491754,0.14012946,0.13950513,0.11896546,0.19488707,0.14172447,0.013465293,0.14041902,0.07992895,0.062459473,0.14149965,0.22459993,0.15106563,0.09527789,0.06414314,0.09381142,0.1458378,0.095805295,0.1504353,0.19634974,0.10186888,0.14728452,0.14086583,0.13912976,0.12174729,0.13754027,0.10236797,0.088991255,0.1390596,0.14468072,0.10153251,0.117451854,0.09634079,0.10903042,0.13882427,0.09152327,0.09022563,0.04325886,0.0888515,0.090189286,0.10704645,0.12344668,0.11495983,0.18197802,0.16266574,0.09191995,0.011100406,0.08397203,0.08398775,0.12205667,0.51621157,0.16201523,0.13216144,0.082195595,,,0.024329146,0.1308011,0.090207875
