app,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
TestDfft,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017000000005,1.3830808,1.6031401,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,1.6227958,-1.7750441,-0.018888205,-0.5505749,0.07197066,-0.9921090999999999,-0.3335908,-0.75762343,2.1447477,-1.0091535,0.10139813999999998,-0.6523938,0.8808242999999999,-0.4597309,-0.14554037,-0.7432752,0.57349503,2.4168108,0.62723964,0.703403,-0.3478732,0.9492679,1.2959802,1.0265359,0.24687226,-0.20199254,0.41976324,-0.05950047,1.1091603,0.9693388000000001,0.2100797619047619,5812406995.238095,5534895830.952381,3000104913.095238,29518901803.57143,466401442.3076923,475157051.28205127,318987179.48717946,280082532.05128205,2493.140998809524,336616050.5,103554746.42857143,51558.09119047619,2145422.373809524,2848581102.3809524,9.35203762575,,,,3.2527482488095236
XSBench,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.7551654600000001,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031401,0.056520257,-1.0630301,-0.8778540500000002,-0.3847221,-1.5369655,0.38475043,-0.546278,0.09612771999999999,0.35667177999999994,-0.8899401399999999,-0.31308368,1.1838342,-0.8752309,-1.5513427,-0.24726763,-2.3846235,-1.5884112000000001,-0.95144683,-1.0117823,-0.92338514,-0.061511982,-0.74132085,-0.18021087,0.85998845,0.56448114,-0.4511321,0.073363535,0.20923552,-0.65903825,-1.2823902,0.59546936,0.63820565,0.8257227,-0.33489737,-1.0953811,0.0061088135,0.58006495,2.2069145833333335,10857368489.583334,12499296872.916666,5856352864.583333,43371856772.916664,874781250.0,284006510.4166667,545128906.25,40218750.0,0.0,314716718.0697917,652582091.7891667,0.0,0.0,1231355468.75,17.279913809083336,,,,115.13496153125
amg,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017000000005,1.3830808,1.6031401,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,0.62614065,-0.6363441,0.14633223,-0.40471467,-0.0862441,0.5364976,1.9801191,0.068888806,-0.8905840499999998,0.1126256,0.029575659,0.019910434,-0.7148728,1.3682057,1.0248382,0.24904611999999998,0.9529261,-0.21174555,-0.7064128,-2.1848147,1.7173953000000002,0.783198,0.6849552,-0.9743169,0.52502495,-0.2274963,1.0083414,-1.2292957,-0.25923795,0.8702424,0.4547190476190476,10050734558.095238,19300325098.095238,4036215175.285714,49391467108.57143,614606772.5798125,120915364.3820625,103090712.4235625,17952256.909625,386.5598543333333,1094680987.9459405,1164495766.1520476,47956.54844,1512898.8974285712,1607308555.4476192,23.58072821261905,,,,3.7024144261904763
comd,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031400999999998,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,-1.3215829,2.0308883,0.18459557,0.49484497,-0.19551195,1.1793443,-0.6729367999999999,1.5903077,0.41164863,-0.5353407,0.5711342,-0.21045754999999997,0.9985694,1.7017697999999999,0.7326796,0.5800063,0.17669451,1.1054798,-0.92628556,0.2483093,-0.8804532,-1.006803,-1.1960113,0.89403355,0.38387182,1.0638248,-0.026894119,-0.6417295,-1.054578,0.7881709,0.06067857142857143,365981479.28571427,713619698.5714285,273286374.85714287,2104302907.857143,9125661.196714286,5358465.718142858,1211640.200714286,386243.395,221165.97228571426,426034724.10714287,76602506.27857143,29045.056484285717,1067757.5938571428,101521825.0,0.6288129578571429,,,,3.0119013142857143
cosmoflow,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031400999999998,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,0.12047067,-0.701497,-0.1977064,0.13142423,0.25037003,-0.34370947,2.6814668,-1.5550237,-1.2849663,2.1334684,-1.248749,-0.5965383,1.5240601999999999,-0.79589117,-0.4223678,0.067205414,1.9851775,-0.30049503,-0.87194216,-1.6003424,0.03740387,1.1256301,1.336335,1.1799043,1.4494361,0.61260927,-0.7193938,-0.3617666,1.8557005,-0.17073673,0.07378571428571427,694086635.7142857,1379866402.857143,526466927.71428573,4051283029.285714,17741401.9835,10932539.654499998,2783068.757142857,1160714.2926428572,436490.52885714284,844468039.4285715,152471604.7857143,29977.16769857143,1067806.0909999998,199521827.5,1.2125017835714285,,,,3.214641078571429
deepcam,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.7551654600000001,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031401,0.056520257,-1.0630301,-0.8778540500000002,-0.3847221,-1.5369655,0.38475043,-0.546278,-0.19320834,1.235466,-0.8306918,-0.7674753,-0.4090968,-1.6110153,-1.4376923,1.0661745,0.3808445999999999,-0.8415938,-2.304163,-0.2083743,-0.5208824,-1.4146507999999998,-1.5286618,1.7352674,-0.52597106,-0.2946216,-0.7099314,1.0171432,-0.14258084,1.0423949,0.7206805,0.7529281,-0.17246428,-1.5836221000000001,-0.70198524,-1.5931427000000002,-0.9528438,-0.4828117,1.4041375,38411846491.666664,83609504533.33333,32495320149.166668,238305529958.33334,934168984.5833334,732547844.9583334,207058253.83333334,113048611.1375,26859958.096666664,51774716862.5,18138787555.416668,31882.590373333336,1067905.3258749999,14941875566.666666,77.58486760416666,,,,6.66338175
kripke.exe,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548910999999998,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031401,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,-2.4083726,0.097693294,0.8485425000000001,2.6781623,-0.5523462,-1.0691624,-0.30526543000000006,0.08455915,1.657303,-1.1769904,0.075774215,1.4806968,0.35361934,-0.6229761999999999,0.75720793,1.2159883,1.5032673,0.73232245,-0.18017025,-0.44122720000000004,0.30334416,0.44764078,1.7882380000000002,-0.46940807,-0.23815642,-0.1128029,1.3167137,1.0181518,0.8235511,1.8350604,0.1136952380952381,123251719.64857143,484702976.5,124756481.80999999,1173637560.0190477,4873908.735714286,5072718.246857143,116038.35954761904,70634.92102857142,507.35626628333335,189377216.56666666,74684476.51666667,34771.29181761905,1068136.9174380952,33971759.28761905,0.19728629477619047,,,,6.624428031428571
laghos,0.8892942699999999,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534017,1.3830808,1.6031401,0.05652025699999999,-1.0630301,-0.87785405,-0.38472209999999996,-1.5369655,0.38475043,-0.546278,-0.63543504,-0.5528128,-0.45101488,0.69964397,-1.7143122,0.34076217,0.56163126,-0.45601144000000005,0.27431947,-1.6238324999999998,-0.78328234,-1.361828,-0.9945032000000001,0.521746,0.8662869999999999,-0.34742653,0.34942904,0.93809146,0.20099588,-2.8789864000000005,1.1502329,-2.0570774,1.026937,0.46194517999999996,-0.54968834,0.73804986,-0.69576204,0.018364731,0.6836089,-0.5383473,2.839751253481894,86892384676.04457,276310438067.96655,97758536429.52646,781266617710.3064,3006225820.5139666,2362949809.9189944,304702951.8156425,272284610.4050279,60144450.965958215,216364692439.91644,117769919545.62674,50010.7161253482,2157742.4,18794741899.220055,135.893352675961,,,,34.491721815041785
miniFE.x,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911000000001,-0.7551654599999998,0.30359837,1.6834247000000002,-0.34467933,-0.46534016999999994,1.3830808,1.6031401,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369654999999998,0.38475043,-0.546278,-0.18690068,0.39089546,-1.0374829,0.368658,0.239787,0.693961,-0.3098028,-1.5071974,1.1042974,0.24781576000000002,-0.42110315,-0.31013557,0.18639682,-0.652104,1.20464,-0.56660575,0.10902280000000002,0.7758161,0.08518367000000002,0.4848132,-0.9570260599999999,1.9289953999999998,0.060506977,0.487643,0.6932714599999998,-0.33999717,0.9360373,1.1246393,-1.2356856,-0.032198995,0.23006938775510205,2457068239.7959185,9583703126.734694,981927614.8979592,21474442603.67347,219926020.40816328,48616390.30612245,56916454.08163265,2438775.5102040814,16.207110969387756,2584719768.2755103,105542735.16938776,72703.34091836735,6024.611760204082,59286989.79591837,4.949099325612245,,,,8.855063976530612
miniVite,0.88929427,-0.5182339,-0.5869975,-0.589442,-1.2725917,0.08548911,-0.75516546,0.30359837,1.6834247,-0.34467933,-0.46534016999999994,1.3830808,1.6031401,0.056520257,-1.0630301,-0.87785405,-0.3847221,-1.5369655,0.38475043,-0.546278,-0.01769848,-0.21410476,0.3455228,1.4728619,-1.0280575,-0.23574363000000004,-0.97403175,-0.4997878,-0.88481677,0.5826016,0.7535061,-1.6178237,0.47984780000000005,-1.1942015,-0.14224263,-0.98245597,-0.30223006,-0.10717659,-0.59221315,-0.36570543,0.9718505,-0.5799481,-0.42310905,-0.31469464,-1.6316106,-0.046044104,1.1486528,-1.5612562,-1.4307073,0.8604085,0.06259236111111112,11348745.780902779,16419514.634791665,4151376.1077777776,45119727.77802083,11610.243055555555,0.0,0.0,0.0,0.15786645614583333,348893.47636958334,728505.8097531251,43673.90449371528,3913.244356402778,201209.0348611111,0.13147892019791665,,,,3.6240627368055556
