machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.05,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,0,1556948,1461157400,1076277800,37771,2190229,116000000,1.765572
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.05,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,0,1556449,1460442900,1077872400,37771,2190229,116000000,1.771501
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,2792000000,3862000000,1114000000,13250000000,26000000,16000000,0,0,0,1789740,1680159200,1238203100,37771,2193037,140000000,2.025196
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,2792000000,3862000000,1108000000,13250000000,38000000,14000000,0,0,0,1790082,1681196800,1238368900,37771,2193037,136000000,2.0196
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3154000000,4360000000,1258000000,14964000000,30000000,16000000,0,0,0,2021762,1896564600,1396403700,37771,2195719,150000000,2.276205
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3152000000,4358000000,1258000000,14960000000,30000000,18000000,0,0,0,2022435,1897379700,1397572100,37771,2195719,142000000,2.260415
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3434000000,4746000000,1368000000,16294000000,36000000,18000000,0,0,0,2202499,2065152500,1520600600,37771,2197853,170000000,2.663958
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3434000000,4746000000,1368000000,16292000000,32000000,20000000,0,0,0,2202362,2065422000,1520506000,37771,2197855,172000000,2.466709
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3640000000,5040000000,1452000000,17290000000,42000000,18000000,2000000,0,0,2337750,2193318000,1615712500,37771,2199440,180000000,2.644668
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0833,3644000000,5036000000,1450000000,17290000000,34000000,18000000,0,0,0,2338564,2191995100,1614181100,37771,2199439,178000000,2.629778
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3788000000,5244000000,1512000000,17994000000,50000000,20000000,0,0,0,2430175,2282039300,1680659600,37771,2200601,186000000,2.711485
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.0666,3792000000,5244000000,1514000000,17998000000,44000000,20000000,2000000,0,0,2431784,2282041900,1681138700,37771,2200600,186000000,2.703367
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.1833,8200000000,19434000000,6256000000,59954000000,202000000,160000000,6000000,4000000,0,3259234,11407388000,8376314400,37771,2205834,912000000,8.763434
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.4666,22753063000,35795186000,12467125000,96878060000,77000000,32125000,12562500,8687500,0,12734.5625,361169570,5501768700,69873.94,2107283.2,1029437500,7.0566287
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.1833,8204000000,19430000000,6256000000,59958000000,202000000,164000000,6000000,4000000,0,3259806,11407505000,8373560000,37771,2205834,916000000,8.836722
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.55,24537188000,38530437000,13353062000,1.04E+11,76500000,32812500,12500000,8625000,0,12854.594,361168480,5647633000,69874.91,2107283.2,1022625000,7.0627847
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2333,9346000000,22146000000,7130000000,68328000000,176000000,186000000,8000000,6000000,0,3713148,13003335000,9548959000,37771,2210655,1052000000,9.9214
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.5666,26936687000,42333688000,14706500000,1.15E+11,88875000,37750000,14687500,10000000,0,12281.0625,411652380,6290330000,69867.91,2107433.8,1161312500,8.146281
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2166,9346000000,22142000000,7130000000,68326000000,232000000,186000000,8000000,6000000,0,3713446,13005317000,9545360000,37771,2210655,1064000000,10.460112
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.5666,27875437000,43774500000,15174375000,1.18E+11,89937500,39125000,14437500,10000000,0,12395.375,411638700,6379871000,69874.91,2107434,1161187500,8.280307
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2333,10432000000,24720000000,7958000000,76272000000,208000000,204000000,10000000,6000000,0,4145484,14515350000,10651865000,37771,2215167,1178000000,11.168598
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.6,30166874000,47394062000,16465750000,1.28E+11,99000000,42500000,15937500,11125000,0,13018,459483360,7289946600,69875.875,2107575,1299562500,8.956694
