machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,8200000000,19396000000,6214000000,59934000000,148000000,116000000,0,0,3259321,11408072000,5963227600,105104,2240753,260000000,0.33333334
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,8196000000,19392000000,6210000000,59936000000,150000000,116000000,0,0,3260591,11411836000,5947029000,105104,2240753,256000000,0.37509376
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,9344000000,22108000000,7084000000,68308000000,170000000,132000000,0,0,3713080,13007136000,6786328000,105104,2245574,292000000,0.444
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,9334000000,22106000000,7082000000,68304000000,170000000,132000000,0,0,3713147,13007106000,6782195000,105104,2245574,290000000,0.444
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,10430000000,24678000000,7906000000,76240000000,190000000,148000000,0,0,4146026,14517561000,7571606000,105104,2250086,328000000,0.39975992
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,10428000000,24672000000,7906000000,76248000000,190000000,148000000,0,0,4146039,14517577000,7574279000,105104,2250086,324000000,0.39975992
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,12196000000,28858000000,9246000000,89178000000,224000000,172000000,0,0,4848539,16978740000,8851568000,105104,2257423,386000000,0.3633388
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,12200000000,28860000000,9246000000,89172000000,224000000,172000000,0,0,4848952,16976266000,8859638000,105104,2257423,386000000,0.333
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,13410000000,31734000000,10168000000,98050000000,244000000,190000000,0,0,5328932,18665443000,9738775000,105104,2262546,418000000,0.30747923
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,13408000000,31734000000,10168000000,98044000000,246000000,190000000,0,0,5329061,18670365000,9735260000,105104,2262546,422000000,0.38457987
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,14324000000,33896000000,10860000000,1.05E+11,262000000,204000000,0,0,5694009,19941755000,10463360000,105104,2266269,442000000,0.30747923
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,14324000000,33896000000,10860000000,1.05E+11,262000000,204000000,0,0,5693743,19941070000,10406889000,105104,2266270,444000000,0.30747923
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,43946000000,1.46E+11,48612000000,4.31E+11,1176000000,1078000000,14000000,28000000,7003484,95302700000,49618616000,105104,2275702,2166000000,0.20751727
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,43936000000,1.46E+11,48608000000,4.31E+11,1180000000,1078000000,18000000,30000000,6998460,95306270000,49584734000,105104,2275702,2218000000,0.20751727
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,49326000000,1.64E+11,54530000000,4.84E+11,1322000000,1206000000,18000000,32000000,7846156,1.07E+11,55559560000,105104,2284062,2518000000,0.23726228
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,49320000000,1.64E+11,54528000000,4.84E+11,1316000000,1210000000,20000000,32000000,7845880,1.07E+11,55651303000,105104,2284062,2488000000,0.22027865
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,55026000000,1.83E+11,60840000000,5.39E+11,1468000000,1346000000,20000000,34000000,8738068,1.19E+11,61959230000,105104,2293099,2826000000,0.20893785
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,54976000000,1.83E+11,60820000000,5.39E+11,1474000000,1346000000,22000000,34000000,8738390,1.19E+11,61992886000,105105,2293098,2760000000,0.21209091
Ruby,0.57437426,-1.0510615,0.9860934,0.8754242,0.21873426,-1.765029,0.65165067,0.34614,0.68901545,0.4714461,1.2506803,1.1699245,-1.1438026,0.32733724,0.3940582,1,72284000000,2.4E+11,79944000000,7.09E+11,1944000000,1770000000,28000000,48000000,11490692,1.57E+11,81437245000,105104,2320162,3596000000,0.18386208
