machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
boraxo,-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,23.375,0.08942,0.42269225,0.120261,0.132174375,0.058421625,0.354311625,0.218355875,0.213132875,0.277326625,0.243542,0.088484125,5.7543305,0.00953625,0.002790625,0.010269875,0.0230385,0.472765875,0.215667625,0.384268375,0.036096625,0.386312875,0.685019,0.297703875,0.376823,0.606741375,0.033385,0.41598375,2.249484125,3.005438,0.122913375,0.070596875,0.250085625,2.203079125,1.649425125,0.018686375,0.0236425,0.210784,0.606928125,0.884305125,0.063552,0.29456775,0.345668875,0.340862375,0.3392315,0.292489875,0.046372375,0.24090625,0.16428625,0.606099375,0.11328975,0.0403015,0.057531375,0.295708625,0.297976375,0.03439425,0.58480575,0.473781375,0.345137,0.039043875,2.335763,2.846453,0.005009375,0.008719375,0.020616625
catalyst,-0.9430289,-0.3782302,-1.9617288,-0.20267884,1.5574294,-1.9206493,0.6856438,-0.8149878,-0.29193124,1.4000657,16.14285714,0.121227143,0.483780571,0.301000429,0.120431143,0.154376,0.642432571,0.425326,0.422578143,0.447445571,0.452455286,0.180439286,3.641376286,0.057729143,0.003112714,0.010909571,0.114569429,0.752403714,0.337494571,0.479299143,0.031253286,0.483988286,0.879717143,0.465467143,0.556550571,0.941973857,0.274057143,0.735489429,11.66341286,16.80544343,0.160995286,0.243503143,0.362175,3.029222143,10.90995043,0.056547571,0.027271143,0.338943429,0.807639571,1.266240571,0.236663286,0.478203143,0.434408286,0.380820143,0.440231429,0.482995714,0.075160857,0.357715714,0.236727429,1.007053714,0.198323571,0.031684,0.026660857,0.307582857,0.306690571,0.061231429,0.695611714,0.812111857,0.447655429,0.032866,1.628949,1.867714,0.004596857,0.010987286,0.024451429
corona,-0.21664909,-0.5918204,1.2275035,-0.09643459,-1.8098737,0.14217946,0.12909327,-1.6231022,0.32800066,0.66362876,1,0.016645,0.019877,0.024527,0.006581,0.007968,0.030293,0.033368,0.033437,0.014671,0.023515,0.017908,299.1543,0.088591,0.002123,0.058249,0.087846,0.04666,0.024956,0.043512,0.005047,0.043723,0.057832,0.034122,0.030034,0.049325,0.005318,0.045278,0.029901,0.041785,0.048773,0.059747,0.039036,0.253334,0.02844,0.013882,0.054099,0.028138,0.067885,0.102102,0.05945,0.03379,0.039229,3.23091,0.039371,0.03375,,0.010384,,0.043776,0.012722,0.012581,,0.026978,0.026637,,0.028184,0.049327,0.013608,,,,0.085109,0.00295,0.003451
ec2-c5n,-0.7590783,1.8918201,-0.10766031,-0.27727228,-0.1297532,-0.47488475,-0.6658667,0.27205446,0.6685716,0.5526828,23.375,0.086743125,0.301804875,0.116340875,0.097063625,0.115020375,0.31215875,0.371063125,0.314284625,0.399245125,0.218902625,0.13859475,2.73212525,0.01428375,0.004244,0.010078375,0.030411625,0.43741425,0.21375425,0.344933,0.024404875,0.34575325,0.5738365,0.2870655,0.285159375,0.568904125,0.04229225,0.406901,1.503827,2.002331125,0.090456,0.051457625,0.248915875,2.015394375,1.229548375,0.014873625,0.02387625,0.205235375,0.577343375,0.80711375,0.04537,0.28596175,0.311477625,0.342311875,0.307276,0.285146,0.06216925,0.171536,0.15958825,0.375766,0.114417625,0.034135625,0.045177875,0.20463675,0.204549375,0.045298875,0.389303125,0.456249625,0.25912,0.02859775,1.552556,1.852844,0.006263375,0.0070975,0.017601875
ec2-c6a,0.114439555,-0.83229554,-0.6993416,-0.39571422,-0.38376817,0.6611509,0.8720104,0.09905887,0.6188145,1.2256643,49.625,0.042170875,0.1056945,0.097918375,0.08297425,0.08813625,0.153525,0.270455625,0.250208,0.245144625,0.1122615,0.08816325,6.242986625,0.01294575,0.004569125,0.00750675,0.036204375,0.2417705,0.123894,0.145573375,0.014017875,0.155031375,0.38428225,0.14336,0.175031375,0.312506125,0.029707625,0.1933405,0.679027,0.952133625,0.077388375,0.0232525,0.1467345,0.870555375,0.64351325,0.01430175,0.014409,0.15031025,0.258436625,0.40773725,0.021572125,0.143239625,0.123465625,0.195391375,0.13332975,0.133595875,0.042501875,0.12727175,0.123504875,0.21019875,0.07281175,0.039329125,0.078837625,0.1219415,0.140076875,0.029707625,0.143314125,0.232282625,0.18173775,0.0190485,1.601694,1.759791,0.004769,0.004455125,0.009123375
ec2-c6i,-0.9613452,-0.5932068,0.24031046,-0.9783241,-0.7378979,-0.51481885,-0.7767044,2.2533443,-0.32339758,-0.6912757,36.14285714,0.064655,0.253356857,0.095092857,0.100759286,0.112928286,0.238738714,0.318231143,0.317858714,0.327241571,0.168181857,0.120789571,2.119003429,0.013457,0.004239857,0.007771571,0.031664571,0.286744143,0.174486714,0.252217714,0.025890286,0.251486429,0.413699143,0.216720571,0.223171143,0.451530571,0.034723571,0.324801429,0.853838286,1.188205143,0.085645429,0.030890286,0.169751143,1.372836429,0.757629714,0.009256714,0.016977,0.148931857,0.423932714,0.564335,0.028490429,0.213155857,0.227219286,0.280657429,0.225452714,0.213254143,0.051468,0.161893286,0.14319,0.310651571,0.090990286,0.034659857,0.033874143,0.186092571,0.185967,0.037770714,0.380039143,0.375801714,0.248174857,0.027466714,1.578918,1.726564,0.006412857,0.006556571,0.012626857
ec2-p3,0.28439555,-1.3131928,0.52947915,-0.07371126,-0.19709697,0.7373642,-0.31157583,0.63336897,1.2102666,0.002934525,1,0.014947,0.015047,0.011433,0.002591,0.006104,0.025524,0.024669,0.024673,0.006013,0.017874,0.012426,0.104217,0.001046,0.001136,0.007117,0.001111,0.055849,0.020362,0.042104,0.004102,0.042128,0.046992,0.029854,0.020593,0.043759,0.002497,0.040477,0.00645,0.009246,0.03504,0.028472,0.032355,0.254284,0.006221,0.006293,0.029121,0.017984,0.067609,0.090101,0.026673,0.029887,0.037635,0.055176,0.037681,0.029939,,0.006352,,0.035405,0.00354,0.009449,,0.011382,0.011363,,0.006729,0.042881,0.004987,,,,0.001049,0.001006,0.002112
ec2-p4d,0.20524627,-0.37465614,0.7631204,1.1499033,0.4132284,1.1703372,1.6561812,1.425754,0.05259657,-1.9149281,1,0.007244,0.00327,0.005724,0.001766,0.003564,0.016364,0.010838,0.010816,0.004763,0.011451,0.004848,0.111718,0.001071,0.001113,0.016377,0.001071,0.056556,0.01284,0.023219,0.00345,0.023224,0.02222,0.019794,0.012671,0.025831,0.001569,0.025582,0.004863,0.006871,0.033695,0.014643,0.021647,0.140398,0.004625,0.003984,0.034397,0.009541,0.023658,0.043745,0.013586,0.01967,0.019748,0.045252,0.019256,0.019671,,0.0039,,0.021474,0.002127,0.011635,,0.009268,0.009265,,0.004807,0.026802,0.003014,,,,0.001107,0.000447,0.001105
lassen,0.43812367,-0.45349413,0.34442475,0.65010506,-0.65063095,0.40376523,-1.6548088,1.1710937,-0.9658234,-0.30642495,1,0.015249,0.015322,0.011705,0.003432,0.006585,0.026127,0.026591,0.026581,0.007062,0.01828,0.013202,0.120676,0.001577,0.001411,0.007213,0.001682,0.058322,0.020584,0.043656,0.003399,0.043721,0.048027,0.030563,0.020826,0.04408,0.002597,0.040627,0.011593,0.01645,0.039547,0.042199,0.033095,0.261477,0.007048,0.006887,0.031556,0.018576,0.070155,0.092786,0.027609,0.030403,0.038839,0.072088,0.039084,0.03048,,0.006436,,0.03587,0.003701,0.017543,,0.013331,0.013333,,0.007344,0.043596,0.005176,,,,0.001551,0.001113,0.002204
mammoth,-1.369096,-0.32341164,-0.29649672,-0.18534821,-1.0621326,-0.25177976,-0.20696603,0.47273093,0.38533464,0.93910307,63.625,0.062726875,0.218046125,0.0825245,0.101757875,0.11925775,0.21302925,0.2905725,0.2732605,0.227772375,0.147322125,0.106542125,2.11398275,0.015782125,0.0030545,0.00874325,0.04078825,0.274942875,0.146559375,0.2507595,0.019577875,0.25294225,0.511811,0.2081825,0.2140235,0.3669045,0.027865125,0.285461375,1.136792125,1.66584725,0.0899015,0.03747075,0.220012,1.756257875,0.98677975,0.01614375,0.016934625,0.157975375,0.39215475,0.541054875,0.03573625,0.213536125,0.2354585,0.24902625,0.2397395,0.2188235,0.047512875,0.141554875,0.155067375,0.460885,0.058673125,0.0807605,0.046461875,0.173078875,0.173337,0.02753075,0.31171025,0.3217575,0.193537625,0.024154125,1.852553,2.059271,0.00438075,0.00716675,0.01403775
pascal,-0.54418224,0.19256401,-1.0354849,1.062099,0.33725834,-0.0739815,-2.5073862,0.8769094,-1.5118222,2.6664355,1,0.022186,0.023547,0.015902,0.004008,0.008797,0.037755,0.036113,0.036121,0.011195,0.026438,0.016279,0.127554,0.002725,0.002625,0.008411,0.002906,0.076913,0.032371,0.061652,0.007024,0.06172,0.071748,0.044458,0.032995,0.064168,0.003749,0.059032,0.037521,0.05768,0.064312,0.039603,0.049571,0.35296,0.036089,0.00892,0.076535,0.032223,0.099179,0.134775,0.028559,0.044489,0.055196,0.103835,0.055199,0.044331,,0.010341,,0.051746,0.010791,0.010457,,0.022843,0.023635,,0.024753,0.062764,0.011493,,,,0.002522,0.001452,0.003082
poodle,1.2296697,0.981827,-1.137874,-0.5810811,0.47744185,1.0975972,-2.6287029,1.2239271,0.43492875,0.40936607,56.625,0.0589535,0.252084875,0.0959985,0.09784425,0.03051525,0.307918375,0.139598,0.13909275,0.093889125,0.218011875,0.065248625,7.6239395,0.006944125,0.003632,0.008325375,0.0164465,0.364980625,0.165960875,0.254611125,0.030618375,0.26457125,0.46814275,0.221064,0.245948375,0.424756375,0.025929625,0.322196375,0.834711125,1.11736625,0.08219825,0.022354625,0.155299,1.52250025,0.840982,0.01158575,0.01290925,0.123029125,0.44341075,0.543386125,0.019755625,0.227306625,0.2261345,0.2062495,0.2264205,0.225546125,0.037480875,0.105757875,0.118301625,0.44030975,0.060656375,0.042807125,0.23618025,0.150791625,0.150601625,0.02342775,0.363957625,0.363137875,0.152831125,0.017851625,1.755632,1.950884,0.002727,0.005660875,0.0132365
quartz,0.061038718,0.6844559,-0.20461443,-1.415045,-0.25194138,-1.747719,-1.383688,1.3509798,0.05913413,-0.39863703,23.375,0.08286675,0.351378375,0.211390375,0.103129625,0.126364,0.495341875,0.32881725,0.357311875,0.24223175,0.342591,0.145435375,3.108771625,0.016552125,0.002618,0.00798475,0.044229,0.731272375,0.25980325,0.317129375,0.027117875,0.317405125,0.674798125,0.277345625,0.45649475,0.815080125,0.0483575,0.515008375,2.261689375,3.06013125,0.11047375,0.0705405,0.235120875,1.854286,1.831806625,0.02065925,0.016367375,0.224557375,0.51153375,0.78378225,0.06618075,0.274649875,0.277817125,0.227470875,0.285960125,0.273658125,0.049303375,0.214913125,0.179884375,0.827893875,0.1074755,0.041136875,0.03507275,0.306854875,0.308420125,0.03487225,0.540384,0.57426375,0.303217,0.027774625,1.651874,1.921417,0.003958625,0.01134175,0.016605375
ruby,0.75332224,0.3890289,-1.232287,-0.059198666,-0.4570736,-0.14378631,-1.1842115,-0.14435153,0.4752564,-1.0870441,32.125,0.06748375,0.255832625,0.0877935,0.080211125,0.106651875,0.281199125,0.161711625,0.162329625,0.18211225,0.194946,0.067823375,2.739329125,0.00619925,0.0027985,0.00810775,0.0141775,0.378584,0.176553,0.27658025,0.022566375,0.276725875,0.52962325,0.2320485,0.263306,0.538759875,0.08839,0.334536375,1.23907075,1.658047,0.07537425,0.04091325,0.188234875,1.523431875,1.021638125,0.01333,0.01816075,0.140662125,0.439979375,0.585725125,0.037269125,0.228402875,0.243901375,0.259923625,0.24523525,0.226658375,0.033499375,0.14456725,0.11224575,0.53555625,0.087004625,0.046304625,0.07198625,0.171528,0.17246925,0.023786875,0.341434,0.389006125,0.199271,0.024576625,1.487352,1.518336,0.003503625,0.00651375,0.015463875
tioga,-1.1149244,1.0590738,0.07768851,-1.4867545,-0.0817314,0.13708334,0.63147944,-1.5718915,-0.1713262,1.0086988,1,0.009941,0.011423,0.008357,0.003344,0.004798,0.016983,0.017084,0.01701,0.008181,0.01271,0.007824,339.0888,0.062283,0.001339,0.050876,0.062256,0.026771,0.014703,0.027095,0.003457,0.027084,0.032864,0.020829,0.019592,0.033937,0.002641,0.027836,0.017439,0.025224,0.061171,0.065622,0.024919,0.165281,0.017019,0.014016,0.071809,0.01751,0.044704,0.062801,0.065047,0.020478,0.024379,2.430047,0.024253,0.020609,,0.006617,,0.025802,0.005523,0.013223,,0.014648,0.014603,,0.011564,0.029547,0.006782,,,,0.060542,0.001339,0.001797
