app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration
86892384706,0.019059693084436207,0.022403806109786616,0.021643067246569416,0.022311869853984104,0.016066130885324402,0.022154556069819236,0.005449027124502286,0.021334904229729827,0.016351192362001145,0.017108169468701372,0.020108245954401496,0.0612274667031822,0.4705913024712777,0.009147206351022657,0.021619124130615928
TestDfft,0.003544150606126597,0.001340168482647296,0.0020134932286673063,0.0025229783871315494,0.006503997567336011,0.01362836929279709,0.007133167172191339,0.04722657071999966,2.2520543210668303e-06,8.858315366801695e-05,5.9173578786377946e-05,0.0701395523272286,0.9254379188376644,0.0032260261621636192,0.003563163202665965
XSBench,0.006620346639989838,0.0030264641343825667,0.003930438164149889,0.003706991639268001,0.010819286645197894,0.007753808846146845,0.01241152280011522,0.007067545304777594,0.0,8.282017014706382e-05,0.0003729034939519529,0.0,0.0,0.0013945135546432617,0.04033728514426028
amg,0.006128496620534554,0.004673202195184595,0.0027088693139348356,0.004221488264849294,0.009616850990336444,0.007790073729604212,0.0030857109119824784,0.007483325712345108,3.491795256302825e-07,0.00028807392704686876,0.0006654256139568915,0.06524001768057144,0.6525959665509526,0.0018202814629057868,0.008068490748048758
comd,0.00022315943994991294,0.0001727892757834659,0.00018341367495589646,0.00017985026712502827,0.00011286609795100817,0.00014629424506926782,2.758668626487047e-05,6.787363185063151e-05,0.00019977923117543567,0.0001121143847423096,4.37722988549369e-05,0.03951285234486916,0.4605821963993471,0.00011497375469292995,0.0008117600631412786
cosmoflow,0.0004232235610844948,0.0003341080876807333,0.00035333351091706614,0.0003462588284770178,0.0002194255020711482,0.00029847492852400195,6.3365052302577e-05,0.00020396956145979448,0.00039428190664519324,0.0002222284132901565,8.712606759912585e-05,0.040780894919887824,0.4606031237961354,0.0002259590321655072,0.0010531439094975006
deepcam,0.02342185759184451,0.020244432113700563,0.021808939483386466,0.02036798943710758,0.011553793573664012,0.019999668000197937,0.004714312959669198,0.019865763623562144,0.024262600563047954,0.013624925414849985,0.010365020982954902,0.04337302936693429,0.4606459420169122,0.016921716178784445,0.02555317679558011
kripke.exe,7.51534875467712e-05,0.0001173614954450363,8.372918220201983e-05,0.00010030622026570334,6.02804594118181e-05,0.0001384929085380557,2.641967306702715e-06,1.2412506646382677e-05,4.582949274562057e-07,4.9836091408108284e-05,4.267628126078281e-05,0.047302814207813904,0.4607458299089936,3.84731135440274e-05,0.0017881259317723405
laghos,0.05298316140596338,0.06690325376896071,0.0656097560220411,0.06677492022187394,0.03712215823608007,0.06439412899714189,0.0069333462064224295,0.04777407476164393,0.05432848385644214,0.05693807694814222,0.06729709634308122,0.06803450331271325,0.9307522218783747,0.021285098419701134,0.05199173579156342
miniFE.x,0.001498212341338975,0.0023205092312348664,0.0006590118220106835,0.0018354177699223167,0.002720043045656912,0.0013273012533068268,0.0012958767356430105,0.00042856022145266673,1.4639883718646638e-08,0.0006801893946547727,6.0309571888618284e-05,0.09890551985650457,0.002598744312742968,6.714268380058706e-05,0.0039312962754162436
miniVite,6.919966938203845e-06,3.975669395249773e-06,2.7861584603206098e-06,3.851703713011198e-06,1.4359538186086387e-07,0.0,0.0,0.0,1.4260077353793396e-10,9.179607047810944e-08,4.1572638185571787e-07,0.0594139153730391,0.0016879961467062272,2.2786980171204544e-07,0.0008470048086760793
minigan,0.0006198682894207318,0.000495824525684884,0.0005178464898135187,0.0005108517723168412,0.0002788114907031269,0.0004523529286013822,8.685589869226711e-05,0.00034320348434034673,0.0005968746420266527,0.0003368985237064877,0.00013254629337390605,0.03876184758147876,0.4605697482777549,0.00033481112967561884,0.001250591949486977
miniqmc,0.0008266651342160279,0.00067495131762193,0.0007097808139141899,0.0006891962424701514,0.0003725611898564275,0.0006111784259591999,0.00012106820830287214,0.0004891782815764023,0.0007916992836517497,0.00044694917208328076,0.00021768800001695397,0.0400195468084919,0.46059055200239146,0.00044414484050153696,0.0014041041831097077
minitri,0.0010389977738980837,0.0008532250470667588,0.0008935242888772771,0.0008654022081085622,0.0004607649247740357,0.0007815781779245776,0.00015383492735186781,0.0006280635385533224,0.0010017386401084544,0.0005656498638628612,0.0003275515880698708,0.04078494732358025,0.46060317102608056,0.0005614981993682253,0.001535648513549066
sw4lite,0.1009231775943538,0.08380468218020556,0.07001513168890716,0.07889794063823617,0.15883308146879488,0.062172394859825536,0.09351413245017728,0.1414936006298684,4.905086765553353e-07,0.006006845997966122,0.00971293541764452,0.10718374303647155,0.4455970829190965,0.09649401232518842,0.1324280815393408
