machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,6.45,2000000.0,16906964.0,1953219.0,24000000.0,106.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,2810087.0,0.005005
corona,amg,0.05,214000000.0,1275523608.0,162425636.0,3070000000.0,116.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,512308737.0,0.625253
corona,amg,52.2666,18000000.0,87113320.0,17173716.0,184000000.0,2094633.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,140716550.0,0.065028
corona,amg,0.1166,1786000000.0,11373063611.0,1401026013.0,26780000000.0,104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,4633381487.0,5.363791
corona,amg,0.8333,14876000000.0,95275554735.0,11684811404.0,2000000.0,294.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,39526273601.0,45.349951
corona,amg,0.0666,26000000.0,105380176.0,15182463.0,316000000.0,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206252.0,38617859.0,0.075349
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,amg,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
