machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,miniFE.x,0.1833,11264000000.0,25156417498.0,1658021457.0,69460000000.0,1510287427.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207063.0,14951143295.0,8.598384
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1,5610000000.0,12544984516.0,828571775.0,34718000000.0,768634379.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207069.0,6828996792.0,4.063503
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.0666,2786000000.0,6230625826.0,418029355.0,17314000000.0,385010184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207065.0,3605009237.0,2.127852
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.0833,4206000000.0,9396339661.0,625318086.0,26042000000.0,566127311.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207066.0,5320363286.0,3.290701
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1166,6318000000.0,14110223938.0,936540774.0,39062000000.0,846216291.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207066.0,8069018841.0,4.885512
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.2166,14100000000.0,31396666171.0,2071592815.0,86864000000.0,1951325472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207061.0,18820793796.0,10.98469
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1166,7036000000.0,15721736826.0,1040743575.0,43468000000.0,980100800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207065.0,9432742365.0,5.473499
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.3333,22174000000.0,49281430970.0,3228031586.0,136144000000.0,3100604465.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207063.0,28637659340.0,17.415744
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.15,8846000000.0,19696674756.0,1299251296.0,54482000000.0,1236998747.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207064.0,11575134884.0,6.616209
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.0666,3484000000.0,7782679856.0,519919357.0,21644000000.0,487499172.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207064.0,4331056387.0,2.693236
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1,5274000000.0,11775137816.0,780055628.0,32604000000.0,730575809.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207065.0,6756692839.0,4.020631
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1333,7912000000.0,17656663703.0,1166495034.0,48864000000.0,1089992793.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207067.0,10379613270.0,6.166679
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.25,16922000000.0,37676864762.0,2486212090.0,104230000000.0,2384790492.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,22240583946.0,12.995548
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1333,8434000000.0,18817248014.0,1248185821.0,52108000000.0,1195106512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,11285701460.0,6.55027
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.3833,26632000000.0,59148842314.0,3873609533.0,163412000000.0,3698977031.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207058.0,35420722435.0,20.225094
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1833,10592000000.0,23630657248.0,1554440214.0,65286000000.0,1483239140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207061.0,14281136724.0,8.123019
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.5666,38444000000.0,85278070043.0,5579611566.0,235528000000.0,5373988212.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207056.0,50847276224.0,29.599696
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.2,12798000000.0,28474201226.0,1869536028.0,78640000000.0,1790001154.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,17003094059.0,9.703412
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.0666,4186000000.0,9363511967.0,626393529.0,25986000000.0,601705125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,5306274257.0,3.18822
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1166,6316000000.0,14105436781.0,936461736.0,39074000000.0,894826336.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207061.0,7978975332.0,4.797254
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.15,9478000000.0,21155014356.0,1398455989.0,58558000000.0,1341069002.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207062.0,12165882753.0,7.392492
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.3,19760000000.0,44009454276.0,2897702392.0,121644000000.0,2810796141.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207057.0,26107287464.0,15.250375
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.15,9862000000.0,21993972319.0,1455069702.0,60862000000.0,1412192001.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,12948672524.0,7.528047
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.45,31094000000.0,69080352315.0,4522723372.0,190708000000.0,4373454659.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207055.0,41616539555.0,24.221629
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.2,12336000000.0,27534560030.0,1817110225.0,76086000000.0,1757991397.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207058.0,16427506241.0,9.610563
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.65,44956000000.0,99642685312.0,6498433583.0,275116000000.0,6309122453.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207053.0,60876521485.0,34.406227
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.2333,14930000000.0,33183291366.0,2174075224.0,91730000000.0,2094407535.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207056.0,19480636367.0,11.490512
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.8666,61446000000.0,135998000000.0,8837934663.0,375162000000.0,9043646686.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207054.0,84122566723.0,48.139596
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.25,17388000000.0,38679200500.0,2541255715.0,106892000000.0,2441565768.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207057.0,22456794347.0,13.640009
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1,4902000000.0,10948887685.0,730790357.0,30378000000.0,703164607.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207060.0,6321527201.0,3.714073
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1333,7402000000.0,16526476811.0,1087994312.0,45698000000.0,1051661597.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207056.0,9720480620.0,5.720783
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1833,11066000000.0,24711208578.0,1635590498.0,68342000000.0,1574398171.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207061.0,14252767014.0,8.587745
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.3333,22664000000.0,50318911044.0,3307747077.0,139258000000.0,3190339389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207054.0,30409367660.0,17.496904
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.1833,11290000000.0,25137860714.0,1658056482.0,69598000000.0,1598786315.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207055.0,14838207777.0,8.474444
corona,miniFE.x,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.5166,35586000000.0,78812576791.0,5164384590.0,218014000000.0,4978210427.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207048.0,45599140575.0,27.571066
corona,miniFE.x,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,miniFE.x,0.2166,14214000000.0,31579244810.0,2075651059.0,87310000000.0,2001210358.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,207053.0,19131634507.0,11.045593
