machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,TestDfft,0.05,502171805.2,502177672.8,400898035.7,3701714890.0,35173590.63,305675203.6,71789209.88,49291086.53,-1.0,691333333.3,1678000000.0,731148.0,6.15e+18,871102377.0,0.590570333
lassen,TestDfft,0.0833,619367420.0,582233691.1,472808770.8,4553903270.0,55813457.29,854860453.5,90104001.73,63275089.63,-1.0,829333333.3,2185333333.0,731148.0,6.15e+18,1762681926.0,0.945744333
lassen,TestDfft,0.1166,1184808230.0,1113333091.0,900857916.4,8513851786.0,111141065.2,1578749513.0,164575824.8,121267448.2,-1.0,1547333333.0,3942000000.0,731138.6667,6.15e+18,3124406355.0,1.74029
lassen,TestDfft,0.2,2301220064.0,2423375841.0,1953162728.0,18203208584.0,162099983.4,2164997534.0,333317294.8,231197187.3,-1.0,3819333333.0,7815333333.0,731148.0,6.15e+18,5179756159.0,3.165187667
lassen,TestDfft,0.3333,4014940322.0,4057358399.0,3282569845.0,31086331489.0,359802628.4,5227833711.0,554925536.7,408380122.1,-1.0,6624000000.0,13540666667.0,731138.6667,6.15e+18,10999182824.0,5.978171667
lassen,TestDfft,0.5833,4927451393.0,4817322675.0,3975589057.0,37860849553.0,439309738.7,11275453190.0,879388145.7,696062664.2,-1.0,7846000000.0,16484666667.0,731129.3333,6.15e+18,26382732452.0,11.23359633
lassen,TestDfft,0.0333,6549538.179,1636045.703,4192347.561,46674391.81,270011.2558,7426737.405,9110379.227,1550438.907,-1.0,13333333.33,41333333.33,731138.6667,6.15e+18,25228965.92,0.022346667
lassen,TestDfft,0.0333,77265855.26,67324868.21,62081362.24,612479916.4,6534545.222,84890480.89,16053760.6,10118113.62,-1.0,142000000.0,293333333.3,731129.3333,6.15e+18,172969594.6,0.107521
lassen,TestDfft,0.0833,742930152.0,709301046.3,566379636.4,5402992871.0,66793153.67,1050377634.0,104332530.3,76898894.96,-1.0,976000000.0,2598666667.0,731120.0,6.15e+18,2114483503.0,1.124133667
lassen,TestDfft,0.7,5889170782.0,5802239956.0,4725683600.0,44787024677.0,525863443.8,13396082849.0,1039823105.0,837987002.4,-1.0,9414666667.0,19744000000.0,731148.0,6.15e+18,31703498917.0,13.592188
lassen,TestDfft,0.0333,9718638.28,6018.911256,7309954.78,69774237.32,322596.7169,13712770.71,12401744.11,3270870.898,-1.0,14666666.67,47333333.33,731148.0,6.15e+18,2169.904444,0.025652
lassen,TestDfft,0.0333,88379762.11,182014637.8,88510345.24,724936747.0,7720640.405,120897629.7,11176938.87,15489998.86,-1.0,157333333.3,342000000.0,731148.0,6.15e+18,171842833.1,0.124450333
lassen,TestDfft,0.0833,856368769.9,819245168.5,662281163.5,6289054923.0,77787703.22,1223175850.0,122487321.3,90180128.57,-1.0,1123333333.0,3008000000.0,731138.6667,6.15e+18,2429995545.0,1.291136
lassen,TestDfft,0.8166,6837550095.0,6785238431.0,5506046148.0,52340014996.0,609592026.4,14897043102.0,1192986010.0,983779981.9,-1.0,10983333333.0,23049333333.0,731148.0,6.15e+18,37183643844.0,15.80809033
lassen,TestDfft,0.0333,12070498.58,72669748.57,7575465.209,67640836.26,390940.4041,65487497.4,1865892.491,1817688.423,-1.0,16000000.0,54000000.0,731120.0,6.15e+18,1882.031023,0.026121667
lassen,TestDfft,0.0333,100226674.6,107441551.2,91367023.56,795493876.1,9184425.355,127287323.9,22025784.19,16145500.8,-1.0,173333333.3,394000000.0,731148.0,6.15e+18,203096029.8,0.139173667
lassen,TestDfft,0.0666,777610693.5,701767996.4,568588180.0,5386868082.0,50700092.67,489092109.9,99246519.79,76456796.82,-1.0,984666666.7,2520000000.0,731120.0,6.15e+18,1311565659.0,0.874543333
lassen,TestDfft,0.1666,1781097510.0,1731206072.0,1355807268.0,12836433788.0,160993634.5,2363362505.0,244325960.8,182055078.2,-1.0,2319333333.0,5905333333.0,731120.0,6.15e+18,4702867015.0,2.595811
lassen,TestDfft,0.2666,3262262239.0,4000967347.0,3158320570.0,27806998708.0,241522147.8,3141901203.0,485580250.5,346160514.0,-1.0,4899333333.0,11708666667.0,731138.6667,6.15e+18,7803524034.0,4.741349
lassen,TestDfft,0.4833,6029250826.0,6056154940.0,4911321746.0,46540329304.0,541577897.7,7721281985.0,832245773.5,608503578.6,-1.0,9932666667.0,20293333333.0,731120.0,6.15e+18,16192196029.0,9.088055667
lassen,TestDfft,0.1,986326017.0,937638856.4,757387054.9,7181178239.0,88681429.3,1412388728.0,138116921.7,104486864.0,-1.0,1270000000.0,3425333333.0,731138.6667,6.15e+18,2814539473.0,1.472610667
lassen,TestDfft,0.95,7756219131.0,7831625387.0,6357300025.0,59903606790.0,700181413.4,17890127652.0,1393348861.0,1112870246.0,-1.0,12552000000.0,26342000000.0,731120.0,6.15e+18,42231143034.0,18.13184767
lassen,TestDfft,0.0166,11201321.4,5127490.477,7893288.811,94983391.98,506897.6162,100716144.1,2481494.151,1847013.356,-1.0,18000000.0,60666666.67,731148.0,6.15e+18,310650.2707,0.02539
lassen,TestDfft,0.0333,123193929.5,132917574.3,109698224.8,965733474.7,11126126.8,112673481.0,20353090.82,15165606.97,-1.0,189333333.3,444000000.0,731129.3333,6.15e+18,232099033.7,0.159449667
lassen,TestDfft,0.1166,1104295157.0,1136456518.0,853442292.0,8043831274.0,95273323.13,1622392713.0,155713724.7,110010300.7,-1.0,1416666667.0,3839333333.0,731138.6667,6.15e+18,3023257879.0,1.65359
lassen,TestDfft,1.05,8819998611.0,8699846696.0,6987347315.0,67006215919.0,795234634.8,18528653447.0,1589315322.0,1238700223.0,-1.0,14120666667.0,29656000000.0,731148.0,6.15e+18,47964505883.0,20.09457433
lassen,TestDfft,0.0333,13483873.45,88423731.23,7530114.979,115718022.9,1061658.665,39158880.27,1252133.394,3275718.852,-1.0,19333333.33,66666666.67,731148.0,6.15e+18,8381157.044,0.027351667
lassen,TestDfft,0.0333,137601749.5,160925993.9,122645064.5,1066899445.0,11446739.38,229020621.4,19944705.62,18093131.59,-1.0,205333333.3,496666666.7,731138.6667,6.15e+18,257828428.6,0.172845667
lassen,TestDfft,0.0833,1024321348.0,958659432.6,759608156.8,7215212996.0,69905651.83,652375248.8,139894482.8,99661710.88,-1.0,1312000000.0,3336666667.0,731120.0,6.15e+18,1749101574.0,1.229545667
lassen,TestDfft,0.1166,1233071541.0,1172418083.0,934741054.8,8886462970.0,110651799.6,1702423745.0,174803782.8,123629465.7,-1.0,1563333333.0,4251333333.0,731120.0,6.15e+18,3451843857.0,1.854600667
lassen,TestDfft,0.2,2427695273.0,2352369949.0,1809957323.0,17080728374.0,192868712.4,3227728013.0,318085277.5,242546596.4,-1.0,3091333333.0,7865333333.0,731148.0,6.15e+18,6353739817.0,3.449739
lassen,TestDfft,0.35,4634574969.0,4772243040.0,3841598207.0,36021286175.0,322986094.5,4252854051.0,653457121.1,463019308.8,-1.0,7683333333.0,15604666667.0,731148.0,6.15e+18,10433572886.0,6.330231
lassen,TestDfft,0.6333,8045789313.0,8066896185.0,6553400974.0,62135158545.0,720579935.1,10383940610.0,1099127137.0,817310631.4,-1.0,13240666667.0,27044666667.0,731138.6667,6.15e+18,21478434128.0,11.899714
lassen,TestDfft,1.1833,9889827733.0,9559707915.0,7786582369.0,74520600449.0,882498088.1,22260445077.0,1757840225.0,1399329936.0,-1.0,15689333333.0,32962000000.0,731120.0,6.15e+18,52666052204.0,22.71427967
lassen,TestDfft,0.0333,16882312.09,71124038.17,11266558.77,99788144.74,1115970.439,64522831.37,3716433.761,2040156.389,-1.0,21333333.33,74000000.0,731148.0,6.15e+18,2890.860191,0.030517333
lassen,TestDfft,0.0333,151316295.3,220581549.0,132605264.5,1160066523.0,12704864.45,176328344.0,20830235.82,21208540.1,-1.0,221333333.3,546000000.0,731148.0,6.15e+18,270370971.8,0.1864
