machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,comd,0.05,486077.3316,23.3508898,971409.6227,3923653.895,1.724534137,4293093.225,636155.0043,290513.1857,-1.0,0.0,4666666.667,731148.0,372683.0,6295085.765,0.003336
lassen,comd,0.1333,,,,,6214644.874,19474841.31,2597030.791,888008.2308,-1.0,666666.6667,282172839.5,,,215239699.1,
lassen,comd,0.0333,490659.4313,2522012.824,2107226.791,15770863.09,0.909911444,1.537462702,566065.2469,265735.7665,-1.0,0.0,3333333.333,731148.0,372683.0,5466942.745,0.003336667
lassen,comd,0.1166,91914275.19,147792550.3,97627268.89,567585101.6,6549787.552,21531446.51,2749381.153,918102.9553,-1.0,1333333.333,246765432.1,,,208448904.3,
lassen,comd,0.05,538768.7499,1.355554498,750623.9557,4941136.229,0.333333333,1889428.343,1545819.356,388024.8901,-1.0,0.0,5333333.333,731120.0,372682.0,0.917580621,0.003335
lassen,comd,0.1333,84637061.81,158024108.3,93175628.2,544690538.5,5828055.018,20228198.2,2645861.217,1019626.837,-1.0,2000000.0,,,,180041061.6,
lassen,comd,0.0333,240777.599,15217.15578,25.51155918,57.76363458,0.979466021,1044128.964,970590.9607,458124.4746,-1.0,0.0,4666666.667,731120.0,372682.0,6988358.277,0.003336
lassen,comd,0.1333,92753404.39,159322036.8,102481211.3,576248700.2,,,,,-1.0,2666666.667,263753086.4,,,172779957.7,
lassen,comd,0.0333,267899.2814,0.416134773,89.16656076,1807036.781,0.779446109,1.608501021,979838.4922,99702.1821,-1.0,0.0,3333333.333,731120.0,372682.0,3955019.551,0.005002667
lassen,comd,0.1333,90663988.54,165077448.1,105812477.5,589197012.2,5000592.29,24258633.87,2272888.777,1267727.693,-1.0,3358024.691,280543209.9,,,197418241.6,
lassen,comd,0.0333,570426.874,1707675.809,1990206.652,14641361.9,0.691553323,582392.3242,31177.08589,366335.7255,-1.0,0.0,4000000.0,731120.0,372683.0,4999129.347,0.005003667
lassen,comd,0.1333,106849751.5,177562174.3,119803957.4,678813234.1,,,,,-1.0,4691358.025,292469135.8,,,198418862.8,
lassen,comd,0.0333,1082239.612,22.15576388,466184.6404,2948119.899,1.4266099,1621615.0,931354.9288,68860.31331,-1.0,0.0,5333333.333,731120.0,372682.0,8524225.578,0.005015333
lassen,comd,0.15,103051624.5,179372881.2,118318602.4,667283497.8,5437554.942,25611234.75,3168771.16,1450780.781,-1.0,,313382716.0,,,228928752.0,
