machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,deepcam,0.0333,815802.8096,3741400.921,3993558.396,7010415.613,20.09951088,195772.3471,865766.3784,63460.71512,-1.0,0.0,5333333.333,731148.0,372682.0,6671989.166,0.006672333
lassen,deepcam,0.1333,,,,,745223.7981,17646601.06,1732499.694,1716677.124,-1.0,5851851.852,38172839.51,,,49029333.86,
lassen,deepcam,0.05,455005.5978,0.418600429,438777.5038,1401918.132,3.441155608,843751.1453,55381.8477,528439.7098,-1.0,0.0,4666666.667,731148.0,372682.0,7908439.76,0.001668667
lassen,deepcam,0.1333,993788.8644,4997500.014,2027653.899,8040296.739,114225.8778,6323846.498,1814999.394,506370.4075,-1.0,,9975308.642,,,5752232.089,
lassen,deepcam,0.05,283325.5257,3446448.575,592944.3731,2504593.022,0.615113928,1631276.89,864877.8814,455332.043,-1.0,0.0,3333333.333,731148.0,372682.0,2.339778932,0.003337333
lassen,deepcam,0.1166,767008.4836,2589130.724,2038213.123,8306079.784,,,,,-1.0,,6222222.222,,,4775210.45,
lassen,deepcam,0.05,681297.1477,6018.31871,783889.8068,0.823970767,1646.452082,25254368.52,478956.4569,2175504.694,-1.0,0.0,4000000.0,731138.6667,372682.0,1.549514663,0.003335333
lassen,deepcam,0.1666,1836241.537,3490752.956,2958161.571,16532775.88,134688.8484,4278283.212,1499214.23,468198.795,-1.0,,5925925.926,,,,
lassen,deepcam,0.05,479794.8227,4487856.638,2725282.949,9552607.926,0.837483215,2816005.617,112484.6697,384967.0342,-1.0,0.0,4000000.0,731138.6667,372682.0,69.54689579,0.001668
lassen,deepcam,0.1833,,,,,,,,,-1.0,0.0,12518518.52,380235.3086,63474.40741,6559327.846,0.045307062
lassen,deepcam,0.05,462587.5837,3115848.448,1534448.196,6637849.572,25.16224203,2146436.701,463036.4649,220969.0146,-1.0,0.0,4000000.0,731120.0,372682.0,5669915.792,0.003334667
lassen,deepcam,0.1666,888083.3479,4665630.121,3127530.895,13466978.68,,,,,-1.0,,6197530.864,,,,
lassen,deepcam,0.05,487328.6477,5119941.16,1790537.851,13249888.3,33.09195299,10294.73567,875238.5861,56751.63626,-1.0,0.0,5333333.333,731129.3333,372682.0,67.00271539,0.003386667
lassen,deepcam,0.1666,1228674.773,4693318.338,2870264.787,8906414.05,108350.7198,2051591.529,1155713.218,408863.8963,-1.0,,14814814.81,380207.3086,63473.40741,3915834.498,0.041550889
lassen,deepcam,0.0333,385407.8796,5672140.844,576849.7887,2428805.391,0.333333333,423460.4896,2013480.741,177965.9911,-1.0,0.0,4000000.0,731120.0,372682.0,8991220.368,0.005033667
lassen,deepcam,0.1666,1167969.399,10977614.68,2063349.185,10413723.47,189555.0151,3675200.978,597588.1213,599964.627,-1.0,0.0,11012345.68,380216.642,63473.30864,,0.044729877
lassen,deepcam,0.0333,154445.8956,0.407517912,677143.0166,9578.156668,26.94065612,3223745.466,1145874.379,900808.3451,-1.0,0.0,4666666.667,731148.0,372682.0,2.805729862,0.006671
lassen,deepcam,0.1166,923393.4448,3337485.088,2865122.93,12181539.77,154300.9101,2055166.813,1010347.166,246162.059,-1.0,0.0,6074074.074,,,5349734.279,
lassen,deepcam,0.05,535471.4921,22.81365663,1220138.961,6245730.528,0.333333333,2477873.265,75045.22299,502739.2143,-1.0,0.0,4000000.0,731138.6667,372682.0,2.574304683,0.006697667
lassen,deepcam,0.1166,1058872.21,4027084.393,2539048.251,13249833.53,98347.25169,2852949.668,782537.2994,331945.7075,-1.0,0.0,9679012.346,,,5858764.527,
lassen,deepcam,0.0333,444636.3366,6981.623213,486395.3374,0.478273992,17.9470956,6234596.703,234546.1245,1059777.134,-1.0,0.0,6000000.0,731148.0,372683.0,2.277585519,0.005002333
lassen,deepcam,0.1,937563.3152,5667005.837,2297228.771,6781623.969,228803.6584,4021908.382,963764.2196,560751.3225,-1.0,0.0,6641975.309,,,6699487.028,
lassen,deepcam,0.1,339111.1115,4755834.064,4214004.465,13284375.98,0.333333333,5052862.455,138943.3974,726939.6439,-1.0,0.0,4000000.0,731148.0,372682.0,3349171.788,0.001668
