machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,kripke.exe,0.1166,17378135.42,61577638.45,53133214.83,165067860.4,4213438.251,31967029.78,3404025.301,11918925.74,-1.0,666666.6667,46000000.0,731148.0,6.15e+18,67323923.18,0.067094667
lassen,kripke.exe,0.0333,19958811.55,58311404.28,51114796.02,172835207.2,5011804.738,50649647.15,4804371.823,11250595.18,-1.0,666666.6667,44000000.0,731148.0,6.15e+18,71116546.89,0.065660333
lassen,kripke.exe,0.05,17957227.25,51794117.67,54208010.19,132909898.9,5208418.935,62720394.41,3353490.512,12188866.22,-1.0,666666.6667,50000000.0,731148.0,6.15e+18,75774402.17,0.072212667
lassen,kripke.exe,0.0333,19775911.87,52104200.3,65022168.64,165450633.9,7651154.136,49407151.57,4801431.242,9297040.58,-1.0,666666.6667,46000000.0,731129.3333,6.15e+18,92009692.27,0.077169333
lassen,kripke.exe,0.0333,22215527.23,37956117.45,73654268.81,228460914.0,5364282.168,71349025.78,4136185.996,14518242.61,-1.0,666666.6667,46000000.0,731120.0,6.15e+18,85780446.42,0.070424667
lassen,kripke.exe,0.0333,22113433.69,88997617.05,129815930.3,253274002.8,7998201.439,93958355.93,8997777.096,19688133.25,-1.0,666666.6667,54666666.67,731120.0,6.15e+18,112204882.0,0.114096667
lassen,kripke.exe,0.05,25234642.38,98899931.92,118600673.7,267049213.5,10217244.45,125996256.4,3457000.999,23406267.56,-1.0,666666.6667,54000000.0,731148.0,6.15e+18,132173832.4,0.126023
lassen,kripke.exe,0.0333,26422465.51,85895475.93,104701621.4,271286165.6,12385688.63,92046960.44,5467384.51,21975194.31,-1.0,666666.6667,55333333.33,731148.0,6.15e+18,146322957.7,0.123771333
lassen,kripke.exe,0.05,29549423.77,69214425.0,107670716.9,278389594.6,9847943.875,138003423.2,2904370.909,27405626.36,-1.0,666666.6667,64000000.0,731129.3333,6.15e+18,165306286.6,0.107090333
lassen,kripke.exe,0.05,28951436.85,81992521.98,103825647.5,307702604.4,9713078.575,151318809.6,2690262.657,29791667.2,-1.0,1333333.333,60666666.67,731138.6667,6.15e+18,153473752.7,0.11716
lassen,kripke.exe,0.0333,14207523.71,43314815.5,28039254.37,121749633.8,4421822.576,23250044.0,3318707.295,4856280.676,-1.0,666666.6667,44666666.67,731120.0,6.15e+18,44704933.82,0.058857
lassen,kripke.exe,0.0333,16666077.06,53669860.45,45222518.67,150769585.2,3955573.439,31312851.21,6137517.662,5473998.293,-1.0,666666.6667,42000000.0,731120.0,6.15e+18,66550166.24,0.062586333
lassen,kripke.exe,0.0333,18112593.23,40137939.3,35909617.44,135029040.5,4066584.878,26284385.79,6399160.006,5848493.112,-1.0,666666.6667,46000000.0,731138.6667,6.15e+18,66168872.22,0.05551
lassen,kripke.exe,0.0333,15866242.89,44563095.27,39142803.62,129914139.1,4511492.621,16737398.72,3062847.414,7210323.761,-1.0,666666.6667,41333333.33,731120.0,6.15e+18,27694656.16,0.052264333
lassen,kripke.exe,0.0333,18090086.25,28723194.14,28775726.42,127625814.8,4572935.595,25733091.93,10674368.47,4993338.803,-1.0,666666.6667,38666666.67,731120.0,6.15e+18,47041563.26,0.057339
lassen,kripke.exe,0.0333,15258670.75,32.70250127,25433216.26,61210648.68,2066739.984,6413193.332,1310812.088,2504307.659,-1.0,666666.6667,39333333.33,731129.3333,6.15e+18,29209219.87,0.055565667
lassen,kripke.exe,0.0333,15599651.14,16541279.58,23878195.18,99299183.53,1724766.715,40323623.72,1222806.815,6309065.769,-1.0,666666.6667,37333333.33,731148.0,6.15e+18,53373733.68,0.055340667
lassen,kripke.exe,0.0333,15295958.36,15714781.11,24017272.85,88834965.57,1168236.138,23048330.1,3050053.213,5116272.391,-1.0,666666.6667,36666666.67,731120.0,6.15e+18,32476837.49,0.057237
lassen,kripke.exe,0.0333,17193051.78,16265417.11,28696631.35,93485030.19,1935302.963,33096329.23,6224935.872,3284966.397,-1.0,666666.6667,39333333.33,731148.0,6.15e+18,28038424.18,0.068829333
lassen,kripke.exe,0.05,18059432.12,6488180.058,28065950.12,86220966.99,2094413.183,34818374.2,2191251.285,5111775.649,-1.0,666666.6667,38666666.67,731120.0,6.15e+18,67442804.57,0.056950333
lassen,kripke.exe,0.0333,19377342.16,16061699.6,33445414.5,88332620.39,3016236.208,50461543.75,1271171.193,5462260.289,-1.0,666666.6667,42666666.67,731129.3333,6.15e+18,68406869.67,0.068487667
lassen,kripke.exe,0.05,18453741.45,20147876.07,40332929.3,107350038.4,2140560.395,77873482.24,628662.8356,7730409.06,-1.0,666666.6667,48000000.0,731138.6667,6.15e+18,74757534.24,0.05896
lassen,kripke.exe,0.05,17199217.08,36895401.29,47495319.79,113350786.4,2285684.717,14830373.11,1332121.677,4812236.789,-1.0,666666.6667,45333333.33,731129.3333,6.15e+18,84502392.6,0.069053333
lassen,kripke.exe,0.0333,23094672.45,24595898.16,44487082.79,183817448.7,2989792.13,74270005.59,1399377.291,8661739.401,-1.0,666666.6667,50000000.0,731148.0,6.15e+18,75697003.59,0.079424333
lassen,kripke.exe,0.05,23735106.1,22867790.01,36521438.19,146063590.8,2819743.735,109006070.3,1691072.169,10474400.51,-1.0,1333333.333,62666666.67,731138.6667,6.15e+18,96943356.05,0.083954333
lassen,kripke.exe,0.0333,10168566.29,26361476.04,23777443.36,126242498.4,1014810.903,15239832.32,493067.4141,1705994.827,-1.0,666666.6667,36000000.0,731120.0,6.15e+18,16095816.01,0.047114667
lassen,kripke.exe,0.0333,12296083.31,13675392.74,12473811.92,81289788.42,1302108.967,14290687.77,687229.9006,3355531.151,-1.0,666666.6667,38000000.0,731120.0,6.15e+18,39675641.38,0.046957
lassen,kripke.exe,0.0333,13069105.72,937604.0879,12689278.75,63876779.29,2005531.572,21375722.56,575354.5058,4007356.253,-1.0,666666.6667,36000000.0,731138.6667,6.15e+18,44292020.96,0.048742667
lassen,kripke.exe,0.0333,11652741.1,38336660.6,17721312.02,89442649.64,1630228.339,9415143.663,2153878.853,2973648.27,-1.0,666666.6667,32666666.67,731120.0,6.15e+18,14959792.59,0.043674333
lassen,kripke.exe,0.0333,14298679.17,19214730.89,13474730.07,89849380.31,1754384.823,20684529.74,1152300.452,4069550.075,-1.0,666666.6667,40000000.0,731129.3333,6.15e+18,34616353.02,0.049171
lassen,kripke.exe,0.0333,28885223.01,56596994.25,70853352.48,259636876.3,10347630.5,67855210.59,6991795.25,10183664.14,-1.0,666666.6667,67333333.33,731148.0,6.15e+18,107035683.2,0.095887333
lassen,kripke.exe,0.05,26848887.26,72849394.84,89572258.48,291994952.5,7567847.777,56713437.03,6955850.417,18644141.21,-1.0,666666.6667,63333333.33,731120.0,6.15e+18,97485373.56,0.091236
lassen,kripke.exe,0.05,27904733.46,72583536.9,82421064.07,231194253.0,10732086.22,62679241.16,6146370.532,13773219.07,-1.0,666666.6667,63333333.33,731138.6667,6.15e+18,133674857.8,0.099021667
