machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,miniFE.x,0.25,3643899731.0,7908187297.0,562872935.9,27579387623.0,257109459.3,24099939.23,459067165.0,1374748.127,-1.0,3270666667.0,12411333333.0,731148.0,6.15e+18,7026687308.0,4.254396667
lassen,miniFE.x,0.1333,1848542532.0,3874319134.0,280473361.4,13833418149.0,129468744.9,30109365.25,230597139.6,1327511.696,-1.0,1640000000.0,6217333333.0,731129.3333,6.15e+18,3406131223.0,2.103523667
lassen,miniFE.x,0.0833,899401490.3,1984152630.0,146214639.5,6870660266.0,64431020.63,14003207.9,115216308.9,814180.0701,-1.0,822000000.0,3109333333.0,731120.0,6.15e+18,1722087876.0,1.043415
lassen,miniFE.x,0.1,1367485207.0,2951597994.0,218611346.1,10289441514.0,96392773.8,7448690.187,173210104.8,1034544.184,-1.0,1231333333.0,4664000000.0,731138.6667,6.15e+18,2583029338.0,1.586495
lassen,miniFE.x,0.15,2056147840.0,4371355181.0,306166743.3,15448066704.0,144497564.6,23012326.75,257221912.1,1575252.789,-1.0,1843333333.0,6988000000.0,731120.0,6.15e+18,3867422221.0,2.372047667
lassen,miniFE.x,0.3,4591336514.0,9724186258.0,691645021.6,34393704526.0,322291941.7,33394760.01,572349753.7,2857244.639,-1.0,4084666667.0,15500000000.0,731120.0,6.15e+18,8583440493.0,5.260464667
lassen,miniFE.x,0.1666,2279243587.0,4898690163.0,352624856.4,17258253185.0,161990280.4,28360433.04,287123554.2,2289741.139,-1.0,2048000000.0,7767333333.0,731148.0,6.15e+18,4450328380.0,2.689893
lassen,miniFE.x,0.45,7207618432.0,15318284829.0,1074182930.0,53912980489.0,502464404.3,59017498.74,890718442.8,3247674.976,-1.0,6374666667.0,24252000000.0,731148.0,6.15e+18,13424869290.0,8.228204333
lassen,miniFE.x,0.2,2890960211.0,6085907838.0,430769235.7,21544539197.0,202626020.4,32072089.09,361583658.0,1696038.689,-1.0,2558666667.0,9722666667.0,731138.6667,6.15e+18,5396560805.0,3.304478333
lassen,miniFE.x,0.1666,1147016166.0,2426567381.0,173961350.3,8612393690.0,80771622.96,9472722.246,145169622.8,1144707.211,-1.0,1027333333.0,3881333333.0,731120.0,6.15e+18,2157711369.0,1.303277667
