machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,miniqmc,0.05,142001.7251,0.415208908,582229.1095,3550438.576,0.635186459,844413.8457,66678.86169,359789.2153,-1.0,0.0,4000000.0,731120.0,372683.0,5910745.877,0.003336333
lassen,miniqmc,0.15,,,,,18324594.5,44863591.33,6092349.038,894795.7521,-1.0,1259259.259,665530864.2,380207.3086,6.15e+18,512908806.2,0.451690753
lassen,miniqmc,0.2,341666.5967,7941341.584,4819710.658,18.5967297,0.884292175,0.36247204,1084598.243,304217.321,-1.0,0.0,4000000.0,731120.0,372682.0,5052438.295,0.003334667
lassen,miniqmc,0.1333,240834419.6,416927364.5,263865125.6,1492992835.0,,,,,-1.0,1580246.914,674493827.2,,,,
lassen,miniqmc,0.05,492268.9343,0.413443367,1589594.228,2971353.18,0.564723177,6902871.953,30835.57116,794696.9816,-1.0,0.0,3333333.333,731148.0,372682.0,1.656825456,0.001667667
lassen,miniqmc,0.1333,256152827.2,433235325.5,270808080.7,1559844944.0,17462276.75,43455817.02,7044240.25,952295.453,-1.0,2123456.79,690962963.0,,,499701242.6,
lassen,miniqmc,0.1,843850.6136,7888583.839,2895792.828,6591777.641,0.940769211,1813740.94,60168.35689,493069.2438,-1.0,0.0,4666666.667,731120.0,372682.0,6182253.645,0.003336333
lassen,miniqmc,0.1333,258199395.1,427456039.1,275072326.2,1575067642.0,19260870.2,43694205.19,5802404.132,1071841.412,-1.0,2913580.247,725037037.0,,,536338678.2,
lassen,miniqmc,0.05,629612.2051,2824183.451,4106923.474,17883455.73,15.76556875,3246682.345,20.99615104,841986.5576,-1.0,0.0,4666666.667,731148.0,372683.0,2.281349175,0.006670333
lassen,miniqmc,0.15,,,,,,,,,-1.0,4000000.0,727728395.1,,,,
lassen,miniqmc,0.05,272683.629,4663211.313,21.86171908,2582244.948,0.740105191,0.378420548,103592.8549,202690.722,-1.0,0.0,5333333.333,731148.0,372683.0,9863221.819,0.006672
lassen,miniqmc,0.15,298059188.6,498970819.2,320620553.6,1826251620.0,17791592.05,44814758.7,6295822.596,1300027.224,-1.0,5234567.901,,,,558710981.8,
lassen,miniqmc,0.0333,1134148.233,19.6926727,607886.2436,4054391.005,0.58110652,12638908.3,1086624.803,420722.9592,-1.0,0.0,5333333.333,731148.0,372683.0,5978851.952,0.003336333
lassen,miniqmc,0.1666,286552783.1,516728834.3,331353493.6,1850167216.0,20014310.88,50917932.07,7437375.177,1427996.765,-1.0,,813308642.0,,,567418090.4,
