machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,XSBench,3.0666,13388000000.0,16880000000.0,7798000000.0,54742000000.0,1248000000.0,430000000.0,752000000.0,66000000.0,0.0,509208193.0,1018047644.0,0.0,0.0,970000000.0,22.448796
quartz,XSBench,9.1333,13386000000.0,16878000000.0,7798000000.0,54742000000.0,1248000000.0,430000000.0,752000000.0,66000000.0,0.0,509041942.0,1017950639.0,0.0,0.0,980000000.0,22.220129
quartz,XSBench,2.05,25350000000.0,28078000000.0,13452000000.0,99144000000.0,1522000000.0,622000000.0,880000000.0,72000000.0,0.0,509010061.0,1017700357.0,0.0,0.0,3354000000.0,32.554088
quartz,XSBench,4.4166,29282000000.0,37034000000.0,16988000000.0,119554000000.0,3036000000.0,932000000.0,1846000000.0,164000000.0,0.0,1068820452.0,2191799168.0,0.0,0.0,2512000000.0,49.769785
quartz,XSBench,11.0666,29280000000.0,37034000000.0,16986000000.0,119554000000.0,3032000000.0,930000000.0,1844000000.0,162000000.0,0.0,1068632750.0,2191496255.0,0.0,0.0,2538000000.0,50.321669
quartz,XSBench,5.6333,54784000000.0,60984000000.0,29082000000.0,214226000000.0,3616000000.0,1342000000.0,2122000000.0,174000000.0,0.0,1068397294.0,2191265106.0,0.0,0.0,7786000000.0,72.028538
quartz,XSBench,1.35,524000000.0,650000000.0,312000000.0,2160000000.0,32000000.0,14000000.0,10000000.0,0.0,0.0,24280065.0,48303909.0,0.0,0.0,16000000.0,0.763193
quartz,XSBench,4.2,524000000.0,650000000.0,312000000.0,2160000000.0,32000000.0,14000000.0,10000000.0,0.0,0.0,24250438.0,48310190.0,0.0,0.0,16000000.0,0.75416
quartz,XSBench,1.3833,6754000000.0,4016000000.0,2002000000.0,22650000000.0,50000000.0,30000000.0,20000000.0,0.0,0.0,24407849.0,48360436.0,0.0,0.0,98000000.0,6.190045
quartz,XSBench,0.2333,100000000.0,124000000.0,60000000.0,416000000.0,6000000.0,2000000.0,2000000.0,0.0,0.0,5028609.0,9363602.0,0.0,0.0,2000000.0,0.177924
quartz,XSBench,0.9166,100000000.0,124000000.0,60000000.0,416000000.0,6000000.0,2000000.0,2000000.0,0.0,0.0,4913505.0,9522386.0,0.0,0.0,2000000.0,0.178815
quartz,XSBench,0.3,394000000.0,312000000.0,154000000.0,1422000000.0,8000000.0,4000000.0,2000000.0,0.0,0.0,4742281.0,9379119.0,0.0,0.0,14000000.0,0.438015
quartz,XSBench,3.05,13388000000.0,16878000000.0,7798000000.0,54742000000.0,1248000000.0,430000000.0,752000000.0,66000000.0,0.0,508948854.0,1017993458.0,0.0,0.0,970000000.0,22.523421
quartz,XSBench,8.9666,13382000000.0,16876000000.0,7798000000.0,54738000000.0,1248000000.0,430000000.0,750000000.0,66000000.0,0.0,508777977.0,1018356907.0,0.0,0.0,878000000.0,21.872495
