machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,amg,0.0833,0.0,0.0,0.0,2000000.0,,,,,0.0,84.34375,27491.46875,69871.03125,2106167.688,0.0,0.0475935
quartz,amg,0.0666,0.0,0.0,0.0,2000000.0,,,,,0.0,88.5625,28708.65625,69839.03125,2106166.688,0.0,0.045753094
quartz,amg,0.0666,0.0,0.0,0.0,2000000.0,,,,,0.0,68.40625,25731.65625,69871.03125,2106167.688,0.0,0.043990656
quartz,amg,0.0666,0.0,0.0,0.0,2000000.0,,,,,0.0,82.25,26262.0,69871.03125,2106167.688,0.0,0.044634094
quartz,amg,0.0666,0.0,0.0,0.0,2000000.0,,,,,0.0,78.65625,26210.8125,69872.0,2106167.719,0.0,0.04504325
quartz,amg,0.55,18786375000.0,31292500000.0,8324937500.0,86553312500.0,441937500.0,114937500.0,78562500.0,16250000.0,659.78125,1411820640.0,1976832861.0,65449.96875,2105918.469,1567500000.0,27.23982438
quartz,amg,0.0666,56625000.0,83937500.0,28687500.0,252812500.0,1125000.0,0.0,0.0,0.0,733.3125,2699002.969,5520352.063,65449.96875,2105918.469,4750000.0,0.123995
quartz,amg,0.0833,171937500.0,344937500.0,76437500.0,891687500.0,5187500.0,1875000.0,687500.0,0.0,655.4375,21335950.34,16778129.88,63237.5625,2105784.781,24000000.0,0.397998719
quartz,amg,0.1166,1168625000.0,2568312500.0,481625000.0,6352125000.0,37687500.0,14687500.0,8812500.0,1375000.0,750.1875,176217740.7,124674078.0,67660.53125,2106052.031,167062500.0,2.769404156
quartz,amg,0.0666,42187500.0,53062500.0,23125000.0,175937500.0,0.0,0.0,0.0,0.0,715.28125,333486.6563,3787210.031,67660.53125,2106052.031,2562500.0,0.098769188
quartz,amg,0.4166,5739694444.0,10806694444.0,858305555.6,24650416667.0,174694444.4,31000000.0,41083333.33,8361111.111,54.58333333,485080956.3,393656806.1,525.0555556,30141.80556,1172500000.0,22.71462425
quartz,amg,0.0333,354083333.3,488916666.7,48500000.0,1222555556.0,27777.77778,27777.77778,0.0,27777.77778,47.34722222,875933.8472,836787.6667,525.0555556,30141.79167,5333333.333,0.255834486
quartz,amg,2.6333,22790055556.0,54994416667.0,3712083333.0,118197000000.0,2095777778.0,221083333.3,360388888.9,46444444.44,55.45833333,3903381106.0,3136800416.0,525.0555556,30141.79167,6288250000.0,158.0780613
quartz,amg,0.0333,467527777.8,683611111.1,65611111.11,1677750000.0,2555555.556,83333.33333,27777.77778,0.0,50.40277778,7265737.347,6242837.292,525.0555556,30141.79167,20972222.22,0.826545278
quartz,amg,0.0833,1436388889.0,2328694444.0,203972222.2,5535000000.0,23777777.78,3888888.889,3638888.889,27777.77778,56.94444444,59939245.21,49257227.43,525.0555556,30141.79167,91972222.22,3.440233028
quartz,amg,0.0333,55861111.11,77055555.56,7861111.111,193277777.8,0.0,0.0,0.0,0.0,31.33333333,100177.0833,469887.4167,525.0555556,30141.77778,1388888.889,0.185271833
quartz,amg,4.2833,149462000000.0,273843000000.0,66504312500.0,726888000000.0,6495937500.0,1322250000.0,1001750000.0,181187500.0,930.3125,14801460956.0,17467991021.0,63267.4375,2105785.719,21635812500.0,250.0452323
quartz,amg,0.0833,419437500.0,711312500.0,232437500.0,2009812500.0,21250000.0,8625000.0,2937500.0,937500.0,904.4375,31394365.38,56694203.09,67661.5,2106052.125,63687500.0,0.497231406
quartz,amg,0.1333,1386250000.0,3234937500.0,595812500.0,7827000000.0,79250000.0,29875000.0,21687500.0,4875000.0,763.25,231104012.0,170910051.6,63267.4375,2105785.719,319250000.0,3.177126719
quartz,amg,0.5,8897187500.0,23253437500.0,3422187500.0,53642125000.0,447312500.0,181750000.0,129562500.0,27312500.0,874.6875,1851023676.0,1011654445.0,65478.15625,2105919.344,2356437500.0,24.823365
quartz,amg,0.0833,293187500.0,385000000.0,174625000.0,1227000000.0,7187500.0,4562500.0,312500.0,437500.0,835.0,4267426.406,32171258.41,65479.96875,2105919.406,32000000.0,0.294766125
