machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,deepcam,0.25,4371611111.0,6909444444.0,966416666.7,17403833333.0,46361111.11,26777777.78,9777777.778,4361111.111,696152.75,1376774071.0,303037841.1,525.0416667,30141.86111,1168472222.0,12.4776744
quartz,deepcam,1.9166,52926888889.0,119392000000.0,47241407407.0,340774000000.0,1388222222.0,1093259259.0,306222222.2,163185185.2,41677782.37,80354791952.0,26958602383.0,63893.40741,2105702.778,21214740741.0,106.1961973
quartz,deepcam,0.2833,5009805556.0,7834166667.0,1072333333.0,19723694444.0,49333333.33,28472222.22,10361111.11,5972222.222,738770.3194,1458105085.0,311366761.9,525.0555556,30141.88889,1260416667.0,12.92745949
quartz,deepcam,2.05,60298444444.0,133636000000.0,53598444444.0,382949000000.0,1374296296.0,1155259259.0,315407407.4,174370370.4,43241975.22,83338909169.0,28040610663.0,66466.55556,2105837.333,23041037037.0,115.7062258
quartz,deepcam,0.2833,4740500000.0,7527111111.0,1061416667.0,18963166667.0,54277777.78,30444444.44,11305555.56,6222222.222,783165.2222,1534612823.0,336231805.7,525.0416667,30141.86111,1329444444.0,14.14262093
quartz,deepcam,2.15,59721111111.0,134961000000.0,53739407407.0,385227000000.0,1456148148.0,1256666667.0,341851851.9,190666666.7,45838641.63,88323702941.0,29725097096.0,61296.03704,2105567.333,23431777778.0,120.6094499
quartz,deepcam,0.3,5050666667.0,8009916667.0,1127388889.0,20180916667.0,55861111.11,32611111.11,12305555.56,6250000.0,829135.2222,1617347655.0,348568627.2,525.0555556,30141.90278,1375472222.0,14.77154121
quartz,deepcam,2.3333,68035185185.0,150603000000.0,60400370370.0,431263000000.0,1633925926.0,1313555556.0,382962963.0,201481481.5,49634846.52,95704764874.0,34973601061.0,61296.03704,2105567.333,25705555556.0,130.0129499
quartz,deepcam,0.3,5461666667.0,8636388889.0,1207555556.0,21753388889.0,70305555.56,34666666.67,12333333.33,6361111.111,877020.4861,1714357775.0,364308603.5,525.0416667,30141.86111,1280888889.0,15.2970215
quartz,deepcam,2.4666,60619925926.0,144826000000.0,56761629630.0,409003000000.0,2734370370.0,1627777778.0,397185185.2,213555555.6,52496495.44,101203000000.0,36840816194.0,66466.55556,2105837.333,29279111111.0,138.0022089
quartz,deepcam,0.3166,5404500000.0,8625083333.0,1228361111.0,21735305556.0,64833333.33,35416666.67,15055555.56,7055555.556,926361.3194,1799015718.0,400226897.4,525.0555556,30141.90278,1545166667.0,16.25603613
quartz,deepcam,2.6666,73834148148.0,165139000000.0,66173629630.0,473045000000.0,1823703704.0,1491925926.0,414740740.7,232666666.7,55467893.44,106936000000.0,39821948007.0,63892.55556,2105702.815,29423555556.0,149.3442267
quartz,deepcam,0.35,6239694444.0,9832361111.0,1364861111.0,24760305556.0,69833333.33,37694444.44,15194444.44,8111111.111,977726.2917,1889282789.0,408224044.8,525.0555556,30141.88889,1587000000.0,17.19584283
quartz,deepcam,2.7666,73018592593.0,167673000000.0,67031555556.0,478592000000.0,1926222222.0,1558740741.0,445777777.8,240666666.7,58549502.59,112889000000.0,40306613679.0,66492.59259,2105838.37,32093185185.0,154.4115004
quartz,deepcam,0.3666,6708027778.0,10538833333.0,1456055556.0,26540638889.0,69138888.89,39500000.0,15472222.22,8361111.111,1030862.222,1987135875.0,426258399.0,525.0555556,30141.90278,1771472222.0,17.49344461
quartz,deepcam,2.9166,80100074074.0,177228000000.0,71643259259.0,511383000000.0,1933333333.0,1672074074.0,464222222.2,266148148.1,61740927.41,119033000000.0,43106641679.0,61296.11111,2105567.481,33379333333.0,163.825555
quartz,deepcam,0.3833,6388194444.0,10184972222.0,1445555556.0,25661444444.0,71805555.56,42111111.11,16055555.56,8416666.667,1085674.486,2093452694.0,467325878.2,525.0555556,30141.90278,1850666667.0,18.3844936
quartz,deepcam,3.05,93286148148.0,203738000000.0,83162814815.0,587357000000.0,2295481481.0,1702370370.0,524222222.2,270370370.4,65045983.7,125373000000.0,39984354960.0,63894.33333,2105702.889,35879925926.0,172.8682472
quartz,deepcam,0.3833,6756166667.0,10757333333.0,1525500000.0,27110416667.0,76222222.22,44388888.89,17777777.78,8361111.111,1142497.764,2197501859.0,486637446.5,525.0555556,30141.875,2059611111.0,19.09659785
quartz,deepcam,3.25,100681000000.0,217816000000.0,88832222222.0,628344000000.0,2112296296.0,1791851852.0,517407407.4,290296296.3,66947338.89,128982000000.0,45429769374.0,58697.77778,2105431.852,37725555556.0,183.6439207
quartz,deepcam,0.4,7277722222.0,11548722222.0,1625750000.0,29094166667.0,83138888.89,46861111.11,18444444.44,8638888.889,1201877.444,2313485283.0,495775909.7,525.0555556,30141.875,2064777778.0,19.49201171
quartz,deepcam,3.4333,103240000000.0,219936000000.0,89492074074.0,637628000000.0,2302444444.0,1943407407.0,564296296.3,310370370.4,72009882.26,138846000000.0,51959155610.0,63894.2963,2105702.815,39156222222.0,193.5986673
quartz,deepcam,0.1333,2382055556.0,3734666667.0,515222222.2,9405444444.0,25833333.33,13833333.33,4277777.778,2166666.667,357288.6389,711701843.7,151750111.5,525.0555556,30141.90278,605027777.8,5.941247931
quartz,deepcam,0.95,30253185185.0,66489111111.0,27214444444.0,191589000000.0,702666666.7,561481481.5,136740740.7,79111111.11,21341186.96,41178257047.0,13683981638.0,61295.2963,2105567.519,10376592593.0,50.34169726
