machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,kripke.exe,0.05,7111111.111,46305555.56,11166666.67,98944444.44,1722222.222,1666666.667,83333.33333,83333.33333,6.25,26038075.93,26638959.25,525.0555556,30141.91667,11777777.78,0.026956764
quartz,kripke.exe,0.0666,75750000.0,174875000.0,67000000.0,512312500.0,1062500.0,1937500.0,0.0,0.0,918.09375,59878157.44,60886473.88,69879.78125,2106185.938,33937500.0,0.128288781
quartz,kripke.exe,0.0666,12416666.67,73916666.67,17916666.67,165555555.6,1750000.0,2388888.889,83333.33333,83333.33333,9.152777778,38292887.64,26702311.21,525.0555556,30141.91667,11916666.67,0.033633833
quartz,kripke.exe,0.1166,92375000.0,247250000.0,86375000.0,692687500.0,1812500.0,2000000.0,0.0,0.0,909.875,87323430.56,60529382.91,67700.0,2106053.344,36375000.0,0.138301375
quartz,kripke.exe,0.0833,21527777.78,120250000.0,29166666.67,277444444.4,2472222.222,3583333.333,138888.8889,111111.1111,22.0,58800006.71,26588580.17,525.0555556,30141.91667,11750000.0,0.044539444
quartz,kripke.exe,0.0666,109500000.0,344687500.0,109875000.0,925125000.0,3187500.0,3875000.0,0.0,0.0,879.375,129880106.6,59007371.91,67700.0,2106053.344,34187500.0,0.169969125
quartz,kripke.exe,0.1166,34333333.33,185222222.2,44916666.67,434333333.3,2833333.333,5250000.0,138888.8889,111111.1111,19.0,87480035.36,26651083.21,525.0555556,30141.91667,12694444.44,0.063305028
quartz,kripke.exe,0.1,143812500.0,498375000.0,150062500.0,1305437500.0,4187500.0,4000000.0,0.0,0.0,916.9375,199013968.4,60940977.06,69912.75,2106186.969,37250000.0,0.233559719
quartz,kripke.exe,0.1333,50722222.22,268611111.1,65166666.67,635722222.2,3055555.556,7444444.444,166666.6667,111111.1111,5.055555556,124326588.8,26606524.21,525.0555556,30141.91667,12750000.0,0.085654347
quartz,kripke.exe,0.0833,183687500.0,707562500.0,202312500.0,1811562500.0,6937500.0,3875000.0,0.0,0.0,916.375,281628430.6,60611957.84,67669.0,2106052.375,32812500.0,0.270741094
quartz,kripke.exe,0.1,15583333.33,99138888.89,23166666.67,211944444.4,3472222.222,3388888.889,166666.6667,194444.4444,11.29166667,53147028.29,53375364.1,525.0555556,30141.91667,23694444.44,0.052778278
quartz,kripke.exe,0.0666,119875000.0,325937500.0,116500000.0,918375000.0,1500000.0,5812500.0,0.0,0.0,922.875,120947183.7,120348567.4,67700.0,2106053.344,60687500.0,0.217653906
