machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,comd,0.0333,24000000.0,127480053.0,37775452.0,364000000.0,13160240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,51999570.0,0.080118
corona,comd,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,32000000.0,199051526.0,60620877.0,540000000.0,16826164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,84157634.0,0.130132
corona,comd,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,46000000.0,305429475.0,93267420.0,786000000.0,29902380.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,128174319.0,0.185546
corona,comd,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,66000000.0,447124653.0,135856634.0,1124000000.0,35480597.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,187774654.0,0.265337
corona,comd,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,90000000.0,623901853.0,188433275.0,1538000000.0,50478511.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,262231228.0,0.355448
corona,comd,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,116000000.0,817920249.0,250494660.0,2014000000.0,73352868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,354191814.0,0.475758
corona,comd,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,comd,0.0333,152000000.0,1082901656.0,328072104.0,2632000000.0,97475957.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,467561963.0,0.626035
corona,comd,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
