machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,cosmoflow,0.0333,46000000.0,273303016.0,81125619.0,710000000.0,25726945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,108912816.0,0.160165
corona,cosmoflow,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.0333,62000000.0,414753548.0,123158270.0,1054000000.0,32615907.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293740.0,206264.0,166699706.0,0.245199
corona,cosmoflow,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.0333,90000000.0,622051113.0,185033944.0,1534000000.0,59361006.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,250497271.0,0.360797
corona,cosmoflow,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.05,128000000.0,902122957.0,267941848.0,2190000000.0,70688423.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,366507257.0,0.50581
corona,cosmoflow,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.0333,174000000.0,1243999995.0,369903260.0,2996000000.0,99505434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,510810529.0,0.723997
corona,cosmoflow,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.0333,222000000.0,1641082450.0,486812477.0,3922000000.0,144072994.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,679647798.0,0.906227
corona,cosmoflow,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
corona,cosmoflow,0.05,294000000.0,2143222012.0,636855043.0,5128000000.0,191994253.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,901190710.0,1.186362
corona,cosmoflow,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,
