machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,TestDfft,0.0666,1692000000.0,2178170350.0,1387795921.0,10964000000.0,340587522.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209248.0,4008859766.0,1.699136,1.0
corona,TestDfft,0.15,1942000000.0,3027065900.0,1758415711.0,13634000000.0,727392925.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293746.0,209248.0,21602968307.0,4.845409,0.6666666666666667
corona,TestDfft,0.1166,3746000000.0,4169559504.0,2846434446.0,22692000000.0,1279766180.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209248.0,12218287830.0,4.6753,0.5711835334476845
corona,TestDfft,0.2,7174000000.0,7741391947.0,5354203811.0,43026000000.0,1597979752.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209248.0,19001097224.0,7.961283,0.4165
corona,TestDfft,0.3,12408000000.0,13435868926.0,9294940919.0,74378000000.0,4150231042.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209259.0,41425946788.0,15.981329,0.2776666666666667
corona,TestDfft,1.0333,14840000000.0,17488817692.0,13304391167.0,87232000000.0,7146890001.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209259.0,159071000000.0,49.251053,0.09677731539727087
corona,TestDfft,0.0333,46000000.0,64142091.0,35290837.0,368000000.0,10387309.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209226.0,46128674.0,0.050547,5.504504504504504
corona,TestDfft,0.0333,278000000.0,557059792.0,299305393.0,2310000000.0,108180987.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209237.0,567265677.0,0.380568,4.003003003003003
corona,TestDfft,0.1166,2316000000.0,3737527051.0,2386677886.0,15782000000.0,743012364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209820.0,9993594748.0,5.111858,1.7152658662092626
corona,TestDfft,1.15,17798000000.0,20577666319.0,15177934817.0,104470000000.0,8991516654.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,209833.0,213068000000.0,71.440091,0.23182608695652177
