machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,laghos,0.8166,25730000000.0,7925490.0,12186376639.0,6000000.0,299630.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547464.0,3094742.0,74191377869.0,0.005002,0.06122948812147931
corona,laghos,0.6666,25814000000.0,3909139.0,12178975013.0,6000000.0,578134118.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538284.0,3094742.0,73519063539.0,36.427251,0.07500750075007502
corona,laghos,0.6833,2000000.0,3195266.0,926864.0,4000000.0,582931856.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541372.0,3095720.0,75912082730.0,37.580613,0.09746816917898435
corona,laghos,0.6833,2000000.0,43693204987.0,12489619546.0,4000000.0,551831218.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538308.0,3095720.0,74892719265.0,37.205958,0.09746816917898435
corona,laghos,0.7,2000000.0,44250330283.0,12735248866.0,12000000.0,600341430.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538332.0,3096696.0,75900333045.0,38.299686,0.09514285714285715
corona,laghos,0.6833,6000000.0,7789445.0,12793974170.0,6000000.0,557509478.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538308.0,3096696.0,76752211339.0,38.438252,0.09746816917898435
corona,laghos,0.7166,4000000.0,45647865839.0,13128905319.0,2000000.0,592517224.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541336.0,3097672.0,79179253527.0,39.265613,0.09293887803516607
corona,laghos,0.7166,4000000.0,3850509.0,13116077667.0,6000000.0,625817932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544448.0,3097672.0,80490310088.0,39.051164,0.09293887803516607
corona,laghos,0.7333,12000000.0,47262119696.0,13548163888.0,4000000.0,598614437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3098587.0,82426193601.0,0.005002,0.09082231010500479
corona,laghos,0.7333,28528000000.0,46518228882.0,13461716622.0,8000000.0,2115785649.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542880.0,3098587.0,82500910093.0,48.113057,0.11359607254875222
