machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,minitri,0.0333,112000000.0,708928510.0,208567651.0,1746000000.0,64004705.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,281416298.0,0.395409,1.5015015015015014
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,5.018072289156627
corona,minitri,0.0333,154000000.0,1069818891.0,313957718.0,2592000000.0,81310482.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,424904729.0,0.595507,1.5015015015015014
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,6.024096385542169
corona,minitri,0.0333,218000000.0,1576217452.0,463152185.0,3776000000.0,146373115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,625150262.0,0.861182,1.5015015015015014
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,7.024096385542168
corona,minitri,0.05,312000000.0,2265801454.0,664021727.0,5384000000.0,175212933.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,910260451.0,1.221575,1.0
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,8.03012048192771
corona,minitri,0.05,424000000.0,3107430358.0,909748404.0,7370000000.0,246816142.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1250885775.0,1.697897,1.0
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,10.036144578313253
corona,minitri,0.0666,544000000.0,4085002791.0,1198201040.0,9652000000.0,358817884.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1661325900.0,2.217922,0.7507507507507507
corona,minitri,0.0166,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,12.048192771084338
corona,minitri,0.0833,716000000.0,5343834470.0,1565399815.0,12614000000.0,474441974.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,2201950458.0,2.888695,0.6002400960384154
corona,minitri,0.0,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,
