machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
corona,miniVite,0.0166,,3031.0,53.0,4000000.0,46894.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206604.0,3.0,
corona,miniVite,0.0333,,94.0,2.0,4000000.0,63968.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206608.0,3.0,
corona,miniVite,0.0166,,2.0,1.0,2000000.0,38493.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206603.0,,0.005006
corona,miniVite,0.0333,2000000.0,3324.0,14.0,12000000.0,26311.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,4.0,
corona,miniVite,0.0166,,3.0,2.0,2000000.0,74657.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,3.0,0.005009
corona,miniVite,0.0333,,3.0,2.0,4000000.0,38200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,4.0,0.005009
corona,miniVite,0.0333,2000000.0,3.0,2.0,4000000.0,82156.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,19.0,0.005009
corona,miniVite,0.0333,,1.0,1.0,2000000.0,30306.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206603.0,3.0,0.00501
corona,miniVite,0.0333,2000000.0,8196.0,66.0,14000000.0,141963.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206610.0,4.0,0.005008
corona,miniVite,0.0166,,2.0,2.0,2000000.0,18680.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,2.0,0.005005
corona,miniVite,0.0166,,3.0,2.0,4000000.0,57292.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,217033.0,
corona,miniVite,0.0166,,3.0,53.0,4000000.0,48150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,4.0,0.005006
corona,miniVite,0.0166,,3.0,2.0,2000000.0,31348.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,4.0,0.00501
corona,miniVite,0.0333,2000000.0,8184.0,14.0,14000000.0,94293.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206610.0,422587.0,0.005008
corona,miniVite,0.0333,,3.0,1.0,4000000.0,50015.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206604.0,5.0,0.005006
corona,miniVite,0.0333,,2.0,2.0,4000000.0,16810.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206608.0,4.0,0.005008
corona,miniVite,0.0166,,3.0,1.0,4000000.0,113649.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,1212.0,0.005009
corona,miniVite,0.0333,,3.0,1.0,2000000.0,69900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,,
corona,miniVite,0.0166,2000000.0,8559.0,3.0,14000000.0,114072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206610.0,4.0,
corona,miniVite,0.0333,,96.0,1.0,2000000.0,32353.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,3.0,0.005012
corona,miniVite,0.0166,,3.0,7.0,4000000.0,50647.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206608.0,4.0,0.005005
corona,miniVite,0.0333,,3189.0,16.0,4000000.0,25251.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,961.0,0.005007
corona,miniVite,0.0166,,2.0,1.0,2000000.0,36468.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,3.0,
corona,miniVite,0.0166,2000000.0,3622.0,655.0,12000000.0,99916.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,86832.0,
corona,miniVite,0.0333,,3.0,2.0,2000000.0,75860.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206607.0,2.0,0.005008
corona,miniVite,0.0333,,3.0,2.0,4000000.0,70998.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,2.0,0.005011
corona,miniVite,0.0333,,8864.0,3.0,4000000.0,21099.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206607.0,15.0,0.005008
corona,miniVite,0.0333,,2.0,2.0,2000000.0,48162.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,5.0,0.005009
corona,miniVite,0.0333,2000000.0,3628.0,17.0,14000000.0,121587.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206609.0,4.0,
corona,miniVite,0.0333,,3.0,1.0,2000000.0,64983.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,3.0,0.005027
corona,miniVite,0.0333,,85.0,2.0,4000000.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,4.0,
corona,miniVite,0.0166,,284288.0,3.0,4000000.0,108274.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206607.0,43.0,0.005007
corona,miniVite,0.0333,,3.0,2.0,2000000.0,68744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,4.0,0.005008
corona,miniVite,0.0166,4000000.0,7666.0,14.0,18000000.0,207972.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293740.0,206609.0,334568.0,
corona,miniVite,0.0166,,3.0,1.0,2000000.0,63692.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,2.0,
corona,miniVite,0.0166,,3.0,2.0,4000000.0,23994.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206608.0,3.0,0.005006
corona,miniVite,0.0333,,8364.0,2.0,6000000.0,21178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206608.0,4.0,
corona,miniVite,0.0333,,3.0,2.0,2000000.0,43166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206605.0,2.0,0.005011
corona,miniVite,0.0333,2000000.0,8537.0,3.0,14000000.0,104258.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206611.0,85786.0,
corona,miniVite,0.0333,,3.0,,2000000.0,76068.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206606.0,18.0,0.005009
corona,miniVite,0.0333,,2.0,46.0,4000000.0,57452.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206607.0,2.0,0.00501
