machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,XSBench,0.4166,15954752898.0,14158511360.0,7004327822.0,68487839645.0,1315075458.0,1862298255.0,1485006371.0,117423620.9,-1.0,2496000000.0,39054000000.0,0.0,188.0,43248366761.0,21.503393
lassen,XSBench,0.4,15876838882.0,14221596244.0,7068119526.0,68238109542.0,1242596877.0,1901823499.0,1256622563.0,116867581.9,-1.0,2430000000.0,37890000000.0,0.0,188.0,41482973192.0,20.948155
lassen,XSBench,1.35,89288850890.0,83064519049.0,42540355811.0,450441000000.0,1471874093.0,33289740863.0,1715579281.0,296480101.0,-1.0,34032000000.0,278944000000.0,0.0,188.0,100680000000.0,74.867785
lassen,XSBench,0.8833,34659944911.0,30615135700.0,15053017265.0,147412000000.0,2771465236.0,4109597983.0,3331631349.0,287228985.7,-1.0,5360000000.0,85034000000.0,0.0,188.0,100899000000.0,48.411402
lassen,XSBench,0.8833,34556317625.0,30683228802.0,15108545272.0,147157000000.0,2687000677.0,4215138455.0,3099767791.0,293499747.0,-1.0,5290000000.0,83652000000.0,0.0,188.0,98108825552.0,47.864217
lassen,XSBench,0.05,849606604.6,744026358.6,357367682.8,3937898558.0,154093425.5,117474708.3,153179508.9,2213059.874,-1.0,150000000.0,2470000000.0,0.0,188.0,2364549308.0,1.261215
lassen,XSBench,0.0666,780719547.7,780877776.9,392096673.4,3670212348.0,106541179.0,144103108.2,13752405.2,1502568.397,-1.0,100000000.0,1758000000.0,0.0,188.0,1556325622.0,0.980735
lassen,XSBench,0.1,4077168531.0,3846882645.0,1984704770.0,21006100790.0,75030192.74,1528870851.0,34774653.74,6672439.906,-1.0,1584000000.0,12842000000.0,0.0,188.0,4012054914.0,3.31668
lassen,XSBench,0.0333,173774189.9,150730390.1,79997801.41,856417481.1,30680867.27,23804805.57,3845051.899,1535678.151,-1.0,28000000.0,458000000.0,0.0,188.0,367307564.5,0.240726
lassen,XSBench,0.0333,150501544.3,148688625.5,82469013.76,784125042.5,19090360.92,29233761.19,4402441.84,554949.0754,-1.0,18000000.0,338000000.0,0.0,188.0,293250889.2,0.195068
lassen,XSBench,0.0333,341224242.1,304751923.3,167873294.8,1711842403.0,16748384.11,96766100.45,7466436.946,1385308.472,-1.0,80000000.0,912000000.0,0.0,188.0,492750868.2,0.345167
lassen,XSBench,0.4,15720809543.0,13875996164.0,6881938696.0,67339724590.0,1217980185.0,1733480516.0,1479029272.0,116278534.9,-1.0,2492000000.0,38610000000.0,0.0,188.0,42967957508.0,21.173155
lassen,XSBench,0.3833,15544985719.0,13777851372.0,6870011210.0,66601367831.0,1107003867.0,1739669702.0,1255020516.0,116673375.6,-1.0,2426000000.0,37268000000.0,0.0,188.0,41144635206.0,20.5033
lassen,XSBench,1.4,89340069221.0,82896142382.0,42377605086.0,450051000000.0,1468227888.0,33221466043.0,1779635941.0,299346449.2,-1.0,34032000000.0,278946000000.0,0.0,188.0,100968000000.0,72.488904
lassen,XSBench,0.8666,34383575588.0,30278481772.0,14905242299.0,146089000000.0,2660452900.0,4034522568.0,3324510664.0,288573649.0,-1.0,5354000000.0,84574000000.0,0.0,188.0,100121000000.0,47.918627
lassen,XSBench,0.85,34209366690.0,30165044612.0,14908666651.0,145358000000.0,2544514180.0,3993899369.0,3078485670.0,289943588.7,-1.0,5284000000.0,82964000000.0,0.0,188.0,97521184342.0,47.172361
lassen,XSBench,1.4666,,,,,,,,,-1.0,,,0.0,84.0,,69.573234
lassen,XSBench,0.0333,737625125.0,583019962.3,290297865.3,3287947976.0,104488044.0,56171480.31,155687664.9,1172559.834,-1.0,148000000.0,2252000000.0,0.0,188.0,2219661687.0,1.090758
lassen,XSBench,0.0333,596491461.4,531130228.1,288242636.5,2710555485.0,29795719.59,73050741.37,12052824.4,3117377.125,-1.0,96000000.0,1404000000.0,0.0,188.0,1345587422.0,0.735284
lassen,XSBench,0.0833,4023775032.0,3799514527.0,1963631186.0,20788227340.0,47710611.59,1534450389.0,33113942.43,8641862.593,-1.0,1584000000.0,12732000000.0,0.0,188.0,4032704732.0,3.197102
lassen,XSBench,0.0166,136651921.5,116207863.3,60197272.93,744082028.2,17174139.37,19972542.04,3396725.469,2284265.927,-1.0,28000000.0,408000000.0,0.0,188.0,352631318.5,0.200082
lassen,XSBench,0.0333,101215028.7,114001980.5,65316190.12,667491659.1,5769770.671,17105071.38,2727392.33,3142025.537,-1.0,18000000.0,280000000.0,0.0,188.0,218524700.5,0.155084
lassen,XSBench,0.0333,301211141.4,265655891.7,146834294.0,1535325428.0,7747834.996,85486107.23,7882569.733,1054615.796,-1.0,80000000.0,870000000.0,0.0,188.0,506410121.9,0.305684
