machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,cosmoflow,0.0333,507232.8094,1538853.987,527389.65,6115816.045,0.333333333,4824712.245,0.0,936284.2916,-1.0,0.0,4666666.667,,,,
lassen,cosmoflow,0.1833,645173711.7,1007875166.0,614192595.8,3590803118.0,10602097.25,26412313.64,3604623.017,777417.6044,-1.0,716049.3827,394617284.0,,,277638721.7,
lassen,cosmoflow,0.0333,889019.0406,19.43954937,849998.2665,1293265.849,1.30249057,46.1611584,608361.4818,247855.7738,-1.0,0.0,4666666.667,,,,
lassen,cosmoflow,0.15,136306742.1,240788525.6,146202163.5,844076637.6,10623827.58,28042036.55,4090764.897,961651.6516,-1.0,1333333.333,,,,294157583.4,
lassen,cosmoflow,0.1166,813393.1194,24.68152562,466748.867,4354702.946,1.004915577,121955.3067,1689489.003,20989.50068,-1.0,0.0,4666666.667,,,,
lassen,cosmoflow,0.15,137033726.0,247009108.3,149405898.4,839700294.0,9485559.494,33642086.43,3816274.49,1035707.873,-1.0,2000000.0,,,,292499114.3,
lassen,cosmoflow,0.05,572421.9217,1.13234596,578412.1166,2095666.756,18.06593339,1.37355803,1286940.679,20585.64825,-1.0,0.0,4000000.0,731138.6667,372681.0,,0.006669667
lassen,cosmoflow,0.1833,145900046.6,247272457.5,155792958.6,884245341.4,,,,,-1.0,2666666.667,402320987.7,,,325850918.9,
lassen,cosmoflow,0.0333,373771.5115,1.512949223,702112.2794,1613243.499,2449.627135,9109143.393,1613603.773,511736.166,-1.0,0.0,4666666.667,,,1.957538126,
lassen,cosmoflow,0.1333,155512762.4,275404606.9,171569024.3,973301616.1,,,,,-1.0,3555555.556,,,,303131879.9,
lassen,cosmoflow,0.0333,575088.5213,21.93143228,1145085.787,4013354.487,0.333333333,4898493.563,262072.4379,844338.7354,-1.0,0.0,4000000.0,,,,
lassen,cosmoflow,0.2166,174861631.3,267812228.5,173505817.6,1028052794.0,9975441.67,31167145.37,4933796.933,1363600.7,-1.0,4716049.383,482617284.0,,,,
lassen,cosmoflow,0.05,484887.1965,3.341574275,1111026.125,2532436.631,1.416916994,5664090.172,353076.9454,571488.4573,-1.0,0.0,4000000.0,731120.0,372682.0,,0.001667667
lassen,cosmoflow,0.1333,,,,,10429921.28,29330278.57,4396182.275,1317321.418,-1.0,6271604.938,439629629.6,,,332924099.5,
