machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,laghos,1.05,5080311613.0,5560047614.0,3190887424.0,24370117651.0,733291498.1,585218995.1,179535961.7,20360860.24,-1.0,6666666.667,12155333333.0,731138.6667,384506.0,15692066291.0,11.897498
lassen,laghos,1.1,5028282442.0,5619743723.0,3207086777.0,24398054542.0,754436268.4,601546845.0,152105103.4,21201362.66,-1.0,7333333.333,12136666667.0,731138.6667,384506.0,15908901990.0,11.620819
lassen,laghos,1.1166,5201960557.0,5740366184.0,3252859396.0,25164056194.0,749363506.2,607178375.1,176389915.1,23386294.42,-1.0,7333333.333,12478666667.0,731120.0,384832.0,16127424436.0,11.32215933
lassen,laghos,1.05,5163729737.0,5769473449.0,3257959970.0,25312266461.0,754591416.2,598566714.5,152521564.5,24013392.85,-1.0,7333333.333,12400666667.0,731148.0,384832.0,16419034183.0,11.37052133
lassen,laghos,1.1,5316712444.0,6097646945.0,3334349540.0,25788832869.0,783692148.1,636184645.5,161764276.1,23731956.64,-1.0,7333333.333,12764000000.0,731129.3333,385157.3333,17027042789.0,11.90453567
lassen,laghos,1.1666,5355029141.0,5977058479.0,3267220393.0,25786049074.0,774850655.9,659359976.4,186326195.7,22120411.74,-1.0,7333333.333,12711333333.0,731120.0,385157.3333,16910816869.0,11.58113733
lassen,laghos,1.2166,5423011401.0,6206416857.0,3460055427.0,26488647774.0,799304900.6,628212308.3,160696739.6,23912536.26,-1.0,7333333.333,13373333333.0,731148.0,385482.6667,17017520019.0,12.83265467
lassen,laghos,1.1333,5408017897.0,6045597294.0,3388027352.0,26255547718.0,792277714.8,621797322.2,148909430.4,24561588.03,-1.0,7333333.333,13248000000.0,731148.0,385482.6667,17117377993.0,12.33066433
lassen,laghos,1.2333,5640284385.0,6243029876.0,3529452211.0,26880688627.0,825512073.4,663781323.0,154257708.6,24209223.44,-1.0,8000000.0,13726000000.0,731120.0,385787.6667,17614619048.0,12.06342733
lassen,laghos,1.1666,5589948105.0,6223184318.0,3469328009.0,26762052124.0,808389447.7,656152910.0,189193603.5,24253669.24,-1.0,7333333.333,13339333333.0,731120.0,385787.6667,17736483994.0,12.17273067
