machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,minigan,0.0333,333501.0456,1309825.991,189392.4485,2658685.506,1.27986833,6131117.461,321210.0998,444687.5,-1.0,0.0,6000000.0,731138.6667,372682.0,5084898.092,0.003335667
lassen,minigan,0.2166,,,,,14841501.69,33867632.26,5050430.867,811790.5482,-1.0,962962.963,539654321.0,,,374709436.5,
lassen,minigan,0.0833,525209.1356,3182923.163,3852.760705,3432946.458,2375.007404,968371.072,34019.71227,141163.8321,-1.0,0.0,2666666.667,731120.0,372683.0,6007265.68,0.00667
lassen,minigan,0.1833,191909182.6,337437472.6,210419816.3,1191431233.0,14051571.29,33366492.18,8077228.334,895590.0767,-1.0,1358024.691,566444444.4,,,412008493.9,
lassen,minigan,0.0333,139996.0271,5325032.282,2042.180753,1393694.332,19.34518742,8738270.174,281581.4375,705926.6642,-1.0,0.0,3333333.333,731138.6667,372682.0,4571767.245,0.005003
lassen,minigan,0.15,203055345.7,349149631.0,219770402.0,1247300336.0,15665308.07,36077110.72,5599361.333,810929.531,-1.0,2000000.0,,,,397448784.4,
lassen,minigan,0.05,483158.6726,5548359.709,2984561.671,16694305.45,0.563212086,7087733.419,37249.98278,840982.9036,-1.0,0.0,4000000.0,731138.6667,372683.0,6463664.894,0.001703
lassen,minigan,0.1333,200339416.6,331290575.9,215487960.4,1228973844.0,13816468.16,32616841.2,4864162.715,870792.3084,-1.0,2765432.099,574592592.6,,,403757444.5,
lassen,minigan,0.0666,162916.6713,11945948.81,583571.5826,5298109.444,0.981701179,3743621.287,212597.521,575626.2006,-1.0,0.0,3333333.333,731148.0,372682.0,73.61180716,0.005003333
lassen,minigan,0.1333,218654025.7,374557637.0,237967554.7,1340292777.0,13367310.62,38121010.41,4603174.295,1387300.482,-1.0,,603827160.5,,,,
lassen,minigan,0.0333,141907.0392,2528462.65,2395766.264,13840142.21,18.42347327,657598.1954,216220.3635,559996.5528,-1.0,0.0,3333333.333,731148.0,372682.0,1.634886687,0.005003333
lassen,minigan,0.15,,,,,15209226.09,37878049.11,6199372.214,1380725.208,-1.0,4938271.605,613037037.0,,,480342040.6,
lassen,minigan,0.0333,326554.2495,0.42049507,444190.9321,2529495.801,20.70464414,3015870.986,3394.171989,653223.4449,-1.0,0.0,4000000.0,731129.3333,372683.0,4371893.892,0.008339667
lassen,minigan,0.15,,,,,,,,,-1.0,,672246913.6,,,461362792.9,
