machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
lassen,minitri,0.05,436630.762,6568965.231,737243.5761,1927691.456,0.884853364,0.337908662,759513.5598,28963.66032,-1.0,0.0,4000000.0,731148.0,372683.0,1.551919099,0.003335333
lassen,minitri,0.15,305914895.9,511181276.4,330155827.3,1870531462.0,21797579.7,47669909.82,7474683.75,748249.1939,-1.0,1308641.975,,380235.3086,6.15e+18,575772411.3,0.502200753
lassen,minitri,0.0333,1157434.497,0.416489855,426446.9511,1883225.183,0.853142176,6958587.306,442343.745,662698.1689,-1.0,0.0,4666666.667,731120.0,372682.0,6060182.735,0.001668
lassen,minitri,0.15,307467593.5,521493589.1,342968883.4,1908804438.0,24153059.92,52593500.44,7121882.015,955122.4309,-1.0,1753086.42,873654321.0,,,,
lassen,minitri,0.0333,650934.6195,0.42173011,1095452.2,5098600.642,0.849650019,4534909.849,287346.4029,1087274.726,-1.0,0.0,4000000.0,731120.0,372681.0,1.2524249,0.003337
lassen,minitri,0.15,322632231.3,535637071.9,342027861.1,1945674848.0,22256833.5,48162384.36,7322597.762,926948.9387,-1.0,2271604.938,812000000.0,,,565121646.4,
lassen,minitri,0.0333,245146.0669,8877667.663,805752.4264,1815957.446,0.795530872,5394280.795,187087.0023,628187.1523,-1.0,0.0,5333333.333,731129.3333,372682.0,2.184396352,0.003336667
lassen,minitri,0.15,329411528.6,552847702.7,353046871.5,1995972625.0,20460666.71,53347262.31,7435689.511,999716.9546,-1.0,,865901234.6,,,603686229.5,
lassen,minitri,0.0333,135516.3923,4849274.688,354598.9622,1462023.815,21.24631196,210365.6165,1604185.822,80447.95985,-1.0,0.0,4666666.667,731120.0,372682.0,3632581.491,0.001668667
lassen,minitri,0.15,337377661.0,558167932.9,359670808.5,2042681313.0,22145772.04,50461459.67,7962674.088,1050045.359,-1.0,4024691.358,,,,630751481.1,
lassen,minitri,0.05,620580.6006,0.416827837,868936.9784,3711476.69,0.772182293,0.364726599,1944263.521,300514.8105,-1.0,0.0,4666666.667,731148.0,372683.0,70.60624691,0.001667333
lassen,minitri,0.15,343614217.9,569947146.8,371373262.7,2106970394.0,,,,,-1.0,5358024.691,959753086.4,,,632055644.8,
lassen,minitri,0.0333,520026.6501,100.1493255,1535162.467,2499751.636,1.233646642,1193041.649,502888.1184,76386.03233,-1.0,0.0,5333333.333,731120.0,372682.0,6844597.116,0.008338667
lassen,minitri,0.1666,356812614.6,622891880.4,390213127.7,2197590317.0,,,,,-1.0,,993160493.8,,,674690454.1,
