machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,TestDfft,0.0666,1178000000.0,1196000000.0,646000000.0,6298000000.0,64000000.0,82000000.0,34000000.0,40000000.0,3028.0,99499593.0,3349460.0,37797.0,2173193.0,268000000.0,1.460549
quartz,TestDfft,0.1,2064000000.0,2236000000.0,1224000000.0,11432000000.0,104000000.0,142000000.0,64000000.0,78000000.0,2585.0,202560745.0,7721012.0,37804.0,2173201.0,714000000.0,2.779984
quartz,TestDfft,0.0666,358000000.0,810500000.0,372437500.0,2650562500.0,5187500.0,4000000.0,1187500.0,0.0,1118.46875,76874693.81,46372219.47,69909.84375,2106280.188,33500000.0,0.476994625
quartz,TestDfft,0.0833,2466000000.0,2954000000.0,1630000000.0,14710000000.0,246000000.0,242000000.0,110000000.0,116000000.0,3060.0,152771732.0,2831102.0,37804.0,2173200.0,2554000000.0,4.323724
quartz,TestDfft,0.0833,349937500.0,567125000.0,256812500.0,1943062500.0,7750000.0,6000000.0,3750000.0,2000000.0,1112.71875,23302186.06,54848194.16,69909.84375,2106280.188,67250000.0,0.401499938
quartz,TestDfft,0.1,3100000000.0,2878000000.0,1562000000.0,16042000000.0,304000000.0,226000000.0,148000000.0,124000000.0,2036.0,216107024.0,3715511.0,37804.0,2173819.0,802000000.0,4.382133
quartz,TestDfft,0.1833,4636000000.0,4402000000.0,2386000000.0,24250000000.0,320000000.0,398000000.0,170000000.0,194000000.0,1731.0,317196248.0,5572217.0,37804.0,2173201.0,2760000000.0,6.854841
quartz,TestDfft,0.1333,752750000.0,1186437500.0,535687500.0,4073062500.0,11500000.0,11812500.0,4000000.0,3375000.0,1084.90625,67392550.97,116467298.6,69877.84375,2106279.188,162000000.0,0.913544969
quartz,TestDfft,0.2,6590000000.0,6574000000.0,3392000000.0,35102000000.0,488000000.0,484000000.0,268000000.0,282000000.0,2075.0,470206041.0,9402284.0,37804.0,2173199.0,2346000000.0,9.554459
quartz,TestDfft,0.2666,8916000000.0,8066000000.0,4378000000.0,45796000000.0,512000000.0,674000000.0,342000000.0,388000000.0,3441.0,554798441.0,6150266.0,37804.0,2173201.0,3414000000.0,13.247939
quartz,TestDfft,0.1333,1404437500.0,1879375000.0,847562500.0,6691437500.0,24062500.0,22000000.0,9000000.0,6000000.0,1094.6875,75927187.59,208750965.8,69909.84375,2106280.188,323062500.0,1.7388225
