machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,comd,0.0333,71111111.11,100027777.8,10694444.44,250750000.0,0.0,0.0,0.0,0.0,2441.055556,5215187.5,1090297.056,525.0555556,30141.90278,4555555.556,0.131408986
quartz,comd,0.0666,131259259.3,293333333.3,125481481.5,877777777.8,4148148.148,2148148.148,74074.07407,0.0,115274.2222,218126379.6,38645293.44,53480.40741,2105160.407,44222222.22,0.244355815
quartz,comd,0.0333,87194444.44,123111111.1,13694444.44,308416666.7,0.0,0.0,0.0,0.0,3709.513889,7202532.917,1510570.611,525.0555556,30141.90278,6166666.667,0.171387181
quartz,comd,0.0666,182740740.7,441185185.2,183925925.9,1291185185.0,9333333.333,3703703.704,962962.963,0.0,187163.7778,353353775.1,63202663.3,50883.11111,2105024.889,71333333.33,0.370446148
quartz,comd,0.0333,118916666.7,168555555.6,18250000.0,422416666.7,0.0,0.0,0.0,0.0,5539.569444,9971515.194,2139678.528,525.0555556,30141.90278,8611111.111,0.142724444
quartz,comd,0.0833,380074074.1,778592592.6,317407407.4,2321629630.0,13703703.7,6518518.519,1407407.407,0.0,267868.4815,511496034.1,89948447.78,61272.07407,2105566.519,112296296.3,0.653237333
quartz,comd,0.0333,102694444.4,149638888.9,17194444.44,374750000.0,0.0,0.0,0.0,0.0,7393.597222,13828717.53,3005817.736,525.0555556,30141.90278,13972222.22,0.211411653
quartz,comd,0.0833,585481481.5,1156814815.0,497925925.9,3529703704.0,18592592.59,9111111.111,2444444.444,518518.5185,379011.7037,731046526.0,132402552.4,61295.25926,2105567.444,165703703.7,0.921806185
quartz,comd,0.0333,114472222.2,168916666.7,20638888.89,423583333.3,0.0,27777.77778,0.0,0.0,10375.80556,18990453.94,4111417.083,525.0555556,30141.90278,16083333.33,0.289607708
quartz,comd,0.0833,755407407.4,1519407407.0,652296296.3,4616148148.0,24888888.89,12740740.74,3333333.333,1407407.407,507049.037,978434400.8,175220651.1,58674.85185,2105431.148,224518518.5,1.256069926
quartz,comd,0.0333,151666666.7,223750000.0,26583333.33,561527777.8,27777.77778,0.0,0.0,0.0,13239.625,24948768.08,5322109.875,525.0555556,30141.90278,25388888.89,0.313235236
quartz,comd,0.1,1018518519.0,2061703704.0,837629629.6,6153481481.0,22296296.3,17703703.7,3259259.259,1703703.704,670280.5185,1297236207.0,239312613.7,61272.11111,2105566.593,301925925.9,1.619793222
quartz,comd,0.05,143166666.7,216305555.6,27694444.44,543611111.1,27777.77778,27777.77778,0.0,0.0,16643.125,31388692.11,6880360.778,525.0555556,30141.90278,29638888.89,0.384138181
quartz,comd,0.1166,1281037037.0,2589333333.0,1076592593.0,7785259259.0,34740740.74,23037037.04,5481481.481,1777777.778,910333.6296,1763247036.0,309642632.9,56077.59259,2105295.704,396888888.9,2.093759519
