machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,kripke.exe,7111111.111,46305555.56,11166666.67,98944444.44,1722222.222,1666666.667,83333.33333,83333.33333,6.25,26038075.93,26638959.25,525.0555556,30141.91667,11777777.78,1.332
quartz,kripke.exe,75750000,174875000,67000000,512312500,1062500,1937500,0,0,918.09375,59878157.44,60886473.88,69879.78125,2106185.938,33937500,0.750750751
quartz,kripke.exe,12416666.67,73916666.67,17916666.67,165555555.6,1750000,2388888.889,83333.33333,83333.33333,9.152777778,38292887.64,26702311.21,525.0555556,30141.91667,11916666.67,1
quartz,kripke.exe,92375000,247250000,86375000,692687500,1812500,2000000,0,0,909.875,87323430.56,60529382.91,67700,2106053.344,36375000,0.571183533
quartz,kripke.exe,21527777.78,120250000,29166666.67,277444444.4,2472222.222,3583333.333,138888.8889,111111.1111,22,58800006.71,26588580.17,525.0555556,30141.91667,11750000,0.799519808
quartz,kripke.exe,109500000,344687500,109875000,925125000,3187500,3875000,0,0,879.375,129880106.6,59007371.91,67700,2106053.344,34187500,1
quartz,kripke.exe,34333333.33,185222222.2,44916666.67,434333333.3,2833333.333,5250000,138888.8889,111111.1111,19,87480035.36,26651083.21,525.0555556,30141.91667,12694444.44,0.571183533
quartz,kripke.exe,143812500,498375000,150062500,1305437500,4187500,4000000,0,0,916.9375,199013968.4,60940977.06,69912.75,2106186.969,37250000,0.666
quartz,kripke.exe,50722222.22,268611111.1,65166666.67,635722222.2,3055555.556,7444444.444,166666.6667,111111.1111,5.055555556,124326588.8,26606524.21,525.0555556,30141.91667,12750000,0.499624906
quartz,kripke.exe,183687500,707562500,202312500,1811562500,6937500,3875000,0,0,916.375,281628430.6,60611957.84,67669,2106052.375,32812500,0.799519808
quartz,kripke.exe,15583333.33,99138888.89,23166666.67,211944444.4,3472222.222,3388888.889,166666.6667,194444.4444,11.29166667,53147028.29,53375364.1,525.0555556,30141.91667,23694444.44,0.666
quartz,kripke.exe,119875000,325937500,116500000,918375000,1500000,5812500,0,0,922.875,120947183.7,120348567.4,67700,2106053.344,60687500,1
quartz,kripke.exe,31833333.33,175833333.3,39388888.89,392861111.1,3527777.778,4972222.222,166666.6667,222222.2222,15.02777778,81357435.72,53461721.04,525.0555556,30141.91667,23305555.56,0.428816467
quartz,kripke.exe,162187500,516187500,159812500,1373812500,6187500,6000000,0,0,905.53125,184562545.6,119537906.3,69912.75,2106186.969,65625000,0.750750751
quartz,kripke.exe,59111111.11,303944444.4,66388888.89,695000000,4527777.778,7555555.556,250000,222222.2222,9.555555556,128256375,53200544.01,525.0555556,30141.91667,24777777.78,0.363338789
quartz,kripke.exe,220625000,791250000,218812500,2024187500,6437500,7750000,0,0,934.0625,290480129,120231340,69912.75,2106186.969,54937500,0.600240096
quartz,kripke.exe,97388888.89,483472222.2,104250000,1118444444,5222222.222,11111111.11,250000,222222.2222,12.22222222,194015103.1,53270869.19,525.0555556,30141.91667,26027777.78,0.25
quartz,kripke.exe,298750000,1188250000,303375000,2954750000,8312500,10000000,0,0,922.28125,438657527.2,120223281.5,69912.75,2106186.969,54187500,0.600240096
quartz,kripke.exe,146222222.2,713750000,152805555.6,1661611111,6750000,15805555.56,361111.1111,222222.2222,8.527777778,278576985,53176580.24,525.0555556,30141.91667,26277777.78,0.176491352
quartz,kripke.exe,423937500,1724687500,424875000,4245125000,24937500,11625000,0,0,888.90625,609149605.8,116509206.7,67700,2106053.344,49375000,0.799519808
quartz,kripke.exe,3361111.111,22305555.56,5500000,47611111.11,861111.1111,833333.3333,27777.77778,27777.77778,12.40277778,12862179.61,13461422.29,525.0555556,30141.91667,4388888.889,1.332
quartz,kripke.exe,65750000,116875000,48375000,364562500,0,0,0,0,918.34375,30353006.09,31041290.41,69912.75,2106186.969,7187500,0.600240096
quartz,kripke.exe,5500000,33666666.67,8527777.778,75638888.89,916666.6667,1166666.667,27777.77778,55555.55556,6.319444444,18540896.81,13417601.01,525.0555556,30141.91667,4750000,2
quartz,kripke.exe,68250000,141312500,54562500,422000000,625000,562500,0,0,889.34375,41482105.25,30053076.38,69912.75,2106186.969,9250000,1
quartz,kripke.exe,8861111.111,52361111.11,13583333.33,121611111.1,1027777.778,1750000,27777.77778,27777.77778,14.625,28034570.5,13403595.24,525.0555556,30141.91667,5222222.222,1.332
quartz,kripke.exe,73000000,179125000,64250000,512125000,1125000,2000000,0,0,906.8125,64541933.25,30674679.63,69912.75,2106186.969,10312500,0.600240096
quartz,kripke.exe,13638888.89,78555555.56,20666666.67,186138888.9,1194444.444,2555555.556,55555.55556,55555.55556,15.18055556,41330944.85,13505054.47,525.0555556,30141.91667,5388888.889,0.750750751
quartz,kripke.exe,84187500,244625000,82625000,673500000,1375000,2000000,0,0,882.71875,91840404.06,30012171.72,67669,2106052.375,10937500,1
quartz,kripke.exe,19805555.56,112333333.3,29777777.78,269333333.3,1222222.222,3583333.333,55555.55556,55555.55556,13.68055556,58454699.14,13503800.21,525.0555556,30141.91667,6611111.111,0.600240096
quartz,kripke.exe,99812500,325812500,105750000,875187500,2500000,2000000,0,0,909.65625,133570638.4,30834593.38,67700,2106053.344,12562500,0.5
quartz,kripke.exe,4250000,43416666.67,8500000,79888888.89,1722222.222,1333333.333,83333.33333,55555.55556,12.97222222,25978649.74,26698371.32,525.0555556,30141.91667,11750000,1.332
quartz,kripke.exe,84812500,186937500,63125000,494062500,0,0,0,0,914.71875,59753280.44,63309320.88,69911.78125,2106186.938,33375000,0.750750751
quartz,kripke.exe,9722222.222,71194444.44,15250000,147027777.8,1750000,2055555.556,83333.33333,55555.55556,15.125,38264744.6,26719690.64,525.0555556,30141.88889,11805555.56,1
quartz,kripke.exe,89375000,243562500,75250000,620812500,1000000,0,0,0,910.03125,87270867.03,63198379.84,69911.78125,2106186.938,36500000,1
quartz,kripke.exe,18833333.33,117555555.6,26500000,258972222.2,2250000,3277777.778,111111.1111,55555.55556,7.097222222,58744543.36,26646447.69,525.0555556,30141.90278,12416666.67,1
quartz,kripke.exe,111750000,353562500,103312500,890187500,1875000,0,0,0,913.125,133498126.1,63342297.41,67667.125,2106052.313,32750000,0.799519808
quartz,kripke.exe,31638888.89,182500000,42250000,415805555.6,2777777.778,4916666.667,138888.8889,83333.33333,12.65277778,87460624.51,26671234.03,525.0555556,30141.90278,12944444.44,0.666
quartz,kripke.exe,142000000,506812500,141812500,1262000000,5125000,0,0,0,909.21875,192179492.6,61011400.59,69911.78125,2106186.938,35562500,1
quartz,kripke.exe,47972222.22,265861111.1,62500000,617138888.9,3138888.889,7111111.111,138888.8889,83333.33333,15.72222222,124297125.8,26630040.39,525.0555556,30141.90278,12750000,0.571183533
quartz,kripke.exe,180500000,703062500,191562500,1738687500,4875000,2000000,0,0,900.28125,273018200.3,61125473.09,69910.8125,2106186.906,34812500,1
quartz,kripke.exe,10138888.89,93638888.89,17861111.11,174777777.8,3472222.222,2722222.222,166666.6667,138888.8889,5.861111111,53147536,53223598.9,525.0555556,30141.90278,23888888.89,0.600240096
quartz,kripke.exe,103812500,308250000,89875000,739812500,875000,2000000,0,0,928.625,120685520.2,124740632.7,69911.78125,2106186.938,56812500,0.750750751
quartz,kripke.exe,26472222.22,170472222.2,34083333.33,356027777.8,3527777.778,4305555.556,166666.6667,138888.8889,12.26388889,81298853.36,53468114.29,525.0555556,30141.90278,23583333.33,0.666
quartz,kripke.exe,141562500,482562500,127875000,1154062500,1812500,1937500,0,0,929.5625,184546943.3,124682825.8,67699.0625,2106053.313,59312500,0.799519808
quartz,kripke.exe,53805555.56,298666666.7,61083333.33,658361111.1,4638888.889,6888888.889,250000,138888.8889,18.98611111,128324803.4,53079523.13,525.0555556,30141.90278,24500000,0.444
quartz,kripke.exe,209000000,777937500,194687500,1863875000,7187500,1937500,0,0,899.84375,280958767.4,120754204.8,69911.78125,2106186.938,50437500,0.799519808
quartz,kripke.exe,91944444.44,477916666.7,98944444.44,1081111111,5416666.667,10444444.44,250000,138888.8889,6.027777778,194051921.3,53279896.51,525.0555556,30141.90278,25500000,0.25
