machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,laghos,0.05,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556948.0,1461157318.0,1076277724.0,37771.0,2190229.0,116000000.0,1.765572
quartz,laghos,0.05,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556449.0,1460442876.0,1077872352.0,37771.0,2190229.0,116000000.0,1.771501
quartz,laghos,0.0666,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000.0,16000000.0,0.0,0.0,1789740.0,1680159170.0,1238203078.0,37771.0,2193037.0,140000000.0,2.025196
quartz,laghos,0.0666,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000.0,14000000.0,0.0,0.0,1790082.0,1681196754.0,1238368945.0,37771.0,2193037.0,136000000.0,2.0196
quartz,laghos,0.0666,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000.0,16000000.0,0.0,0.0,2021762.0,1896564610.0,1396403653.0,37771.0,2195719.0,150000000.0,2.276205
quartz,laghos,0.0666,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000.0,18000000.0,0.0,0.0,2022435.0,1897379725.0,1397572057.0,37771.0,2195719.0,142000000.0,2.260415
quartz,laghos,0.0666,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000.0,18000000.0,0.0,0.0,2202499.0,2065152466.0,1520600593.0,37771.0,2197853.0,170000000.0,2.663958
quartz,laghos,0.0666,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000.0,20000000.0,0.0,0.0,2202362.0,2065421903.0,1520505953.0,37771.0,2197855.0,172000000.0,2.466709
quartz,laghos,0.0666,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000.0,18000000.0,2000000.0,0.0,2337750.0,2193317921.0,1615712489.0,37771.0,2199440.0,180000000.0,2.644668
quartz,laghos,0.0833,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000.0,18000000.0,0.0,0.0,2338564.0,2191995118.0,1614181110.0,37771.0,2199439.0,178000000.0,2.629778
quartz,laghos,0.0666,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000.0,20000000.0,0.0,0.0,2430175.0,2282039382.0,1680659639.0,37771.0,2200601.0,186000000.0,2.711485
quartz,laghos,0.0666,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000.0,20000000.0,2000000.0,0.0,2431784.0,2282041862.0,1681138751.0,37771.0,2200600.0,186000000.0,2.703367
quartz,laghos,0.1833,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000.0,160000000.0,6000000.0,4000000.0,3259234.0,11407387387.0,8376314544.0,37771.0,2205834.0,912000000.0,8.763434
quartz,laghos,0.4666,22753062500.0,35795187500.0,12467125000.0,96878062500.0,77000000.0,32125000.0,12562500.0,8687500.0,12734.5625,361169574.0,5501768476.0,69873.9375,2107283.188,1029437500.0,7.056628844
quartz,laghos,0.1833,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000.0,164000000.0,6000000.0,4000000.0,3259806.0,11407505373.0,8373560008.0,37771.0,2205834.0,916000000.0,8.836722
quartz,laghos,0.55,24537187500.0,38530437500.0,13353062500.0,104240000000.0,76500000.0,32812500.0,12500000.0,8625000.0,12854.59375,361168484.1,5647632964.0,69874.90625,2107283.219,1022625000.0,7.062784469
quartz,laghos,0.1833,8434000000.0,19982000000.0,6430000000.0,61650000000.0,158000000.0,164000000.0,6000000.0,4000000.0,3351149.0,11738569930.0,8619167310.0,37771.0,2206811.0,906000000.0,9.042081
quartz,laghos,0.2,8436000000.0,19982000000.0,6428000000.0,61650000000.0,156000000.0,164000000.0,6000000.0,4000000.0,3352208.0,11739221393.0,8612430035.0,37771.0,2206811.0,920000000.0,8.973249
quartz,laghos,0.2,8656000000.0,20510000000.0,6600000000.0,63296000000.0,174000000.0,168000000.0,8000000.0,4000000.0,3441544.0,12054554619.0,8845604406.0,37771.0,2207787.0,926000000.0,9.568805
quartz,laghos,0.2,8656000000.0,20514000000.0,6602000000.0,63300000000.0,160000000.0,168000000.0,6000000.0,4000000.0,3441253.0,12055275233.0,8843459323.0,37771.0,2207787.0,930000000.0,9.947772
quartz,laghos,0.2,8884000000.0,21048000000.0,6776000000.0,64954000000.0,194000000.0,172000000.0,8000000.0,6000000.0,3530031.0,12369803432.0,9079541763.0,37771.0,2208763.0,998000000.0,9.526539
quartz,laghos,0.1833,8882000000.0,21050000000.0,6776000000.0,64954000000.0,220000000.0,172000000.0,8000000.0,4000000.0,3530903.0,12370920406.0,9081305625.0,37771.0,2208763.0,992000000.0,10.018331
quartz,laghos,0.2333,9120000000.0,21602000000.0,6956000000.0,66652000000.0,174000000.0,176000000.0,8000000.0,6000000.0,3621742.0,12694755774.0,9315030669.0,37771.0,2209678.0,986000000.0,9.750921
quartz,laghos,0.2166,9114000000.0,21602000000.0,6950000000.0,66644000000.0,180000000.0,176000000.0,8000000.0,6000000.0,3622301.0,12692280402.0,9315450277.0,37771.0,2209678.0,1006000000.0,9.985573
quartz,laghos,0.2333,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000.0,186000000.0,8000000.0,6000000.0,3713148.0,13003334800.0,9548958313.0,37771.0,2210655.0,1052000000.0,9.9214
quartz,laghos,0.5666,26936687500.0,42333687500.0,14706500000.0,114553000000.0,88875000.0,37750000.0,14687500.0,10000000.0,12281.0625,411652374.8,6290329888.0,69867.90625,2107433.656,1161312500.0,8.146281125
quartz,laghos,0.2166,9346000000.0,22142000000.0,7130000000.0,68326000000.0,232000000.0,186000000.0,8000000.0,6000000.0,3713446.0,13005317291.0,9545360358.0,37771.0,2210655.0,1064000000.0,10.460112
quartz,laghos,0.5666,27875437500.0,43774500000.0,15174375000.0,118430000000.0,89937500.0,39125000.0,14437500.0,10000000.0,12395.375,411638680.8,6379871223.0,69874.90625,2107433.875,1161187500.0,8.280306563
quartz,laghos,0.2166,9580000000.0,22698000000.0,7304000000.0,70038000000.0,258000000.0,186000000.0,8000000.0,6000000.0,3806382.0,13338036393.0,9789337350.0,37771.0,2211630.0,1042000000.0,10.180706
quartz,laghos,0.2166,9576000000.0,22698000000.0,7304000000.0,70032000000.0,190000000.0,186000000.0,8000000.0,6000000.0,3805973.0,13337946079.0,9786834224.0,37771.0,2211630.0,1056000000.0,10.395079
quartz,laghos,0.2166,9800000000.0,23220000000.0,7474000000.0,71634000000.0,194000000.0,192000000.0,8000000.0,6000000.0,3893262.0,13642293589.0,10008097348.0,37771.0,2212545.0,1066000000.0,10.451857
