machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,minigan,0.05,192888888.9,272138888.9,29611111.11,681777777.8,27777.77778,27777.77778,0.0,0.0,6128.361111,14791285.4,3200073.875,525.0555556,30141.90278,18500000.0,0.379660597
quartz,minigan,0.1,358592592.6,844740740.7,346074074.1,2471111111.0,15259259.26,8370370.37,1555555.556,666666.6667,344952.963,657484141.1,117406516.8,53501.37037,2105161.111,129407407.4,0.717087481
quartz,minigan,0.0333,225416666.7,320416666.7,35583333.33,802611111.1,0.0,27777.77778,0.0,0.0,9581.458333,24425780.18,4462536.125,525.0555556,30141.90278,18916666.67,0.418585111
quartz,minigan,0.1,522666666.7,1287629630.0,534814814.8,3761037037.0,25259259.26,12962962.96,3555555.556,1407407.407,543948.2222,1041073755.0,189023827.2,58697.81481,2105431.926,214518518.5,1.051961259
quartz,minigan,0.05,330083333.3,471000000.0,51972222.22,1178500000.0,27777.77778,0.0,0.0,0.0,14272.58333,29742957.28,6332422.139,525.0555556,30141.88889,29222222.22,0.456322
quartz,minigan,0.1,1112370370.0,2294518519.0,933407407.4,6823259259.0,21111111.11,21037037.04,4222222.222,2222222.222,771215.2222,1484491244.0,265338131.8,53501.33333,2105161.037,324000000.0,1.873831778
quartz,minigan,0.05,280388888.9,410111111.1,48472222.22,1029888889.0,27777.77778,27777.77778,0.0,0.0,20018.79167,41620070.88,8883175.139,525.0555556,30141.90278,41916666.67,0.689692972
quartz,minigan,0.1166,1558814815.0,3244222222.0,1318074074.0,9637481481.0,35851851.85,28370370.37,6444444.444,3703703.704,1097586.667,2120986832.0,391562573.3,58651.85185,2105430.296,474074074.1,2.586257111
quartz,minigan,0.0333,336722222.2,496361111.1,60083333.33,1246666667.0,138888.8889,55555.55556,0.0,27777.77778,27141.41667,54701036.43,12219846.94,525.0555556,30141.90278,55916666.67,0.699085958
quartz,minigan,0.1333,2023481481.0,4337111111.0,1724888889.0,12740814815.0,50074074.07,39259259.26,8592592.593,4740740.741,1535159.778,2978434782.0,529800728.6,53500.62963,2105161.074,617111111.1,3.518849593
quartz,minigan,0.05,377472222.2,564388888.9,70055555.56,1418416667.0,1722222.222,55555.55556,0.0,27777.77778,35667.44444,73537297.71,16087750.83,525.0555556,30141.90278,78722222.22,0.846745097
quartz,minigan,0.15,2977777778.0,6011777778.0,2537925926.0,18161259259.0,65629629.63,52888888.89,11037037.04,6518518.519,2090054.0,4056754224.0,746635841.3,56077.62963,2105295.778,870518518.5,4.859639852
quartz,minigan,0.05,443055555.6,667416666.7,84944444.44,1678944444.0,1805555.556,138888.8889,0.0,27777.77778,46674.69444,93078590.57,20380351.03,525.0555556,30141.90278,99000000.0,0.841145069
quartz,minigan,0.1666,3492444444.0,7446740741.0,3026370370.0,22046518519.0,98666666.67,68740740.74,18000000.0,8000000.0,2708395.222,5251880422.0,936064195.7,61296.11111,2105567.481,1167111111.0,6.272721593
