machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,7111111.0,46305556.0,11166667.0,98944450.0,1722222.2,1666666.6,83333.336,83333.336,6.25,26038076.0,26638960.0,525.05554,30141.916,11777778.0,1.332
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,75750000.0,174875000.0,67000000.0,512312500.0,1062500.0,1937500.0,0.0,0.0,918.09375,59878156.0,60886470.0,69879.78,2106186.0,33937500.0,0.7507508
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,12416667.0,73916664.0,17916666.0,165555550.0,1750000.0,2388889.0,83333.336,83333.336,9.152778,38292890.0,26702312.0,525.05554,30141.916,11916667.0,1.0
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,92375000.0,247250000.0,86375000.0,692687500.0,1812500.0,2000000.0,0.0,0.0,909.875,87323430.0,60529384.0,67700.0,2106053.2,36375000.0,0.57118356
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,21527778.0,120250000.0,29166666.0,277444450.0,2472222.2,3583333.2,138888.89,111111.11,22.0,58800010.0,26588580.0,525.05554,30141.916,11750000.0,0.79951984
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,109500000.0,344687500.0,109875000.0,925125000.0,3187500.0,3875000.0,0.0,0.0,879.375,129880104.0,59007372.0,67700.0,2106053.2,34187500.0,1.0
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,34333332.0,185222220.0,44916668.0,434333340.0,2833333.2,5250000.0,138888.89,111111.11,19.0,87480030.0,26651084.0,525.05554,30141.916,12694444.0,0.57118356
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,143812500.0,498375000.0,150062500.0,1305437400.0,4187500.0,4000000.0,0.0,0.0,916.9375,199013970.0,60940976.0,69912.75,2106187.0,37250000.0,0.666
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,50722224.0,268611100.0,65166668.0,635722240.0,3055555.5,7444444.5,166666.67,111111.11,5.0555553,124326590.0,26606524.0,525.05554,30141.916,12750000.0,0.4996249
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,183687500.0,707562500.0,202312500.0,1811562500.0,6937500.0,3875000.0,0.0,0.0,916.375,281628400.0,60611956.0,67669.0,2106052.5,32812500.0,0.79951984
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,15583333.0,99138890.0,23166666.0,211944450.0,3472222.2,3388889.0,166666.67,194444.44,11.291667,53147028.0,53375364.0,525.05554,30141.916,23694444.0,0.666
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,119875000.0,325937500.0,116500000.0,918375000.0,1500000.0,5812500.0,0.0,0.0,922.875,120947180.0,120348570.0,67700.0,2106053.2,60687500.0,1.0
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,31833334.0,175833330.0,39388890.0,392861120.0,3527777.8,4972222.0,166666.67,222222.22,15.027778,81357430.0,53461720.0,525.05554,30141.916,23305556.0,0.42881647
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,162187500.0,516187500.0,159812500.0,1373812500.0,6187500.0,6000000.0,0.0,0.0,905.53125,184562540.0,119537900.0,69912.75,2106187.0,65625000.0,0.7507508
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,59111110.0,303944450.0,66388890.0,695000000.0,4527778.0,7555555.5,250000.0,222222.22,9.555555,128256376.0,53200544.0,525.05554,30141.916,24777778.0,0.3633388
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,220625000.0,791250000.0,218812500.0,2024187500.0,6437500.0,7750000.0,0.0,0.0,934.0625,290480130.0,120231340.0,69912.75,2106187.0,54937500.0,0.6002401
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,97388890.0,483472220.0,104250000.0,1118444400.0,5222222.0,11111111.0,250000.0,222222.22,12.222222,194015100.0,53270868.0,525.05554,30141.916,26027778.0,0.25
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,298750000.0,1188250000.0,303375000.0,2954750000.0,8312500.0,10000000.0,0.0,0.0,922.28125,438657540.0,120223280.0,69912.75,2106187.0,54187500.0,0.6002401
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,146222220.0,713750000.0,152805550.0,1661611100.0,6750000.0,15805556.0,361111.12,222222.22,8.527778,278577000.0,53176580.0,525.05554,30141.916,26277778.0,0.17649135
quartz,-0.19488987,0.052660063,0.4062912,-1.5246209,-0.5721558,-0.4028255,-0.89770997,-1.3550324,-0.8777463,-0.7937744,1.0840304,1.2475119,-0.9098507,-1.8896917,1.5483261,423937500.0,1724687500.0,424875000.0,4245125000.0,24937500.0,11625000.0,0.0,0.0,888.90625,609149630.0,116509210.0,67700.0,2106053.2,49375000.0,0.79951984
