machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,8876712.0,11150685.0,1589041.1,30821918.0,0.0,0.0,0.0,0.0,0.01369863,3622.7124,13368.068,679.16437,29.575342,27397.26,0.332
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,15781250.0,25093750.0,7468750.0,69437500.0,0.0,0.0,0.0,0.0,0.984375,1975172.8,3831526.8,116859.92,10521.078,593750.0,0.28559178
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,9287671.0,11643836.0,1726027.4,32273972.0,0.0,0.0,0.0,0.0,0.01369863,7577.2056,16587.672,679.16437,29.575342,0.0,0.4984985
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,3863013.8,4876712.5,739726.0,13479452.0,0.0,0.0,0.0,0.0,0.01369863,281.65753,4973.356,679.16437,29.561644,0.0,1.0
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,7156250.0,13937500.0,6093750.0,36375000.0,0.0,0.0,0.0,0.0,0.953125,178477.73,766958.6,116859.92,10521.031,531250.0,0.166
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,7671233.0,9753425.0,1397260.2,26904110.0,0.0,0.0,0.0,0.0,0.01369863,37234.234,75047.695,679.16437,29.616438,0.0,1.0
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,2958904.0,3643835.5,493150.7,10191781.0,0.0,0.0,0.0,0.0,0.01369863,718.35614,4607.0957,679.16437,29.58904,27397.26,1.0
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,9843750.0,18375000.0,7218750.0,50250000.0,0.0,0.0,0.0,0.0,0.859375,654315.6,1302132.9,120629.59,10860.266,593750.0,0.333
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,7342466.0,9232877.0,1369863.0,25616438.0,0.0,0.0,0.0,0.0,0.02739726,1034.5616,16204.425,679.16437,29.561644,0.0,1.0
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,19437500.0,30093750.0,8812500.0,84250000.0,0.0,0.0,0.0,0.0,0.8125,2317257.5,4088858.5,109320.55,9842.6875,562500.0,0.166
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,15369863.0,19479452.0,2821917.8,53890412.0,0.0,0.0,0.0,0.0,0.01369863,4157.384,34513.043,679.16437,29.60274,0.0,0.4984985
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,5726027.5,7260274.0,1041095.9,19890410.0,0.0,0.0,0.0,0.0,0.02739726,381.80823,3988.3562,679.16437,29.561644,0.0,0.4984985
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,12187500.0,20812500.0,6750000.0,55375000.0,0.0,0.0,0.0,0.0,0.484375,272115.22,867816.06,113090.31,10181.828,500000.0,0.166
quartz,0.30438918,1.6007789,0.8956528,0.43620908,-0.13533945,1.4270126,-0.61098295,-1.2470889,-0.22125518,-0.07336547,-0.5659123,0.018490491,0.11103551,0.90142953,-1.3908137,21452054.0,26958904.0,3726027.5,74301370.0,0.0,0.0,0.0,0.0,0.01369863,37225.37,83656.42,679.16437,29.616438,0.0,1.0
