machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,amg,0,0,0,2000000,,,,,0,84.34375,27491.46875,69871.03125,2106167.688,0,0.199279712
quartz,amg,0,0,0,2000000,,,,,0,88.5625,28708.65625,69839.03125,2106166.688,0,0.249249249
quartz,amg,0,0,0,2000000,,,,,0,68.40625,25731.65625,69871.03125,2106167.688,0,0.249249249
quartz,amg,0,0,0,2000000,,,,,0,82.25,26262,69871.03125,2106167.688,0,0.249249249
quartz,amg,18786375000,31292500000,8324937500,86553312500,441937500,114937500,78562500,16250000,659.78125,1411820640,1976832861,65449.96875,2105918.469,1567500000,0.030181818
quartz,amg,171937500,344937500,76437500,891687500,5187500,1875000,687500,0,655.4375,21335950.34,16778129.88,63237.5625,2105784.781,24000000,0.199279712
quartz,amg,5739694444,10806694444,858305555.6,24650416667,174694444.4,31000000,41083333.33,8361111.111,54.58333333,485080956.3,393656806.1,525.0555556,30141.80556,1172500000,15.4824772
quartz,amg,354083333.3,488916666.7,48500000,1222555556,27777.77778,27777.77778,0,27777.77778,47.34722222,875933.8472,836787.6667,525.0555556,30141.79167,5333333.333,1.501501502
quartz,amg,22790055556,54994416667,3712083333,1.18E+11,2095777778,221083333.3,360388888.9,46444444.44,55.45833333,3903381106,3136800416,525.0555556,30141.79167,6288250000,19.84832719
quartz,amg,467527777.8,683611111.1,65611111.11,1677750000,2555555.556,83333.33333,27777.77778,0,50.40277778,7265737.347,6242837.292,525.0555556,30141.79167,20972222.22,3.501501502
quartz,amg,1436388889,2328694444,203972222.2,5535000000,23777777.78,3888888.889,3638888.889,27777.77778,56.94444444,59939245.21,49257227.43,525.0555556,30141.79167,91972222.22,10.00360144
quartz,amg,55861111.11,77055555.56,7861111.111,193277777.8,0,0,0,0,31.33333333,100177.0833,469887.4167,525.0555556,30141.77778,1388888.889,2
