machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,comd,71111111.11,100027777.8,10694444.44,250750000,0,0,0,0,2441.055556,5215187.5,1090297.056,525.0555556,30141.90278,4555555.556,1
quartz,comd,87194444.44,123111111.1,13694444.44,308416666.7,0,0,0,0,3709.513889,7202532.917,1510570.611,525.0555556,30141.90278,6166666.667,1
quartz,comd,118916666.7,168555555.6,18250000,422416666.7,0,0,0,0,5539.569444,9971515.194,2139678.528,525.0555556,30141.90278,8611111.111,1
quartz,comd,380074074.1,778592592.6,317407407.4,2321629630,13703703.7,6518518.519,1407407.407,0,267868.4815,511496034.1,89948447.78,61272.07407,2105566.519,112296296.3,0.199279712
quartz,comd,102694444.4,149638888.9,17194444.44,374750000,0,0,0,0,7393.597222,13828717.53,3005817.736,525.0555556,30141.90278,13972222.22,1
quartz,comd,585481481.5,1156814815,497925925.9,3529703704,18592592.59,9111111.111,2444444.444,518518.5185,379011.7037,731046526,132402552.4,61295.25926,2105567.444,165703703.7,0.199279712
quartz,comd,114472222.2,168916666.7,20638888.89,423583333.3,0,27777.77778,0,0,10375.80556,18990453.94,4111417.083,525.0555556,30141.90278,16083333.33,1
quartz,comd,755407407.4,1519407407,652296296.3,4616148148,24888888.89,12740740.74,3333333.333,1407407.407,507049.037,978434400.8,175220651.1,58674.85185,2105431.148,224518518.5,0.199279712
quartz,comd,151666666.7,223750000,26583333.33,561527777.8,27777.77778,0,0,0,13239.625,24948768.08,5322109.875,525.0555556,30141.90278,25388888.89,1
quartz,comd,1018518519,2061703704,837629629.6,6153481481,22296296.3,17703703.7,3259259.259,1703703.704,670280.5185,1297236207,239312613.7,61272.11111,2105566.593,301925925.9,0.166
quartz,comd,143166666.7,216305555.6,27694444.44,543611111.1,27777.77778,27777.77778,0,0,16643.125,31388692.11,6880360.778,525.0555556,30141.90278,29638888.89,0.666
quartz,comd,1281037037,2589333333,1076592593,7785259259,34740740.74,23037037.04,5481481.481,1777777.778,910333.6296,1763247036,309642632.9,56077.59259,2105295.704,396888888.9,0.142367067
