machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,deepcam,4371611111,6909444444,966416666.7,17403833333,46361111.11,26777777.78,9777777.778,4361111.111,696152.75,1376774071,303037841.1,525.0416667,30141.86111,1168472222,2
quartz,deepcam,52926888889,1.19392E+11,47241407407,3.40774E+11,1388222222,1093259259,306222222.2,163185185.2,41677782.37,80354791952,26958602383,63893.40741,2105702.778,21214740741,0.008661171
quartz,deepcam,5009805556,7834166667,1072333333,19723694444,49333333.33,28472222.22,10361111.11,5972222.222,738770.3194,1458105085,311366761.9,525.0555556,30141.88889,1260416667,1.941404871
quartz,deepcam,60298444444,1.33636E+11,53598444444,3.82949E+11,1374296296,1155259259,315407407.4,174370370.4,43241975.22,83338909169,28040610663,66466.55556,2105837.333,23041037037,0.008097561
quartz,deepcam,4740500000,7527111111,1061416667,18963166667,54277777.78,30444444.44,11305555.56,6222222.222,783165.2222,1534612823,336231805.7,525.0416667,30141.86111,1329444444,2
quartz,deepcam,59721111111,1.34961E+11,53739407407,3.85227E+11,1456148148,1256666667,341851851.9,190666666.7,45838641.63,88323702941,29725097096,61296.03704,2105567.333,23431777778,0.00772093
quartz,deepcam,5050666667,8009916667,1127388889,20180916667,55861111.11,32611111.11,12305555.56,6250000,829135.2222,1617347655,348568627.2,525.0555556,30141.90278,1375472222,2.055333333
quartz,deepcam,68035185185,1.50603E+11,60400370370,4.31263E+11,1633925926,1313555556,382962963,201481481.5,49634846.52,95704764874,34973601061,61296.03704,2105567.333,25705555556,0.007114387
quartz,deepcam,5461666667,8636388889,1207555556,21753388889,70305555.56,34666666.67,12333333.33,6361111.111,877020.4861,1714357775,364308603.5,525.0416667,30141.86111,1280888889,2.166666667
quartz,deepcam,60619925926,1.44826E+11,56761629630,4.09003E+11,2734370370,1627777778,397185185.2,213555555.6,52496495.44,1.01203E+11,36840816194,66466.55556,2105837.333,29279111111,0.006729912
quartz,deepcam,5404500000,8625083333,1228361111,21735305556,64833333.33,35416666.67,15055555.56,7055555.556,926361.3194,1799015718,400226897.4,525.0555556,30141.90278,1545166667,2.158243841
quartz,deepcam,73834148148,1.65139E+11,66173629630,4.73045E+11,1823703704,1491925926,414740740.7,232666666.7,55467893.44,1.06936E+11,39821948007,63892.55556,2105702.815,29423555556,0.006225156
quartz,deepcam,6239694444,9832361111,1364861111,24760305556,69833333.33,37694444.44,15194444.44,8111111.111,977726.2917,1889282789,408224044.8,525.0555556,30141.88889,1587000000,2.047428571
quartz,deepcam,73018592593,1.67673E+11,67031555556,4.78592E+11,1926222222,1558740741,445777777.8,240666666.7,58549502.59,1.12889E+11,40306613679,66492.59259,2105838.37,32093185185,
quartz,deepcam,6708027778,10538833333,1456055556,26540638889,69138888.89,39500000,15472222.22,8361111.111,1030862.222,1987135875,426258399,525.0555556,30141.90278,1771472222,2.136661211
quartz,deepcam,80100074074,1.77228E+11,71643259259,5.11383E+11,1933333333,1672074074,464222222.2,266148148.1,61740927.41,1.19033E+11,43106641679,61296.11111,2105567.481,33379333333,0.005691559
quartz,deepcam,6388194444,10184972222,1445555556,25661444444,71805555.56,42111111.11,16055555.56,8416666.667,1085674.486,2093452694,467325878.2,525.0555556,30141.90278,1850666667,2.087138012
quartz,deepcam,93286148148,2.03738E+11,83162814815,5.87357E+11,2295481481,1702370370,524222222.2,270370370.4,65045983.7,1.25373E+11,39984354960,63894.33333,2105702.889,35879925926,0.005442623
quartz,deepcam,6756166667,10757333333,1525500000,27110416667,76222222.22,44388888.89,17777777.78,8361111.111,1142497.764,2197501859,486637446.5,525.0555556,30141.875,2059611111,2.217584138
quartz,deepcam,1.00681E+11,2.17816E+11,88832222222,6.28344E+11,2112296296,1791851852,517407407.4,290296296.3,66947338.89,1.28982E+11,45429769374,58697.77778,2105431.852,37725555556,0.005107692
quartz,deepcam,7277722222,11548722222,1625750000,29094166667,83138888.89,46861111.11,18444444.44,8638888.889,1201877.444,2313485283,495775909.7,525.0555556,30141.875,2064777778,2.20825
quartz,deepcam,1.0324E+11,2.19936E+11,89492074074,6.37628E+11,2302444444,1943407407,564296296.3,310370370.4,72009882.26,1.38846E+11,51959155610,63894.2963,2105702.815,39156222222,0.004834998
quartz,deepcam,2382055556,3734666667,515222222.2,9405444444,25833333.33,13833333.33,4277777.778,2166666.667,357288.6389,711701843.7,151750111.5,525.0555556,30141.90278,605027777.8,2.12528132
quartz,deepcam,30253185185,66489111111,27214444444,1.91589E+11,702666666.7,561481481.5,136740740.7,79111111.11,21341186.96,41178257047,13683981638,61295.2963,2105567.519,10376592593,
