machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,laghos,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556948,1461157318,1076277724,37771,2190229,116000000,16.332
quartz,laghos,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556449,1460442876,1077872352,37771,2190229,116000000,13.332
quartz,laghos,2792000000,3862000000,1114000000,13250000000,26000000,16000000,0,0,1789740,1680159170,1238203078,37771,2193037,140000000,10.25975976
quartz,laghos,2792000000,3862000000,1108000000,13250000000,38000000,14000000,0,0,1790082,1681196754,1238368945,37771,2193037,136000000,10.25975976
quartz,laghos,3154000000,4360000000,1258000000,14964000000,30000000,16000000,0,0,2021762,1896564610,1396403653,37771,2195719,150000000,10.51051051
quartz,laghos,3152000000,4358000000,1258000000,14960000000,30000000,18000000,0,0,2022435,1897379725,1397572057,37771,2195719,142000000,10.25975976
quartz,laghos,3434000000,4746000000,1368000000,16294000000,36000000,18000000,0,0,2202499,2065152466,1520600593,37771,2197853,170000000,10.75975976
quartz,laghos,3434000000,4746000000,1368000000,16292000000,32000000,20000000,0,0,2202362,2065421903,1520505953,37771,2197855,172000000,10.75975976
quartz,laghos,3640000000,5040000000,1452000000,17290000000,42000000,18000000,2000000,0,2337750,2193317921,1615712489,37771,2199440,180000000,11.01051051
quartz,laghos,3644000000,5036000000,1450000000,17290000000,34000000,18000000,0,0,2338564,2191995118,1614181110,37771,2199439,178000000,8.803121248
quartz,laghos,3788000000,5244000000,1512000000,17994000000,50000000,20000000,0,0,2430175,2282039382,1680659639,37771,2200601,186000000,13.51351351
quartz,laghos,3792000000,5244000000,1514000000,17998000000,44000000,20000000,2000000,0,2431784,2282041862,1681138751,37771,2200600,186000000,11.26126126
quartz,laghos,8200000000,19434000000,6256000000,59954000000,202000000,160000000,6000000,4000000,3259234,11407387387,8376314544,37771,2205834,912000000,4.273322422
quartz,laghos,22753062500,35795187500,12467125000,96878062500,77000000,32125000,12562500,8687500,12734.5625,361169574,5501768476,69873.9375,2107283.188,1029437500,1.642948993
quartz,laghos,8204000000,19430000000,6256000000,59958000000,202000000,164000000,6000000,4000000,3259806,11407505373,8373560008,37771,2205834,916000000,4.273322422
quartz,laghos,24537187500,38530437500,13353062500,1.04E+11,76500000,32812500,12500000,8625000,12854.59375,361168484.1,5647632964,69874.90625,2107283.219,1022625000,1.424181818
quartz,laghos,8434000000,19982000000,6430000000,61650000000,158000000,164000000,6000000,4000000,3351149,11738569930,8619167310,37771,2206811,906000000,4.364429896
quartz,laghos,8436000000,19982000000,6428000000,61650000000,156000000,164000000,6000000,4000000,3352208,11739221393,8612430035,37771,2206811,920000000,4
quartz,laghos,8656000000,20510000000,6600000000,63296000000,174000000,168000000,8000000,4000000,3441544,12054554619,8845604406,37771,2207787,926000000,4.1665
quartz,laghos,8656000000,20514000000,6602000000,63300000000,160000000,168000000,6000000,4000000,3441253,12055275233,8843459323,37771,2207787,930000000,4.083
quartz,laghos,8884000000,21048000000,6776000000,64954000000,194000000,172000000,8000000,6000000,3530031,12369803432,9079541763,37771,2208763,998000000,4.1665
quartz,laghos,8882000000,21050000000,6776000000,64954000000,220000000,172000000,8000000,4000000,3530903,12370920406,9081305625,37771,2208763,992000000,4.546099291
quartz,laghos,9120000000,21602000000,6956000000,66652000000,174000000,176000000,8000000,6000000,3621742,12694755774,9315030669,37771,2209678,986000000,3.643377625
quartz,laghos,9114000000,21602000000,6950000000,66644000000,180000000,176000000,8000000,6000000,3622301,12692280402,9315450277,37771,2209678,1006000000,3.924284395
quartz,laghos,9346000000,22146000000,7130000000,68328000000,176000000,186000000,8000000,6000000,3713148,13003334800,9548958313,37771,2210655,1052000000,3.786112302
quartz,laghos,26936687500,42333687500,14706500000,1.15E+11,88875000,37750000,14687500,10000000,12281.0625,411652374.8,6290329888,69867.90625,2107433.656,1161312500,1.558948112
quartz,laghos,9346000000,22142000000,7130000000,68326000000,232000000,186000000,8000000,6000000,3713446,13005317291,9545360358,37771,2210655,1064000000,5.001385042
quartz,laghos,27875437500,43774500000,15174375000,1.18E+11,89937500,39125000,14437500,10000000,12395.375,411638680.8,6379871223,69874.90625,2107433.875,1161187500,1.617719732
quartz,laghos,9580000000,22698000000,7304000000,70038000000,258000000,186000000,8000000,6000000,3806382,13338036393,9789337350,37771,2211630,1042000000,4.308864266
quartz,laghos,9576000000,22698000000,7304000000,70032000000,190000000,186000000,8000000,6000000,3805973,13337946079,9786834224,37771,2211630,1056000000,5.078485688
quartz,laghos,9800000000,23220000000,7474000000,71634000000,194000000,192000000,8000000,6000000,3893262,13642293589,10008097348,37771,2212545,1066000000,4.385964912
quartz,laghos,9798000000,23212000000,7470000000,71630000000,206000000,190000000,8000000,6000000,3893742,13640150148,10013663625,37771,2212545,1054000000,4.462603878
quartz,laghos,10016000000,23732000000,7638000000,73218000000,192000000,192000000,8000000,6000000,3979723,13944095142,10234398047,37771,2213400,1084000000,4.214744964
quartz,laghos,10018000000,23732000000,7640000000,73214000000,184000000,194000000,8000000,6000000,3979767,13947369364,10233864375,37771,2213400,1094000000,4.616805171
