machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_2_1
quartz,miniFE.x,0.2166,3027000000.0,11875000000.0,1213000000.0,26613000000.0,244000000.0,61000000.0,72000000.0,3000000.0,45.5,3226588922.0,131706763.5,24789.5,1303.5,69000000.0,5.654979,0.8462603878116344
quartz,miniFE.x,0.1,125531250.0,432906250.0,61937500.0,995312500.0,21406250.0,2000000.0,5218750.0,0.0,45.328125,113459106.2,4842989.734,120629.5938,10749.53125,4656250.0,0.690265828,0.16599999999999998
quartz,miniFE.x,0.1333,1514000000.0,5936000000.0,609000000.0,13322000000.0,126000000.0,31000000.0,36000000.0,1000000.0,5.5,1616285190.0,65839252.5,24789.5,1304.5,33000000.0,3.101382,0.7501875468867217
quartz,miniFE.x,0.1,66875000.0,226562500.0,34968750.0,524500000.0,6750000.0,1000000.0,1156250.0,0.0,30.765625,59869370.64,2627363.703,120629.5938,10749.625,3687500.0,0.448087781,
quartz,miniFE.x,0.0666,754000000.0,2957000000.0,306000000.0,6647000000.0,133000000.0,15000000.0,31000000.0,0.0,3.0,809344882.5,32906175.5,24789.5,1307.0,18000000.0,1.5282715,1.0
quartz,miniFE.x,0.1,38250000.0,125375000.0,22093750.0,293812500.0,3593750.0,0.0,0.0,0.0,28.765625,30758479.5,1452856.547,120583.0938,10749.5625,1375000.0,0.314950953,0.16599999999999998
quartz,miniFE.x,0.1166,1134000000.0,4448000000.0,455000000.0,9984000000.0,92000000.0,23000000.0,25000000.0,1000000.0,4.0,1212437474.0,49368997.0,24789.5,1306.5,25000000.0,2.12806,0.7144082332761579
quartz,miniFE.x,0.1,52031250.0,174125000.0,28000000.0,404656250.0,3875000.0,0.0,468750.0,0.0,32.765625,45695592.25,2032823.109,120629.5938,10749.625,2593750.0,0.403366922,0.16599999999999998
quartz,miniFE.x,0.1333,1702000000.0,6676000000.0,681000000.0,14971000000.0,140000000.0,34000000.0,41000000.0,2000000.0,4.5,1817475685.0,73980881.5,24789.5,1304.5,41000000.0,3.157099,0.8747186796699175
quartz,miniFE.x,0.1,72468750.0,247906250.0,36375000.0,572750000.0,10906250.0,1000000.0,2343750.0,0.0,36.9375,66099802.33,2880511.547,120629.5938,10749.5625,4187500.0,0.475962813,0.16599999999999998
quartz,miniFE.x,0.2666,3783000000.0,14844000000.0,1507000000.0,33249000000.0,274000000.0,77000000.0,86000000.0,3000000.0,4.5,4031746836.0,164320482.0,24789.5,1299.5,89000000.0,6.8692515,0.8124531132783195
quartz,miniFE.x,0.1166,154531250.0,535781250.0,75062500.0,1229687500.0,20937500.0,2000000.0,5062500.0,0.0,27.609375,141043549.1,5988772.438,120583.0938,10749.54688,5687500.0,0.792593437,0.1423670668953688
quartz,miniFE.x,0.15,1896000000.0,7430000000.0,756000000.0,16662000000.0,140000000.0,38000000.0,44000000.0,2000000.0,5.5,2019752656.0,82230718.5,24789.5,1301.0,46000000.0,3.614726,0.7773333333333333
quartz,miniFE.x,0.1166,81062500.0,277781250.0,41625000.0,641093750.0,12718750.0,1000000.0,2937500.0,0.0,19.609375,74190517.44,3242116.797,120629.5938,10749.45313,4343750.0,0.522957641,
quartz,miniFE.x,0.4166,5936000000.0,23285000000.0,2351000000.0,52109000000.0,454000000.0,120000000.0,125000000.0,6000000.0,6.0,6298377242.0,256768967.5,24789.5,1300.5,155000000.0,11.0157625,0.8000480076812289
quartz,miniFE.x,0.1333,234750000.0,821062500.0,110000000.0,1877625000.0,38500000.0,4000000.0,9406250.0,0.0,46.0,215867924.7,9051566.625,120629.5938,10749.4375,6812500.0,1.115350187,
quartz,miniFE.x,0.1833,2379000000.0,9318000000.0,944000000.0,20883000000.0,171000000.0,48000000.0,54000000.0,2000000.0,4.5,2522376082.0,102747627.0,24789.5,1302.5,53000000.0,4.602338,0.8183306055646481
quartz,miniFE.x,0.1,100187500.0,344062500.0,50437500.0,792875000.0,16750000.0,1000000.0,4000000.0,0.0,41.25,91589810.5,3952289.672,120629.5938,10749.40625,4968750.0,0.593845688,0.16599999999999998
quartz,miniFE.x,0.0833,941000000.0,3692000000.0,379000000.0,8296000000.0,247000000.0,19000000.0,56000000.0,0.0,5.0,1012213372.0,41154861.0,24789.5,1304.5,23000000.0,1.777276,0.7995198079231693
quartz,miniFE.x,0.0833,44562500.0,148343750.0,24656250.0,345156250.0,5281250.0,0.0,656250.0,0.0,13.421875,38415865.72,1761085.563,120583.0938,10749.64063,2062500.0,0.347701953,
quartz,miniFE.x,0.1166,1423000000.0,5573000000.0,568000000.0,12503000000.0,118000000.0,29000000.0,31000000.0,1000000.0,5.0,1515348612.0,61738626.0,24789.5,1302.5,35000000.0,2.645573,0.8576329331046313
quartz,miniFE.x,0.1,60656250.0,207937500.0,30968750.0,481062500.0,10187500.0,1000000.0,1750000.0,0.0,30.71875,56557492.13,2491544.078,120629.5938,10749.53125,3625000.0,0.447961859,
quartz,miniFE.x,0.1666,2128000000.0,8352000000.0,849000000.0,18722000000.0,178000000.0,43000000.0,50000000.0,2000000.0,5.0,2270419503.0,92420498.5,24789.5,1302.0,47000000.0,4.117013,0.8001200480192077
quartz,miniFE.x,0.0833,88125000.0,305125000.0,43375000.0,703468750.0,9625000.0,1000000.0,2031250.0,0.0,14.03125,82270621.36,3560455.328,120629.5938,10749.53125,4343750.0,0.564684656,0.1992797118847539
quartz,miniFE.x,0.3333,4541000000.0,17825000000.0,1816000000.0,39925000000.0,381000000.0,92000000.0,103000000.0,5000000.0,4.0,4838575452.0,197291250.5,24789.5,1298.5,110000000.0,8.4671395,0.7500750075007501
quartz,miniFE.x,0.1166,185218750.0,642125000.0,90000000.0,1472250000.0,19312500.0,3000000.0,4875000.0,0.0,31.4375,168437711.4,7131396.859,120583.0938,10749.34375,6218750.0,0.915701203,
quartz,miniFE.x,0.1666,2273000000.0,8911000000.0,912000000.0,19987000000.0,193000000.0,46000000.0,51000000.0,2000000.0,4.5,2423609809.0,98783749.0,24789.5,1300.5,51000000.0,4.1528045,0.8001200480192077
quartz,miniFE.x,0.1,98406250.0,335468750.0,50937500.0,773843750.0,15843750.0,1000000.0,3656250.0,0.0,14.921875,88857641.75,3838798.031,120583.0938,10749.48438,4562500.0,0.577282344,0.16599999999999998
quartz,miniFE.x,0.4833,7130000000.0,27959000000.0,2824000000.0,62556000000.0,611000000.0,143000000.0,161000000.0,9000000.0,5.0,7555310933.0,308158559.0,24789.5,1300.0,179000000.0,13.305719,0.7930891785640388
quartz,miniFE.x,0.1333,290218750.0,1005000000.0,139875000.0,2300687500.0,46687500.0,4000000.0,11093750.0,0.0,20.53125,258331726.0,10811673.75,120629.5938,10749.45313,8500000.0,1.282578125,0.1245311327831958
quartz,miniFE.x,0.2166,2846000000.0,11164000000.0,1133000000.0,25020000000.0,241000000.0,58000000.0,63000000.0,3000000.0,5.0,3025951351.0,123324632.0,24789.5,1301.5,68000000.0,5.194372,0.8462603878116344
quartz,miniFE.x,0.1,117812500.0,408093750.0,58593750.0,938562500.0,17375000.0,1843750.0,4156250.0,0.0,15.421875,109669518.4,4707357.828,120629.5938,10749.45313,4906250.0,0.662803062,0.16599999999999998
quartz,miniFE.x,0.7333,10279000000.0,40316000000.0,4070000000.0,90175000000.0,881000000.0,205000000.0,227000000.0,11000000.0,4.0,10876358251.0,443898538.5,24789.5,1298.5,233000000.0,19.6010035,0.7726714850675032
quartz,miniFE.x,0.1333,421843750.0,1449281250.0,207062500.0,3309625000.0,43093750.0,6156250.0,9718750.0,0.0,13.609375,366393112.9,15272360.23,120629.5938,10749.46875,12843750.0,1.752232672,0.1245311327831958
quartz,miniFE.x,0.25,3442000000.0,13471000000.0,1366000000.0,30175000000.0,290000000.0,69000000.0,78000000.0,3000000.0,4.5,3631340576.0,148055956.5,24789.5,1300.5,82000000.0,6.496696,0.8
