machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,minigan,192888888.9,272138888.9,29611111.11,681777777.8,27777.77778,27777.77778,0,0,6128.361111,14791285.4,3200073.875,525.0555556,30141.90278,18500000,0.666
quartz,minigan,225416666.7,320416666.7,35583333.33,802611111.1,0,27777.77778,0,0,9581.458333,24425780.18,4462536.125,525.0555556,30141.90278,18916666.67,1
quartz,minigan,522666666.7,1287629630,534814814.8,3761037037,25259259.26,12962962.96,3555555.556,1407407.407,543948.2222,1041073755,189023827.2,58697.81481,2105431.926,214518518.5,0.166
quartz,minigan,330083333.3,471000000,51972222.22,1178500000,27777.77778,0,0,0,14272.58333,29742957.28,6332422.139,525.0555556,30141.88889,29222222.22,0.666
quartz,minigan,1112370370,2294518519,933407407.4,6823259259,21111111.11,21037037.04,4222222.222,2222222.222,771215.2222,1484491244,265338131.8,53501.33333,2105161.037,324000000,0.166
quartz,minigan,280388888.9,410111111.1,48472222.22,1029888889,27777.77778,27777.77778,0,0,20018.79167,41620070.88,8883175.139,525.0555556,30141.90278,41916666.67,1
quartz,minigan,336722222.2,496361111.1,60083333.33,1246666667,138888.8889,55555.55556,0,27777.77778,27141.41667,54701036.43,12219846.94,525.0555556,30141.90278,55916666.67,1
quartz,minigan,377472222.2,564388888.9,70055555.56,1418416667,1722222.222,55555.55556,0,27777.77778,35667.44444,73537297.71,16087750.83,525.0555556,30141.90278,78722222.22,1
quartz,minigan,2977777778,6011777778,2537925926,18161259259,65629629.63,52888888.89,11037037.04,6518518.519,2090054,4056754224,746635841.3,56077.62963,2105295.778,870518518.5,0.110666667
quartz,minigan,443055555.6,667416666.7,84944444.44,1678944444,1805555.556,138888.8889,0,27777.77778,46674.69444,93078590.57,20380351.03,525.0555556,30141.90278,99000000,1
quartz,minigan,3492444444,7446740741,3026370370,22046518519,98666666.67,68740740.74,18000000,8000000,2708395.222,5251880422,936064195.7,61296.11111,2105567.481,1167111111,0.099639856
