machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_2_1
quartz,miniqmc,0.05,250611111.1,352805555.6,38638888.89,885222222.2,55555.55556,0.0,0.0,0.0,7948.319444,21331856.18,4297165.5,525.0555556,30141.88889,17444444.44,0.624081708,0.666
quartz,miniqmc,0.1,448444444.4,1115037037.0,467185185.2,3245481481.0,14814814.81,11481481.48,2000000.0,1333333.333,458785.2963,874508932.0,179669684.9,63868.40741,2105701.852,177703703.7,0.940452259,0.16599999999999998
quartz,miniqmc,0.05,342194444.4,485666666.7,53194444.44,1215916667.0,0.0,27777.77778,0.0,0.0,12505.38889,31270260.32,5968108.208,525.0555556,30141.88889,33027777.78,0.398848069,0.666
quartz,miniqmc,0.1,624370370.4,1685555556.0,647333333.3,4709629630.0,31407407.41,18000000.0,5259259.259,2074074.074,724075.0741,1385995976.0,289471046.3,61295.25926,2105567.444,293481481.5,1.404287148,0.16599999999999998
quartz,miniqmc,0.0333,412000000.0,587888888.9,65305555.56,1474111111.0,27777.77778,55555.55556,0.0,0.0,18545.20833,39454580.15,8436323.861,525.0555556,30141.88889,39111111.11,0.756793792,1.0
quartz,miniqmc,0.1166,1541407407.0,3185777778.0,1306962963.0,9415185185.0,38888888.89,28222222.22,6962962.963,3037037.037,1075597.963,2069342984.0,462895393.5,58651.81481,2105430.222,437037037.0,2.519652259,0.1423670668953688
quartz,miniqmc,0.05,351916666.7,515972222.2,62000000.0,1295694444.0,416666.6667,0.0,0.0,0.0,26422.625,55735466.0,11844056.71,525.0555556,30141.90278,61888888.89,0.807838181,0.666
quartz,miniqmc,0.1166,2212666667.0,4537037037.0,1890370370.0,13489925926.0,58370370.37,38296296.3,9777777.778,5333333.333,1526959.259,2959965457.0,676696742.1,53501.33333,2105161.037,607851851.9,3.450269222,0.1423670668953688
quartz,miniqmc,0.05,422361111.1,625722222.2,76472222.22,1572027778.0,1500000.0,83333.33333,0.0,0.0,35865.625,73982926.31,16295386.74,525.0555556,30141.90278,73638888.89,1.079535403,1.0
quartz,miniqmc,0.15,2694296296.0,5889185185.0,2331555556.0,17091333333.0,56740740.74,53037037.04,11037037.04,6592592.593,2046623.778,3969132370.0,895382252.1,61296.07407,2105567.407,859259259.3,4.664657519,
quartz,miniqmc,0.05,530833333.3,789500000.0,97194444.44,1982833333.0,1666666.667,277777.7778,0.0,27777.77778,47372.27778,98314698.93,21271712.86,525.0555556,30141.88889,97166666.67,1.268850014,1.0
quartz,miniqmc,0.1833,3522740741.0,7796296296.0,3184666667.0,22806740741.0,99703703.7,71703703.7,16888888.89,9037037.037,2779402.778,5398086200.0,1272835908.0,56055.59259,2105294.889,1152444444.0,6.500807889,0.0905619203491544
quartz,miniqmc,0.05,639722222.2,955833333.3,119222222.2,2403305556.0,2055555.556,2000000.0,0.0,55555.55556,61250.47222,121561576.2,27072942.58,525.0555556,30141.88889,124611111.1,1.537649736,1.332
quartz,miniqmc,0.2,4986666667.0,10503407407.0,4465925926.0,31303703704.0,116074074.1,90222222.22,22518518.52,11481481.48,3448976.593,6679013629.0,1461233059.0,53501.37037,2105161.111,1515851852.0,8.07123937,
