machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_2_1
quartz,minitri,0.05,276000000.0,391416666.7,43944444.44,981805555.6,0.0,0.0,0.0,0.0,9814.847222,22952674.4,5325253.222,525.0555556,30141.88889,28638888.89,0.575119681,0.666
quartz,minitri,0.0833,532888888.9,1361111111.0,535925925.9,3856148148.0,23037037.04,15037037.04,3555555.556,1777777.778,556657.3704,1066364420.0,270784468.9,63862.0,2105701.741,217777777.8,1.170999963,0.1992797118847539
quartz,minitri,0.05,394944444.4,560527777.8,61472222.22,1406916667.0,0.0,55555.55556,0.0,0.0,15544.38889,34669825.0,7388681.139,525.0555556,30141.90278,39138888.89,0.657061847,0.666
quartz,minitri,0.1,846666666.7,2211851852.0,885925925.9,6260962963.0,32962962.96,22814814.81,6222222.222,2888888.889,902745.963,1729691348.0,396551066.7,63893.44444,2105702.852,368222222.2,1.743914111,0.16599999999999998
quartz,minitri,0.05,338888888.9,494305555.6,58972222.22,1242138889.0,388888.8889,27777.77778,0.0,0.0,22992.79167,52131670.0,10512477.47,525.0555556,30141.88889,46694444.44,0.741442708,0.666
quartz,minitri,0.1166,1942888889.0,4080148148.0,1636074074.0,11880888889.0,48888888.89,35333333.33,9333333.333,3703703.704,1341708.593,2584916933.0,697524032.9,63894.33333,2105702.889,555555555.6,3.05604863,0.1423670668953688
quartz,minitri,0.05,456722222.2,668305555.6,79583333.33,1677722222.0,1361111.111,55555.55556,0.0,0.0,32728.81944,68736750.44,14799208.15,525.0555556,30141.90278,64638888.89,1.274677097,1.0
quartz,minitri,0.1333,2728370370.0,5756296296.0,2424296296.0,17013481481.0,68074074.07,47925925.93,12222222.22,6296296.296,1864982.778,3609230110.0,1031085152.0,48304.18519,2104890.111,745555555.6,4.314527704,0.1245311327831958
quartz,minitri,0.05,504138888.9,749305555.6,92916666.67,1882666667.0,1666666.667,194444.4444,0.0,0.0,44579.31944,92674329.11,20328253.54,525.0555556,30141.90278,98777777.78,0.901176819,1.0
quartz,minitri,0.1666,3495259259.0,7521111111.0,2976444444.0,21772444444.0,105481481.5,68370370.37,17703703.7,8888888.889,2614190.852,5074570106.0,1381464788.0,61296.07407,2105567.407,1088296296.0,5.859346704,0.09963985594237695
quartz,minitri,0.05,613111111.1,917611111.1,114888888.9,2305194444.0,2722222.222,1861111.111,0.0,55555.55556,59334.22222,122557352.5,26649786.74,525.0555556,30141.90278,119694444.4,1.622850056,1.332
quartz,minitri,0.2,4797851852.0,10288370370.0,4186518519.0,30001925926.0,107925925.9,90592592.59,19555555.56,11777777.78,3473356.926,6743077174.0,1872885814.0,56099.62963,2105296.593,1449259259.0,7.584361741,0.08299999999999999
quartz,minitri,0.05,783805555.6,1174000000.0,146694444.4,2949500000.0,3500000.0,2000000.0,0.0,55555.55556,76363.47222,149232712.2,33841763.38,525.0555556,30141.90278,157361111.1,1.827596222,1.666
quartz,minitri,0.25,6143851852.0,13159111111.0,5395259259.0,38521851852.0,125555555.6,116518518.5,26000000.0,14592592.59,4510672.852,8741768310.0,2255886942.0,58697.0,2105431.889,1961629630.0,10.20011911,
