machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,7111111.0,46305556.0,11166667.0,98944450.0,1722222.2,1666666.6,83333.336,83333.336,6.25,26038076.0,26638960.0,525.05554,30141.916,11777778.0,1.0
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,12416667.0,73916664.0,17916666.0,165555550.0,1750000.0,2388889.0,83333.336,83333.336,9.152778,38292890.0,26702312.0,525.05554,30141.916,11916667.0,0.7507508
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,21527778.0,120250000.0,29166666.0,277444450.0,2472222.2,3583333.2,138888.89,111111.11,22.0,58800010.0,26588580.0,525.05554,30141.916,11750000.0,0.79951984
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,34333332.0,185222220.0,44916668.0,434333340.0,2833333.2,5250000.0,138888.89,111111.11,19.0,87480030.0,26651084.0,525.05554,30141.916,12694444.0,0.7144082
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,50722224.0,268611100.0,65166668.0,635722240.0,3055555.5,7444444.5,166666.67,111111.11,5.0555553,124326590.0,26606524.0,525.05554,30141.916,12750000.0,0.7501876
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,15583333.0,99138890.0,23166666.0,211944450.0,3472222.2,3388889.0,166666.67,194444.44,11.291667,53147028.0,53375364.0,525.05554,30141.916,23694444.0,0.666
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,31833334.0,175833330.0,39388890.0,392861120.0,3527777.8,4972222.0,166666.67,222222.22,15.027778,81357430.0,53461720.0,525.05554,30141.916,23305556.0,0.7144082
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,59111110.0,303944450.0,66388890.0,695000000.0,4527778.0,7555555.5,250000.0,222222.22,9.555555,128256376.0,53200544.0,525.05554,30141.916,24777778.0,0.6361157
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,97388890.0,483472220.0,104250000.0,1118444400.0,5222222.0,11111111.0,250000.0,222222.22,12.222222,194015100.0,53270868.0,525.05554,30141.916,26027778.0,0.75
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,146222220.0,713750000.0,152805550.0,1661611100.0,6750000.0,15805556.0,361111.12,222222.22,8.527778,278577000.0,53176580.0,525.05554,30141.916,26277778.0,0.7645605
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,3361111.0,22305556.0,5500000.0,47611110.0,861111.1,833333.3,27777.777,27777.777,12.402778,12862180.0,13461422.0,525.05554,30141.916,4388889.0,0.666
