machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,amg,0,0,0,2000000,,,,,0,84.34375,27491.46875,69871.03125,2106167.688,0,1.200480192
quartz,amg,0,0,0,2000000,,,,,0,88.5625,28708.65625,69839.03125,2106166.688,0,1
quartz,amg,0,0,0,2000000,,,,,0,68.40625,25731.65625,69871.03125,2106167.688,0,1.501501502
quartz,amg,0,0,0,2000000,,,,,0,82.25,26262,69871.03125,2106167.688,0,1.250750751
quartz,amg,0,0,0,2000000,,,,,0,78.65625,26210.8125,69872,2106167.719,0,1.250750751
quartz,amg,18786375000,31292500000,8324937500,86553312500,441937500,114937500,78562500,16250000,659.78125,1411820640,1976832861,65449.96875,2105918.469,1567500000,0.727272727
quartz,amg,56625000,83937500,28687500,252812500,1125000,0,0,0,733.3125,2699002.969,5520352.063,65449.96875,2105918.469,4750000,1.501501502
quartz,amg,171937500,344937500,76437500,891687500,5187500,1875000,687500,0,655.4375,21335950.34,16778129.88,63237.5625,2105784.781,24000000,1
quartz,amg,1168625000,2568312500,481625000,6352125000,37687500,14687500,8812500,1375000,750.1875,176217740.7,124674078,67660.53125,2106052.031,167062500,1
quartz,amg,42187500,53062500,23125000,175937500,0,0,0,0,715.28125,333486.6563,3787210.031,67660.53125,2106052.031,2562500,1.250750751
quartz,amg,5739694444,10806694444,858305555.6,24650416667,174694444.4,31000000,41083333.33,8361111.111,54.58333333,485080956.3,393656806.1,525.0555556,30141.80556,1172500000,0.920067211
quartz,amg,354083333.3,488916666.7,48500000,1222555556,27777.77778,27777.77778,0,27777.77778,47.34722222,875933.8472,836787.6667,525.0555556,30141.79167,5333333.333,1.501501502
quartz,amg,22790055556,54994416667,3712083333,1.18197E+11,2095777778,221083333.3,360388888.9,46444444.44,55.45833333,3903381106,3136800416,525.0555556,30141.79167,6288250000,0.854441195
quartz,amg,467527777.8,683611111.1,65611111.11,1677750000,2555555.556,83333.33333,27777.77778,0,50.40277778,7265737.347,6242837.292,525.0555556,30141.79167,20972222.22,1
quartz,amg,1436388889,2328694444,203972222.2,5535000000,23777777.78,3888888.889,3638888.889,27777.77778,56.94444444,59939245.21,49257227.43,525.0555556,30141.79167,91972222.22,1.200480192
quartz,amg,55861111.11,77055555.56,7861111.111,193277777.8,0,0,0,0,31.33333333,100177.0833,469887.4167,525.0555556,30141.77778,1388888.889,1.501501502
quartz,amg,1.49462E+11,2.73843E+11,66504312500,7.26888E+11,6495937500,1322250000,1001750000,181187500,930.3125,14801460956,17467991021,63267.4375,2105785.719,21635812500,0.715943315
quartz,amg,419437500,711312500,232437500,2009812500,21250000,8625000,2937500,937500,904.4375,31394365.38,56694203.09,67661.5,2106052.125,63687500,1
quartz,amg,1386250000,3234937500,595812500,7827000000,79250000,29875000,21687500,4875000,763.25,231104012,170910051.6,63267.4375,2105785.719,319250000,0.87471868
quartz,amg,8897187500,23253437500,3422187500,53642125000,447312500,181750000,129562500,27312500,874.6875,1851023676,1011654445,65478.15625,2105919.344,2356437500,0.7666
quartz,amg,293187500,385000000,174625000,1227000000,7187500,4562500,312500,437500,835,4267426.406,32171258.41,65479.96875,2105919.406,32000000,1
