machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,miniqmc,250611111.1,352805555.6,38638888.89,885222222.2,55555.55556,0,0,0,7948.319444,21331856.18,4297165.5,525.0555556,30141.88889,17444444.44,0.666
quartz,miniqmc,448444444.4,1115037037,467185185.2,3245481481,14814814.81,11481481.48,2000000,1333333.333,458785.2963,874508932,179669684.9,63868.40741,2105701.852,177703703.7,0.833
quartz,miniqmc,342194444.4,485666666.7,53194444.44,1215916667,0,27777.77778,0,0,12505.38889,31270260.32,5968108.208,525.0555556,30141.88889,33027777.78,1
quartz,miniqmc,624370370.4,1685555556,647333333.3,4709629630,31407407.41,18000000,5259259.259,2074074.074,724075.0741,1385995976,289471046.3,61295.25926,2105567.444,293481481.5,0.833
quartz,miniqmc,412000000,587888888.9,65305555.56,1474111111,27777.77778,55555.55556,0,0,18545.20833,39454580.15,8436323.861,525.0555556,30141.88889,39111111.11,1.501501502
quartz,miniqmc,1541407407,3185777778,1306962963,9415185185,38888888.89,28222222.22,6962962.963,3037037.037,1075597.963,2069342984,462895393.5,58651.81481,2105430.222,437037037,0.714408233
quartz,miniqmc,351916666.7,515972222.2,62000000,1295694444,416666.6667,0,0,0,26422.625,55735466,11844056.71,525.0555556,30141.90278,61888888.89,0.666
quartz,miniqmc,2212666667,4537037037,1890370370,13489925926,58370370.37,38296296.3,9777777.778,5333333.333,1526959.259,2959965457,676696742.1,53501.33333,2105161.037,607851851.9,0.857632933
quartz,miniqmc,422361111.1,625722222.2,76472222.22,1572027778,1500000,83333.33333,0,0,35865.625,73982926.31,16295386.74,525.0555556,30141.90278,73638888.89,1
quartz,miniqmc,2694296296,5889185185,2331555556,17091333333,56740740.74,53037037.04,11037037.04,6592592.593,2046623.778,3969132370,895382252.1,61296.07407,2105567.407,859259259.3,0.777333333
quartz,miniqmc,530833333.3,789500000,97194444.44,1982833333,1666666.667,277777.7778,0,27777.77778,47372.27778,98314698.93,21271712.86,525.0555556,30141.88889,97166666.67,0.666
quartz,miniqmc,3522740741,7796296296,3184666667,22806740741,99703703.7,71703703.7,16888888.89,9037037.037,2779402.778,5398086200,1272835908,56055.59259,2105294.889,1152444444,0.727223131
quartz,miniqmc,639722222.2,955833333.3,119222222.2,2403305556,2055555.556,2000000,0,55555.55556,61250.47222,121561576.2,27072942.58,525.0555556,30141.88889,124611111.1,1.666
quartz,miniqmc,4986666667,10503407407,4465925926,31303703704,116074074.1,90222222.22,22518518.52,11481481.48,3448976.593,6679013629,1461233059,53501.37037,2105161.111,1515851852,0.9165
