machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,minitri,276000000,391416666.7,43944444.44,981805555.6,0,0,0,0,9814.847222,22952674.4,5325253.222,525.0555556,30141.88889,28638888.89,0.666
quartz,minitri,532888888.9,1361111111,535925925.9,3856148148,23037037.04,15037037.04,3555555.556,1777777.778,556657.3704,1066364420,270784468.9,63862,2105701.741,217777777.8,1
quartz,minitri,394944444.4,560527777.8,61472222.22,1406916667,0,55555.55556,0,0,15544.38889,34669825,7388681.139,525.0555556,30141.90278,39138888.89,0.666
quartz,minitri,846666666.7,2211851852,885925925.9,6260962963,32962962.96,22814814.81,6222222.222,2888888.889,902745.963,1729691348,396551066.7,63893.44444,2105702.852,368222222.2,1
quartz,minitri,338888888.9,494305555.6,58972222.22,1242138889,388888.8889,27777.77778,0,0,22992.79167,52131670,10512477.47,525.0555556,30141.88889,46694444.44,0.666
quartz,minitri,1942888889,4080148148,1636074074,11880888889,48888888.89,35333333.33,9333333.333,3703703.704,1341708.593,2584916933,697524032.9,63894.33333,2105702.889,555555555.6,0.857632933
quartz,minitri,456722222.2,668305555.6,79583333.33,1677722222,1361111.111,55555.55556,0,0,32728.81944,68736750.44,14799208.15,525.0555556,30141.90278,64638888.89,1
quartz,minitri,2728370370,5756296296,2424296296,17013481481,68074074.07,47925925.93,12222222.22,6296296.296,1864982.778,3609230110,1031085152,48304.18519,2104890.111,745555555.6,0.750187547
quartz,minitri,504138888.9,749305555.6,92916666.67,1882666667,1666666.667,194444.4444,0,0,44579.31944,92674329.11,20328253.54,525.0555556,30141.90278,98777777.78,1
quartz,minitri,3495259259,7521111111,2976444444,21772444444,105481481.5,68370370.37,17703703.7,8888888.889,2614190.852,5074570106,1381464788,61296.07407,2105567.407,1088296296,0.900360144
quartz,minitri,613111111.1,917611111.1,114888888.9,2305194444,2722222.222,1861111.111,0,55555.55556,59334.22222,122557352.5,26649786.74,525.0555556,30141.90278,119694444.4,1
quartz,minitri,4797851852,10288370370,4186518519,30001925926,107925925.9,90592592.59,19555555.56,11777777.78,3473356.926,6743077174,1872885814,56099.62963,2105296.593,1449259259,0.75
quartz,minitri,783805555.6,1174000000,146694444.4,2949500000,3500000,2000000,0,55555.55556,76363.47222,149232712.2,33841763.38,525.0555556,30141.90278,157361111.1,1
quartz,minitri,6143851852,13159111111,5395259259,38521851852,125555555.6,116518518.5,26000000,14592592.59,4510672.852,8741768310,2255886942,58697,2105431.889,1961629630,0.6664
