machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
quartz,sw4lite,0.0833,435555555.6,1235527778.0,192194444.4,2783416667.0,42416666.67,6916666.667,11527777.78,2027777.778,2.958333333,138755578.6,38105685.5,550.1388889,30160.16667,250500000.0,2.341336528
quartz,sw4lite,0.1166,1490687500.0,2983437500.0,1061875000.0,8492062500.0,49000000.0,11500000.0,5187500.0,3687500.0,195.375,298655424.1,86349953.0,67175.8125,2106015.031,187000000.0,1.809122313
quartz,sw4lite,0.1,568111111.1,1896916667.0,311472222.2,4213527778.0,82638888.89,16750000.0,17138888.89,4027777.778,3.972222222,236867340.9,67471186.18,548.4166667,30160.22222,451000000.0,3.603743403
quartz,sw4lite,0.15,2858250000.0,5492625000.0,2029125000.0,15906375000.0,65687500.0,22875000.0,9187500.0,9437500.0,189.875,553674506.3,163987519.0,69323.8125,2106148.813,466000000.0,3.508304031
quartz,sw4lite,0.1,443194444.4,1263472222.0,202277777.8,2859166667.0,44000000.0,7027777.778,12194444.44,2027777.778,0.638888889,183353260.3,80617505.57,551.8333333,30161.30556,268861111.1,3.710816139
quartz,sw4lite,0.1,1540812500.0,3090812500.0,1132437500.0,8774750000.0,60312500.0,11437500.0,6187500.0,3750000.0,208.96875,442691126.3,213462160.5,71805.84375,2106283.844,197062500.0,1.918157344
quartz,sw4lite,0.0833,492194444.4,1073388889.0,151277777.8,2471888889.0,45805555.56,6111111.111,12277777.78,2027777.778,2.472222222,85518248.64,90554484.71,551.8611111,30161.30556,360138888.9,4.023353194
quartz,sw4lite,0.0833,1165750000.0,2165125000.0,810250000.0,6271750000.0,53250000.0,13187500.0,7125000.0,5687500.0,188.40625,240687871.5,220271568.1,65020.875,2105883.813,223875000.0,1.66095175
quartz,sw4lite,3.8,46195611111.0,101709000000.0,13663111111.0,231048000000.0,4973333333.0,758944444.4,2230472222.0,272361111.1,2.902777778,3921400493.0,4651602624.0,575.9722222,30158.45833,56353027778.0,224.9788833
quartz,sw4lite,2.4833,116641000000.0,215593000000.0,76956562500.0,613689000000.0,5672312500.0,1207875000.0,677312500.0,424812500.0,303.84375,18975176404.0,9339133989.0,68891.375,2106010.188,15623937500.0,135.3625205
quartz,sw4lite,54.3166,391619000000.0,1135040000000.0,167427000000.0,2478210000000.0,80134472222.0,11311750000.0,43777694444.0,4207916667.0,1.111111111,68821010797.0,72602858005.0,575.9166667,30161.08333,883197000000.0,3174.673627
