machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,minitri,0.0333,260589285.7,365535714.3,39142857.14,915642857.1,35714.28571,17857.14286,0.0,0.0,6343.660714,21573507.92,2039634.188,938.7232143,19688.72321,13767857.14,0.912385652
ruby,minitri,0.0833,263740740.7,754518518.5,265296296.3,2088259259.0,7888888.889,6962962.963,0.0,0.0,334513.1852,630826817.6,83051460.85,52604.18519,1053633.5,77370370.37,0.729043796
ruby,minitri,0.0333,409982142.9,573196428.6,60267857.14,1437178571.0,17857.14286,17857.14286,0.0,0.0,10035.45536,30781419.15,2865114.161,938.7232143,19688.71429,11892857.14,1.261271509
ruby,minitri,0.1,373888888.9,1142740741.0,402111111.1,3149407407.0,12444444.44,12222222.22,0.0,629629.6296,528292.6481,999743338.7,131106971.0,52605.64815,1053633.556,130518518.5,1.137273907
ruby,minitri,0.0333,429946428.6,607428571.4,65428571.43,1523553571.0,17857.14286,17857.14286,0.0,17857.14286,15015.49107,36614351.21,4006782.884,938.7232143,19688.71429,17750000.0,1.317059554
ruby,minitri,0.1,813074074.1,2008666667.0,722296296.3,5678518519.0,23185185.19,19370370.37,444444.4444,592592.5926,787342.6296,1489781903.0,219816551.8,48726.12963,1053498.519,189703703.7,1.871209907
ruby,minitri,0.05,370892857.1,535464285.7,61785714.29,1344553571.0,35714.28571,35714.28571,0.0,0.0,20986.40179,48036312.52,5678030.929,938.7232143,19688.71429,49660714.29,0.999977402
ruby,minitri,0.1,1085555556.0,2777703704.0,990703703.7,7808407407.0,37851851.85,25925925.93,1962962.963,1407407.407,1117860.704,2117859121.0,309571070.1,52618.66667,1053634.037,287592592.6,2.654479019
ruby,minitri,0.05,523696428.6,753625000.0,85517857.14,1892910714.0,142857.1429,35714.28571,0.0,17857.14286,28637.72321,60419099.47,7606029.009,938.7232143,19688.71429,42607142.86,1.471250384
ruby,minitri,0.15,1455962963.0,3771777778.0,1347000000.0,10592444444.0,43592592.59,35481481.48,3296296.296,2925925.926,1530880.889,2903578998.0,419322632.3,52605.16667,1053633.537,397740740.7,3.593544111
ruby,minitri,0.05,526910714.3,770446428.6,91017857.14,1937678571.0,1571428.571,17857.14286,0.0,0.0,38047.34821,81918496.27,10038218.7,938.7232143,19688.71429,71625000.0,1.597377991
ruby,minitri,0.15,1984296296.0,5063407407.0,1831370370.0,14304185185.0,71037037.04,45851851.85,6148148.148,4222222.222,2035600.315,3865951059.0,573118054.1,50659.38889,1053565.796,537888888.9,4.840225315
ruby,minitri,0.05,561035714.3,833303571.4,102428571.4,2096160714.0,1464285.714,53571.42857,0.0,17857.14286,49277.1875,108409444.5,12854003.96,938.7142857,19688.6875,90357142.86,1.827765545
ruby,minitri,0.1666,2572703704.0,6552888889.0,2350407407.0,18463444444.0,86259259.26,67333333.33,9222222.222,5851851.852,2640512.481,5031629298.0,715636914.9,52590.68519,1053633.0,770629629.6,6.243049296
