machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,kripke.exe,4482142.857,29642857.14,7142857.143,63321428.57,1178571.429,785714.2857,35714.28571,35714.28571,6.401785714,16715289.93,13546052.67,938.7232143,19688.72321,1535714.286,1
ruby,kripke.exe,64625000,165812500,61812500,476937500,0,2000000,0,0,969.375,60419673.13,48146727.81,105845.6563,2107278.219,19500000,1
ruby,kripke.exe,8125000,47660714.29,11482142.86,106875000,1196428.571,767857.1429,35714.28571,35714.28571,10.33928571,24634842.96,13646610.15,938.7142857,19688.71429,1571428.571,1.332
ruby,kripke.exe,80750000,234875000,80062500,649000000,0,2000000,0,0,914.3125,88218908.53,46311640.38,105845.6563,2107278.219,17937500,1.750750751
ruby,kripke.exe,13839285.71,77250000,18678571.43,178339285.7,1553571.429,767857.1429,35714.28571,35714.28571,7.589285714,37787414.54,13571254.94,938.7321429,19688.72321,1857142.857,1.250750751
ruby,kripke.exe,103812500,345437500,108062500,919000000,0,2000000,0,0,996.53125,134595129.8,46391406.03,105875.6875,2107279.156,18937500,0.799519808
ruby,kripke.exe,22089285.71,119000000,28767857.14,279267857.1,1964285.714,785714.2857,35714.28571,35714.28571,5.991071429,56244093.04,13651670.38,938.7232143,19688.72321,2000000,1.399759904
ruby,kripke.exe,126687500,479875000,140437500,1238687500,0,2000000,0,0,894.625,199460919.8,47004083.25,105844.7188,2107278.188,19375000,1.501501502
ruby,kripke.exe,32642857.14,172589285.7,41732142.86,408750000,2410714.286,785714.2857,35714.28571,35714.28571,7.383928571,79919896.81,13552237.65,938.7232143,19688.72321,2214285.714,1.333
ruby,kripke.exe,166000000,672062500,189375000,1708937500,1875000,2000000,0,0,957.3125,282247818.1,46426311.72,102541.6563,2107144.594,16937500,1.250750751
ruby,kripke.exe,10000000,63660714.29,14839285.71,136232142.9,2357142.857,1553571.429,107142.8571,53571.42857,3.973214286,34181468.66,27095979.61,938.7232143,19688.72321,3392857.143,1.501501502
ruby,kripke.exe,124875000,337312500,120187500,951750000,0,4000000,0,0,885.6875,121760474.7,92528988.03,105812.7188,2107277.188,52437500,0.799519808
ruby,kripke.exe,20535714.29,113035714.3,25214285.71,252750000,2446428.571,1535714.286,107142.8571,53571.42857,18.05357143,52306683.03,27054722.57,938.7232143,19688.73214,3750000,1.399759904
ruby,kripke.exe,151375000,504437500,153500000,1333250000,0,4000000,0,0,931.6875,185673142.4,92534314,105877.6563,2107279.219,44312500,1
ruby,kripke.exe,38053571.43,195339285.7,42517857.14,447000000,3071428.571,1553571.429,125000,71428.57143,7.535714286,82454013.9,27127263.96,938.7142857,19688.70536,3982142.857,1.572041166
ruby,kripke.exe,217437500,805625000,219812500,2051187500,2000000,4000000,0,0,898.03125,281950519.3,89381829.47,105844.7188,2107278.188,37687500,1.250750751
ruby,kripke.exe,62535714.29,310446428.6,66732142.86,718714285.7,4017857.143,1571428.571,125000,71428.57143,10.4375,124791461.5,27118821.82,938.7232143,19688.72321,3928571.429,1.333333333
ruby,kripke.exe,329875000,1248125000,323062500,3131375000,2312500,3875000,0,0,949.875,439373758.4,96042758.31,105844.6875,2107278.188,33812500,1
ruby,kripke.exe,94160714.29,458678571.4,97875000,1068553571,4875000,1571428.571,160714.2857,71428.57143,9.303571429,179140880.2,27140910.64,938.7321429,19688.72321,4625000,1.307940905
ruby,kripke.exe,404125000,1702125000,412875000,4169125000,4000000,4000000,0,0,930.6875,629508420.2,101969880.7,105844.7188,2107278.188,31437500,1
ruby,kripke.exe,2214285.714,14392857.14,3517857.143,30803571.43,553571.4286,392857.1429,0,17857.14286,7.678571429,8294193.571,6861066.188,938.7142857,19688.71429,714285.7143,1.501501502
ruby,kripke.exe,49875000,98750000,39500000,301125000,0,0,0,0,893.03125,29425713.28,24067664.59,105845.6563,2107278.219,3562500,1.250750751
ruby,kripke.exe,3500000,21571428.57,5464285.714,48482142.86,607142.8571,392857.1429,0,17857.14286,3.0625,11934530.37,6752163.241,938.7232143,19688.72321,732142.8571,1
ruby,kripke.exe,54625000,124437500,46562500,364500000,0,0,0,0,929.9375,43568680.28,23400858.78,105845.6563,2107278.219,3875000,1
ruby,kripke.exe,5821428.571,33785714.29,8714285.714,78571428.57,696428.5714,392857.1429,0,17857.14286,7.419642857,18066345.54,6801909.527,938.7232143,19688.73214,839285.7143,1
ruby,kripke.exe,60812500,165937500,57812500,465687500,0,0,0,0,993.5625,65076544.94,23808707.47,102540.75,2107144.563,3687500,1.250750751
ruby,kripke.exe,8821428.571,50535714.29,13250000,119857142.9,803571.4286,392857.1429,0,17857.14286,6.75,26582694.23,6816837.563,938.7232143,19688.73214,928571.4286,1.332
ruby,kripke.exe,76750000,236437500,78312500,644750000,0,0,0,0,936.1875,95771777,23634809.97,105877.6563,2107279.219,4562500,0.799519808
ruby,kripke.exe,12821428.57,72250000,19089285.71,173392857.1,1035714.286,392857.1429,17857.14286,17857.14286,3.258928571,37543874.59,6781382.071,938.7321429,19688.72321,928571.4286,1.666
ruby,kripke.exe,90750000,315875000,100312500,840375000,0,0,0,0,909.5,134213780.7,23493376.44,105875.6875,2107279.156,5062500,1.501501502
ruby,kripke.exe,2875000,28053571.43,5464285.714,51785714.29,1178571.429,589285.7143,35714.28571,17857.14286,10.66964286,16730073.06,13592711.3,938.7321429,19688.72321,1660714.286,1.501501502
ruby,kripke.exe,63937500,161312500,51375000,408812500,0,0,0,0,946.40625,60326422.63,49186230.81,105877.6563,2107279.219,17750000,1
