machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,laghos,8200000000,19396000000,6214000000,59934000000,148000000,116000000,0,0,3259321,11408071539,5963227690,105104,2240753,260000000,0.333333333
ruby,laghos,22812642857,35977892857,12364785714,96942392857,69964285.71,25571428.57,9071428.571,6464285.714,23731.78571,209875204.1,6475068041,108899.7679,2109464.821,1367178571,0.103455411
ruby,laghos,8196000000,19392000000,6210000000,59936000000,150000000,116000000,0,0,3260591,11411835794,5947028764,105104,2240753,256000000,0.499624906
ruby,laghos,23329571429,36779035714,12612321429,99063000000,69428571.43,25392857.14,9000000,6428571.429,24916.92857,209852623.7,6621737854,108901.75,2109464.857,1353678571,0.1332
ruby,laghos,8428000000,19944000000,6390000000,61630000000,162000000,120000000,0,0,3351209,11734268534,6122195039,105105,2241731,262000000,0.499624906
ruby,laghos,8426000000,19942000000,6388000000,61626000000,162000000,118000000,0,0,3351557,11729692183,6126649140,105104,2241732,260000000,0.444
ruby,laghos,8658000000,20480000000,6562000000,63274000000,168000000,124000000,0,0,3441472,12049886535,6287297521,105104,2242707,268000000,0.444
ruby,laghos,8658000000,20480000000,6562000000,63280000000,166000000,124000000,0,0,3440535,12050147262,6289120064,105104,2242708,262000000,0.444
ruby,laghos,8882000000,21016000000,6734000000,64930000000,170000000,126000000,0,0,3530032,12365049872,6474048625,105103,2243681,276000000,0.444
ruby,laghos,8880000000,21014000000,6732000000,64938000000,172000000,126000000,0,0,3530788,12361102737,6454868939,105103,2243681,270000000,0.5
ruby,laghos,9112000000,21554000000,6906000000,66622000000,176000000,130000000,0,0,3622104,12683629752,6622783170,105105,2244598,284000000,0.444
ruby,laghos,9108000000,21562000000,6908000000,66626000000,176000000,130000000,0,0,3622725,12683111991,6644579302,105104,2244599,276000000,0.444
ruby,laghos,9344000000,22108000000,7084000000,68308000000,170000000,132000000,0,0,3713080,13007135350,6786328251,105104,2245574,292000000,1.222
ruby,laghos,26450428571,41672107143,14322107143,1.12359E+11,79678571.43,29321428.57,10464285.71,7678571.429,25953.125,239195776.9,7354674481,108901.75,2109550.946,1557392857,0.874929683
ruby,laghos,9334000000,22106000000,7082000000,68304000000,170000000,132000000,0,0,3713147,13007105914,6782195441,105104,2245574,290000000,1.222
ruby,laghos,26200392857,41308250000,14187142857,1.11302E+11,79535714.29,29071428.57,10464285.71,7642857.143,23955.64286,239210358.7,7365586318,108901.75,2109550.946,1544714286,1.1
ruby,laghos,9574000000,22658000000,7260000000,70012000000,184000000,136000000,0,0,3807153,13329279629,6997196760,105104,2246551,292000000,1.100240096
ruby,laghos,9578000000,22656000000,7260000000,70014000000,184000000,136000000,0,0,3807273,13330119633,6962952454,105104,2246551,294000000,1.200480192
ruby,laghos,9792000000,23176000000,7426000000,71610000000,192000000,140000000,0,0,3893505,13632517105,7118164667,105104,2247466,304000000,0.923361034
ruby,laghos,9794000000,23172000000,7424000000,71608000000,190000000,140000000,0,0,3894182,13631358759,7120541954,105104,2247465,304000000,1
ruby,laghos,10010000000,23690000000,7590000000,73196000000,198000000,142000000,0,0,3979042,13933312759,7272204894,105104,2248319,310000000,1.091107474
