machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,miniVite,5415929.204,6814159.292,955752.2124,18831858.41,0,0,0,0,0.008849558,1699.716814,3618.982301,999.7168142,19.12389381,0,1.501501502
ruby,miniVite,42031250,56437500,11031250,156937500,0,0,0,0,0.828125,2091022.688,3069653.578,104710.9531,7468.140625,0,1.166
ruby,miniVite,6000000,7592920.354,1061946.903,20938053.1,0,0,0,0,0.008849558,3464.185841,6932.867257,999.7168142,19.11504425,0,1
ruby,miniVite,2743362.832,3433628.319,513274.3363,9486725.664,0,0,0,0,0.008849558,121.9911504,3286.079646,999.7168142,19.08849558,0,1
ruby,miniVite,24125000,34031250,7531250,93687500,0,0,0,0,0.40625,258137.9375,434765.8438,128464.2188,9164.21875,0,1
ruby,miniVite,6761061.947,8566371.681,1238938.053,23646017.7,0,0,0,0,0.017699115,13603.59292,21849.33628,999.7256637,19.12389381,0,1
ruby,miniVite,7132743.363,9026548.673,1256637.168,24849557.52,0,0,0,0,0.008849558,278.8141593,2731.230088,999.7168142,19.10619469,0,1
ruby,miniVite,14750000,24562500,7593750,64781250,0,0,0,0,0.390625,753150.0313,1721689.203,99951.35938,7128.9375,0,0.857632933
ruby,miniVite,2814159.292,3522123.894,513274.3363,9787610.619,0,0,0,0,0.008849558,1679.522124,13378.52212,999.7168142,19.11504425,0,1
ruby,miniVite,20031250,32156250,9406250,87156250,0,0,0,0,0.359375,1413899.172,1917160.5,104710.7969,7468.1875,0,0.857632933
ruby,miniVite,10070796.46,12707964.6,1805309.735,35221238.94,0,0,0,0,0.008849558,2926.353982,7047.849558,999.7256637,19.12389381,0,0.666
ruby,miniVite,2353982.301,2938053.097,407079.646,8123893.805,0,0,0,0,0.008849558,215.8849558,2976.964602,999.7256637,19.08849558,0,1
ruby,miniVite,25593750,35437500,7781250,97468750,0,0,0,0,0.5625,241112.4531,635565.4219,118989.7031,8485.78125,0,1
ruby,miniVite,8106194.69,10159292.04,1451327.434,28194690.27,0,0,0,0,0.017699115,16213.0708,74282.69912,999.7168142,19.11504425,0,1
ruby,miniVite,3097345.133,3893805.31,548672.5664,10849557.52,0,0,0,0,0.008849558,295.1150442,2462.566372,999.7256637,19.10619469,0,1
ruby,miniVite,23593750,34968750,8562500,95500000,0,0,0,0,0.546875,780590.9063,1633391.688,128508.6875,9164.203125,0,0.857632933
ruby,miniVite,3486725.664,4407079.646,619469.0265,12230088.5,0,0,0,0,0.008849558,1098.017699,11114.07965,999.7256637,19.11504425,0,2.006024096
ruby,miniVite,22125000,32968750,8937500,92968750,0,0,0,0,0.4375,1969286.359,2804694.516,104711.0313,7468.015625,0,0.857632933
ruby,miniVite,9946902.655,12584070.8,1787610.619,34884955.75,0,0,0,0,0.008849558,15966.70796,19350.41593,999.7168142,19.13274336,0,1
ruby,miniVite,5115044.248,6407079.646,902654.8673,17716814.16,0,0,0,0,0.008849558,193.3097345,3439.911504,999.7256637,19.08849558,0,1
ruby,miniVite,20625000,31250000,9156250,86656250,0,0,0,0,0.65625,244015.9375,484726.9531,114229.7969,8146.578125,0,0.857632933
ruby,miniVite,20088495.58,25362831.86,3628318.584,70318584.07,0,0,0,0,0.008849558,9222.548673,91673.90265,999.7168142,19.13274336,0,1.501501502
ruby,miniVite,8920353.982,11274336.28,1592920.354,31292035.4,0,0,0,0,0.008849558,254.6371681,3169.893805,999.7256637,19.09734513,0,1
