machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,minigan,196714285.7,274232142.9,28553571.43,687410714.3,17857.14286,17857.14286,0,0,4006.696429,12115520.58,1211790.143,938.7232143,19688.72321,5375000,1.501501502
ruby,minigan,158592592.6,449740740.7,160740740.7,1258592593,4666666.667,4333333.333,0,0,202033,377002254.3,44499259.17,50659.38889,1053565.796,45481481.48,1.200480192
ruby,minigan,181625000,255785714.3,27410714.29,642821428.6,0,0,0,0,6447.982143,19444892.59,1730669.821,938.7232143,19688.71429,12839285.71,1
ruby,minigan,230777777.8,686185185.2,247370370.4,1915296296,6925925.926,6888888.889,0,0,320388.6481,602372268.5,70805501.7,50672.38889,1053566.278,77703703.7,1.501501502
ruby,minigan,258000000,364285714.3,39267857.14,914607142.9,17857.14286,0,0,0,9440.071429,28052364.15,2463914.821,938.7232143,19688.71429,15178571.43,1.501501502
ruby,minigan,507296296.3,1203111111,443481481.5,3471814815,13555555.56,11259259.26,0,185185.1852,472102.8704,890227605.1,103666936.8,48726.11111,1053498.519,112518518.5,1.200480192
ruby,minigan,250303571.4,359285714.3,40214285.71,900892857.1,17857.14286,17857.14286,0,0,12988.07143,27784828.4,3415588.152,938.7232143,19688.71429,27785714.29,1
ruby,minigan,679148148.1,1665555556,616222222.2,4792888889,22481481.48,14925925.93,592592.5926,703703.7037,673848.8889,1274510835,151212810.8,48726.55556,1053498.537,170148148.1,1.166
ruby,minigan,267214285.7,387785714.3,45250000,974785714.3,17857.14286,35714.28571,0,0,17662.51786,39474986.18,4650732.482,938.7321429,19688.71429,37607142.86,0.666
ruby,minigan,915000000,2255111111,828481481.5,6474074074,25222222.22,20407407.41,1740740.741,962962.963,921798.3519,1746875266,200989735.4,50672.38889,1053566.278,240740740.7,1
ruby,minigan,248696428.6,369928571.4,45625000,931589285.7,35714.28571,35714.28571,0,0,23255,49014013.22,6036394.446,938.7232143,19688.71429,42803571.43,1
ruby,minigan,1192740741,2974074074,1095000000,8530740741,42370370.37,27444444.44,3370370.37,2222222.222,1223580.389,2329089393,274987765.6,50672.85185,1053566.296,340407407.4,1.12528132
ruby,minigan,281660714.3,424482142.9,54410714.29,1069839286,17857.14286,35714.28571,0,0,29848.16071,62271244.15,7653104.732,938.7232143,19688.72321,52875000,1
ruby,minigan,1580666667,3891185185,1432962963,11178555556,51444444.44,40222222.22,5296296.296,3037037.037,1576622.241,3006359147,344501148.5,52605.16667,1053633.537,448074074.1,1.110666667
