machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,miniqmc,237928571.4,331839285.7,34964285.71,832589285.7,17857.14286,0,0,0,5236.223214,13234721.94,1611424.732,938.7142857,19688.69643,15678571.43,1.501501502
ruby,miniqmc,211851851.9,602481481.5,210555555.6,1670222222,6444444.444,5740740.741,0,0,269013.1111,504763567,63207665.15,50672.38889,1053566.278,59259259.26,1.200480192
ruby,miniqmc,325267857.1,454910714.3,47821428.57,1141589286,0,0,0,0,8110.285714,19783661.72,2252141.009,938.7232143,19688.72321,15250000,1
ruby,miniqmc,305629629.6,917888888.9,328111111.1,2548888889,9777777.778,9518518.519,0,111111.1111,424028.0926,802053710.7,99194891.24,48713.61111,1053498.056,102370370.4,1.200480192
ruby,miniqmc,346642857.1,489357142.9,52857142.86,1228285714,17857.14286,35714.28571,0,0,12009.77679,28532813.96,3208518.741,938.7232143,19688.71429,18250000,0.666
ruby,miniqmc,659925925.9,1604888889,583037037,4574222222,18444444.44,15444444.44,148148.1481,629629.6296,627278.1852,1186760853,159306341.5,48714.05556,1053498.074,149074074.1,1.399759904
ruby,miniqmc,238339285.7,347785714.3,41446428.57,874000000,17857.14286,17857.14286,0,0,17242.91964,49958217.19,4639023,938.7232143,19688.71429,33607142.86,1.501501502
ruby,miniqmc,896888888.9,2238814815,814148148.1,6364148148,29851851.85,20518518.52,1333333.333,888888.8889,890553.2778,1684336774,224761241.9,50672.38889,1053566.278,228296296.3,1.166
ruby,miniqmc,427250000,614285714.3,69589285.71,1542303571,0,35714.28571,0,17857.14286,23130.48214,53668292.87,6225646.955,938.7232143,19688.71429,56500000,1
ruby,miniqmc,1210407407,3039074074,1098222222,8613259259,33925925.93,27814814.81,2333333.333,2000000,1218994.407,2309612668,306086144.4,48726.12963,1053498.519,318037037,1.2864494
ruby,miniqmc,377214285.7,555535714.3,67357142.86,1397339286,1035714.286,17857.14286,0,17857.14286,30774.78571,66500267.07,8083655.402,938.7232143,19688.71429,43357142.86,1.501501502
ruby,miniqmc,1587000000,4012851852,1453185185,11378518519,57259259.26,36851851.85,4777777.778,3259259.259,1631197.667,3097113950,417037646.3,52618.66667,1053634.037,448851851.9,1.375093773
ruby,miniqmc,508035714.3,746178571.4,89357142.86,1876107143,1625000,35714.28571,0,17857.14286,39585.33036,83965956.03,10209124.47,938.7232143,19688.71429,69857142.86,0.600240096
ruby,miniqmc,2086555556,5238444444,1921259259,14918296296,68666666.67,53629629.63,7222222.222,4333333.333,2101243.574,4000800789,522287404.4,52618.68519,1053634.037,612851851.9,1.091107474
