machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,minitri,260589285.7,365535714.3,39142857.14,915642857.1,35714.28571,17857.14286,0,0,6343.660714,21573507.92,2039634.188,938.7232143,19688.72321,13767857.14,1.501501502
ruby,minitri,263740740.7,754518518.5,265296296.3,2088259259,7888888.889,6962962.963,0,0,334513.1852,630826817.6,83051460.85,52604.18519,1053633.5,77370370.37,1
ruby,minitri,409982142.9,573196428.6,60267857.14,1437178571,17857.14286,17857.14286,0,0,10035.45536,30781419.15,2865114.161,938.7232143,19688.71429,11892857.14,1.501501502
ruby,minitri,373888888.9,1142740741,402111111.1,3149407407,12444444.44,12222222.22,0,629629.6296,528292.6481,999743338.7,131106971,52605.64815,1053633.556,130518518.5,1
ruby,minitri,429946428.6,607428571.4,65428571.43,1523553571,17857.14286,17857.14286,0,17857.14286,15015.49107,36614351.21,4006782.884,938.7232143,19688.71429,17750000,1.501501502
ruby,minitri,813074074.1,2008666667,722296296.3,5678518519,23185185.19,19370370.37,444444.4444,592592.5926,787342.6296,1489781903,219816551.8,48726.12963,1053498.519,189703703.7,1.166
ruby,minitri,370892857.1,535464285.7,61785714.29,1344553571,35714.28571,35714.28571,0,0,20986.40179,48036312.52,5678030.929,938.7232143,19688.71429,49660714.29,1
ruby,minitri,1085555556,2777703704,990703703.7,7808407407,37851851.85,25925925.93,1962962.963,1407407.407,1117860.704,2117859121,309571070.1,52618.66667,1053634.037,287592592.6,1.333
ruby,minitri,523696428.6,753625000,85517857.14,1892910714,142857.1429,35714.28571,0,17857.14286,28637.72321,60419099.47,7606029.009,938.7232143,19688.71429,42607142.86,1
ruby,minitri,1455962963,3771777778,1347000000,10592444444,43592592.59,35481481.48,3296296.296,2925925.926,1530880.889,2903578998,419322632.3,52605.16667,1053633.537,397740740.7,1.110666667
ruby,minitri,526910714.3,770446428.6,91017857.14,1937678571,1571428.571,17857.14286,0,0,38047.34821,81918496.27,10038218.7,938.7232143,19688.71429,71625000,1
ruby,minitri,1984296296,5063407407,1831370370,14304185185,71037037.04,45851851.85,6148148.148,4222222.222,2035600.315,3865951059,573118054.1,50659.38889,1053565.796,537888888.9,1.333333333
ruby,minitri,561035714.3,833303571.4,102428571.4,2096160714,1464285.714,53571.42857,0,17857.14286,49277.1875,108409444.5,12854003.96,938.7142857,19688.6875,90357142.86,1
ruby,minitri,2572703704,6552888889,2350407407,18463444444,86259259.26,67333333.33,9222222.222,5851851.852,2640512.481,5031629298,715636914.9,52590.68519,1053633,770629629.6,1.50060024
