machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,XSBench,2.6333,13592000000.0,16798000000.0,7642000000.0,55810000000.0,1240000000.0,136000000.0,528000000.0,38000000.0,0.0,509263308.0,763296296.0,0.0,0.0,832000000.0,20.863901
ruby,XSBench,8.55,13380000000.0,16702000000.0,7630000000.0,54714000000.0,1124000000.0,136000000.0,488000000.0,38000000.0,0.0,509072142.0,763618447.0,0.0,0.0,862000000.0,19.202924
ruby,XSBench,0.9666,25342000000.0,27774000000.0,13164000000.0,99100000000.0,1180000000.0,274000000.0,510000000.0,40000000.0,0.0,509220898.0,763797657.0,0.0,0.0,5682000000.0,27.706774
ruby,XSBench,3.5666,29498000000.0,36756000000.0,16642000000.0,120652000000.0,2858000000.0,334000000.0,1276000000.0,126000000.0,0.0,1068783545.0,1603106383.0,0.0,0.0,2734000000.0,46.502648
ruby,XSBench,10.4666,29274000000.0,36662000000.0,16632000000.0,119500000000.0,2724000000.0,332000000.0,1214000000.0,124000000.0,0.0,1068764276.0,1603045344.0,0.0,0.0,2736000000.0,44.038627
ruby,XSBench,2.5,54758000000.0,60332000000.0,28460000000.0,214118000000.0,2842000000.0,634000000.0,1260000000.0,130000000.0,0.0,1068581351.0,1603265946.0,0.0,0.0,14278000000.0,62.898683
ruby,XSBench,1.0833,686000000.0,720000000.0,316000000.0,3006000000.0,30000000.0,4000000.0,0.0,0.0,0.0,24115408.0,36234966.0,0.0,0.0,6000000.0,0.587069
ruby,XSBench,3.9,524000000.0,644000000.0,306000000.0,2160000000.0,30000000.0,4000000.0,0.0,0.0,0.0,24664062.0,36313730.0,0.0,0.0,6000000.0,0.590753
ruby,XSBench,1.0666,6754000000.0,3996000000.0,1986000000.0,22648000000.0,44000000.0,10000000.0,4000000.0,0.0,0.0,24466568.0,36267862.0,0.0,0.0,106000000.0,4.641038
ruby,XSBench,0.2333,130000000.0,138000000.0,60000000.0,578000000.0,16000000.0,0.0,0.0,0.0,0.0,4893335.0,6949856.0,0.0,0.0,0.0,0.169478
ruby,XSBench,0.75,100000000.0,124000000.0,58000000.0,416000000.0,4000000.0,0.0,0.0,0.0,0.0,5149057.0,7045299.0,0.0,0.0,0.0,0.125353
ruby,XSBench,0.25,394000000.0,308000000.0,152000000.0,1422000000.0,6000000.0,0.0,0.0,0.0,0.0,4936398.0,7174000.0,0.0,0.0,12000000.0,0.335948
ruby,XSBench,2.5666,13592000000.0,16798000000.0,7642000000.0,55810000000.0,1242000000.0,136000000.0,528000000.0,38000000.0,0.0,508804575.0,763627134.0,0.0,0.0,856000000.0,20.931283
ruby,XSBench,8.4333,13380000000.0,16702000000.0,7630000000.0,54714000000.0,1124000000.0,136000000.0,488000000.0,38000000.0,0.0,509062411.0,763490666.0,0.0,0.0,836000000.0,19.583118
ruby,XSBench,0.7333,25338000000.0,27772000000.0,13164000000.0,99096000000.0,1180000000.0,278000000.0,512000000.0,40000000.0,0.0,508813099.0,763771546.0,0.0,0.0,5704000000.0,27.655607
ruby,XSBench,3.5666,29500000000.0,36760000000.0,16642000000.0,120656000000.0,2860000000.0,330000000.0,1280000000.0,124000000.0,0.0,1068759357.0,1603236378.0,0.0,0.0,2712000000.0,46.227483
ruby,XSBench,10.3833,29276000000.0,36660000000.0,16632000000.0,119500000000.0,2724000000.0,330000000.0,1216000000.0,122000000.0,0.0,1068450465.0,1603189800.0,0.0,0.0,2736000000.0,43.964159
