machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,sw4lite,0.05,338750000.0,873982142.9,129053571.4,1991053571.0,20964285.71,2125000.0,0.0,0.0,0.4375,85097093.98,14434351.7,954.8392857,19700.49107,79553571.43,1.583915152
ruby,sw4lite,0.15,1071321429.0,2154392857.0,790178571.4,6124285714.0,20571428.57,6000000.0,0.0,2000000.0,378.2142857,410329369.9,34499366.79,110684.7321,2108922.464,118214285.7,1.168885286
ruby,sw4lite,0.0666,367571428.6,1221375000.0,196839285.7,2717107143.0,43410714.29,6232142.857,178571.4286,17857.14286,0.482142857,154933234.9,25901012.88,953.7321429,19700.52679,130142857.1,2.872304571
ruby,sw4lite,0.1666,2050178571.0,3982678571.0,1494607143.0,11463857143.0,37821428.57,11857142.86,2000000.0,6000000.0,269.3571429,725014997.1,68674768.71,110672.7321,2108924.536,293821428.6,2.142470179
ruby,sw4lite,0.0666,420446428.6,996535714.3,145250000.0,2300910714.0,20732142.86,2125000.0,0.0,0.0,4.339285714,114853548.5,37772241.53,955.9285714,19701.17857,77821428.57,2.706344991
ruby,sw4lite,0.15,1064071429.0,2178964286.0,802571428.6,6185750000.0,20500000.0,6000000.0,0.0,1964285.714,339.4642857,496844435.2,103236040.4,110806.7321,2108923.857,120750000.0,1.211327375
ruby,sw4lite,0.0833,334982142.9,714446428.6,97964285.71,1652285714.0,23571428.57,2107142.857,4553571.429,232142.8571,0.4375,55457018.86,40558928.28,955.9464286,19701.1875,171107142.9,3.149168375
ruby,sw4lite,0.15,1022321429.0,1896071429.0,735714285.7,5505321429.0,24428571.43,7035714.286,1428571.429,3964285.714,341.6785714,424859338.0,113856926.8,110920.7321,2108925.875,173357142.9,1.137666875
ruby,sw4lite,2.6,34911500000.0,72409732143.0,9245571429.0,166324000000.0,2619000000.0,334892857.1,466178571.4,126446428.6,3.803571429,2486610345.0,1651579983.0,971.4553571,19699.36607,19859892857.0,146.9434216
ruby,sw4lite,1.3666,66645107143.0,134392000000.0,48003250000.0,375023000000.0,2821142857.0,614321428.6,117035714.3,230392857.1,473.5535714,20092394111.0,3725568941.0,112601.7321,2108921.214,9821821429.0,68.26632055
ruby,sw4lite,33.0333,273681000000.0,758720000000.0,107655000000.0,1668190000000.0,43201000000.0,5255803571.0,10514571429.0,2118053571.0,3.830357143,44307517133.0,25359467933.0,971.4107143,19701.03571,328072000000.0,1960.620523
ruby,sw4lite,17.2333,826535000000.0,1720930000000.0,593387000000.0,4762890000000.0,47462535714.0,7453214286.0,1963571429.0,2897821429.0,427.6964286,143902000000.0,52398929597.0,112597.7321,2108924.571,110423000000.0,951.2882605
ruby,sw4lite,2.8833,41140142857.0,81098125000.0,10153464286.0,187955000000.0,2635553571.0,332071428.6,489642857.1,126875000.0,351.9285714,2628856460.0,1683863500.0,7089.991071,20454.67857,19417178571.0,159.2494141
ruby,sw4lite,1.6,89914964286.0,159597000000.0,60144107143.0,464672000000.0,2881607143.0,614571428.6,172035714.3,230928571.4,2724.660714,20352516019.0,3810945955.0,797933.7321,2110432.839,9105321429.0,84.07389191
ruby,sw4lite,32.1833,242778000000.0,716786000000.0,103847000000.0,1563390000000.0,43236892857.0,5242375000.0,10534035714.0,2116946429.0,1463.321429,44557937107.0,25423542405.0,7092.651786,23001.86607,331976000000.0,1964.406274
ruby,sw4lite,17.2833,814291000000.0,1709110000000.0,587363000000.0,4717530000000.0,47538321429.0,7465535714.0,2042428571.0,2895892857.0,4272.053571,144398000000.0,52604254881.0,798231.7321,2115527.196,110528000000.0,946.316001
