machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,TestDfft,0.0666,2096000000.0,2438000000.0,1322000000.0,12104000000.0,86000000.0,120000000.0,52000000.0,56000000.0,2060.0,229350628.0,6306913.0,105137.0,2208120.0,924000000.0,2.723009
ruby,TestDfft,0.0833,406062500.0,980562500.0,444562500.0,3187625000.0,2000000.0,2125000.0,0.0,0.0,1144.96875,104723349.6,40674402.84,105841.7813,2107371.406,20500000.0,0.415230844
ruby,TestDfft,0.0833,2474000000.0,2902000000.0,1640000000.0,14612000000.0,204000000.0,210000000.0,80000000.0,80000000.0,2055.0,166003146.0,2307648.0,105137.0,2208120.0,3044000000.0,4.005808
ruby,TestDfft,0.0833,385437500.0,659000000.0,298625000.0,2238562500.0,4000000.0,6000000.0,0.0,0.0,1166.59375,33401603.06,46080081.03,105873.7813,2107372.406,45312500.0,0.565122188
ruby,TestDfft,0.1333,4654000000.0,4340000000.0,2454000000.0,24166000000.0,272000000.0,330000000.0,130000000.0,134000000.0,2046.0,354784438.0,4881012.0,105137.0,2208121.0,3488000000.0,6.716224
ruby,TestDfft,0.0833,801125000.0,1328312500.0,598875000.0,4537125000.0,6000000.0,8000000.0,1875000.0,2000000.0,1044.4375,88487713.44,92502659.44,105841.7813,2107371.406,109687500.0,0.701121781
ruby,TestDfft,0.25,8934000000.0,7916000000.0,4508000000.0,45514000000.0,450000000.0,546000000.0,280000000.0,264000000.0,2048.0,585003115.0,5284654.0,105137.0,2208120.0,3888000000.0,13.677553
ruby,TestDfft,0.1,1524750000.0,2133812500.0,949375000.0,7472125000.0,11812500.0,16000000.0,3812500.0,4000000.0,1050.8125,98345446.69,176891187.3,105841.7813,2107371.406,265312500.0,1.265234188
ruby,TestDfft,0.4166,15458000000.0,13818000000.0,7902000000.0,79258000000.0,944000000.0,1102000000.0,484000000.0,458000000.0,2038.0,1045874302.0,10486772.0,105138.0,2208131.0,9072000000.0,24.352284
ruby,TestDfft,0.1333,2735562500.0,3926250000.0,1771750000.0,13742875000.0,20000000.0,29562500.0,6000000.0,8000000.0,1055.65625,207008423.5,320639436.1,105873.8125,2107372.75,471375000.0,2.312580219
ruby,TestDfft,0.6166,18512000000.0,15280000000.0,8836000000.0,91278000000.0,1766000000.0,1346000000.0,700000000.0,664000000.0,2036.0,1065501958.0,3383707.0,105137.0,2208131.0,14652000000.0,34.197756
ruby,TestDfft,0.1166,3473750000.0,4248812500.0,1870625000.0,15051812500.0,31875000.0,48000000.0,15625000.0,18000000.0,1069.71875,80723613.75,510971839.8,105841.7813,2107371.75,864562500.0,2.913652156
ruby,TestDfft,0.0166,52000000.0,100000000.0,50000000.0,410000000.0,0.0,2000000.0,0.0,0.0,2226.0,19185656.0,513189.0,105137.0,2208098.0,6000000.0,0.055031
ruby,TestDfft,0.0833,52375000.0,109437500.0,42937500.0,320000000.0,,,,,1176.5,8018199.531,12140098.75,105873.7813,2107371.719,0.0,0.055748563
ruby,TestDfft,0.0166,344000000.0,584000000.0,320000000.0,2568000000.0,16000000.0,34000000.0,8000000.0,8000000.0,2087.0,153799213.0,1378660.0,105137.0,2208109.0,114000000.0,0.371792
ruby,TestDfft,0.0666,96187500.0,233062500.0,101375000.0,718000000.0,,,,,1097.8125,23086373.69,17438422.63,105873.7813,2107372.063,6000000.0,0.106133094
ruby,TestDfft,0.1,2938000000.0,3276000000.0,1856000000.0,16870000000.0,240000000.0,252000000.0,94000000.0,94000000.0,2457.0,189960539.0,2298703.0,105137.0,2208692.0,3108000000.0,4.61004
ruby,TestDfft,0.0833,430750000.0,697312500.0,314875000.0,2394062500.0,4000000.0,6000000.0,0.0,0.0,1139.71875,35607108.03,54778234.75,105842.75,2107389.313,52687500.0,0.607388375
ruby,TestDfft,0.7333,22200000000.0,18278000000.0,10568000000.0,109534000000.0,2116000000.0,1616000000.0,858000000.0,790000000.0,2442.0,1264628810.0,3473786.0,105137.0,2208706.0,17468000000.0,40.969139
ruby,TestDfft,0.1333,4033375000.0,4848687500.0,2138375000.0,17291750000.0,39437500.0,57687500.0,19187500.0,22000000.0,1062.125,85035825.69,600300875.9,105841.7813,2107389.688,1076625000.0,3.41752675
ruby,TestDfft,0.0166,62000000.0,110000000.0,56000000.0,460000000.0,0.0,4000000.0,0.0,0.0,2599.0,28916761.0,502419.0,105137.0,2208666.0,6000000.0,0.076514
ruby,TestDfft,0.0666,59812500.0,120250000.0,46500000.0,350062500.0,,,,,1110.5,11527781.91,12444538.06,105873.7813,2107389.469,0.0,0.060475656
ruby,TestDfft,0.0166,404000000.0,642000000.0,352000000.0,2882000000.0,20000000.0,40000000.0,8000000.0,10000000.0,2447.0,134584824.0,1427732.0,105137.0,2208679.0,132000000.0,0.396074
ruby,TestDfft,0.0833,107125000.0,247437500.0,106812500.0,762750000.0,,,,,1157.75,18344374.72,17797399.06,105873.7813,2107389.875,6500000.0,0.110167594
ruby,TestDfft,0.1333,3404000000.0,3650000000.0,2074000000.0,19114000000.0,274000000.0,288000000.0,108000000.0,108000000.0,2828.0,213815907.0,2308830.0,105137.0,2209264.0,3758000000.0,5.339796
ruby,TestDfft,0.1,492687500.0,767625000.0,345562500.0,2650125000.0,4000000.0,8000000.0,1812500.0,1687500.0,1098.125,34822832.31,63404614.75,105841.7813,2107407.156,58750000.0,0.68177625
ruby,TestDfft,0.8333,25876000000.0,21206000000.0,12274000000.0,127172000000.0,2478000000.0,1874000000.0,1014000000.0,962000000.0,2828.0,1467460620.0,3399670.0,105137.0,2209280.0,18108000000.0,47.339793
ruby,TestDfft,0.15,4794562500.0,5737375000.0,2527687500.0,20439562500.0,45437500.0,67000000.0,22000000.0,25375000.0,1072.34375,92595854.66,681768440.3,105873.7813,2107408.625,1251000000.0,3.929553219
ruby,TestDfft,0.0166,70000000.0,114000000.0,56000000.0,486000000.0,2000000.0,4000000.0,0.0,0.0,2922.0,25594503.0,487051.0,105137.0,2209235.0,6000000.0,0.05503
ruby,TestDfft,0.0833,67062500.0,131812500.0,50812500.0,381937500.0,,,,,1214.625,8742443.75,15787259.19,105842.75,2107406.25,187500.0,0.065740719
ruby,TestDfft,0.0166,462000000.0,690000000.0,380000000.0,3176000000.0,22000000.0,44000000.0,10000000.0,12000000.0,2854.0,152090136.0,1372534.0,105137.0,2209250.0,134000000.0,0.446292
ruby,TestDfft,0.0666,119375000.0,265000000.0,113500000.0,816625000.0,,,,,1086.4375,19457924.97,20768390.25,105842.75,2107406.719,7875000.0,0.120881219
ruby,TestDfft,0.1,3046000000.0,3178000000.0,1764000000.0,16664000000.0,122000000.0,182000000.0,76000000.0,84000000.0,3017.0,280304388.0,6355349.0,105137.0,2209550.0,1380000000.0,3.916382
ruby,TestDfft,0.0833,526687500.0,1115500000.0,502375000.0,3681875000.0,4000000.0,4000000.0,0.0,0.0,1092.8125,106580146.1,57390959.53,105873.7813,2107417.094,30312500.0,0.490300063
ruby,TestDfft,0.1833,6912000000.0,6162000000.0,3486000000.0,35004000000.0,408000000.0,496000000.0,196000000.0,202000000.0,3009.0,474737151.0,4900732.0,105138.0,2209550.0,4950000000.0,10.349526
ruby,TestDfft,0.1,1150500000.0,1743000000.0,777937500.0,6020625000.0,8000000.0,14000000.0,2000000.0,2000000.0,1112.5625,97169252.22,147231049.4,105841.7813,2107416.094,166375000.0,1.194739875
ruby,TestDfft,0.3666,13332000000.0,11492000000.0,6548000000.0,67046000000.0,682000000.0,808000000.0,420000000.0,398000000.0,3571.0,819145683.0,5279777.0,105137.0,2209551.0,5596000000.0,20.039545
ruby,TestDfft,0.1333,2209437500.0,2906375000.0,1287500000.0,10291125000.0,16750000.0,26000000.0,5375000.0,6000000.0,1076.75,110595093.8,278833671.0,105873.8125,2107417.094,388500000.0,1.7804515
ruby,TestDfft,0.6333,23034000000.0,19988000000.0,11500000000.0,116400000000.0,1410000000.0,1672000000.0,724000000.0,690000000.0,2982.0,1455347930.0,10362770.0,105137.0,2209566.0,13864000000.0,36.146945
ruby,TestDfft,0.1333,4054375000.0,5422312500.0,2420437500.0,19115000000.0,30000000.0,44000000.0,10000000.0,12000000.0,1051.96875,209219743.4,497046657.9,105841.7813,2107416.594,679562500.0,3.250006656
ruby,TestDfft,0.1166,3866000000.0,4010000000.0,2286000000.0,21302000000.0,310000000.0,322000000.0,120000000.0,122000000.0,3187.0,239822865.0,2299596.0,105137.0,2209836.0,4128000000.0,5.932309
ruby,TestDfft,0.1,552125000.0,834312500.0,374125000.0,2894000000.0,6000000.0,8000000.0,2000000.0,2000000.0,1141.65625,37448429.0,72722871.72,105842.75,2107425.063,67187500.0,0.440596
ruby,TestDfft,0.9333,29562000000.0,24190000000.0,14004000000.0,145392000000.0,2846000000.0,2144000000.0,1180000000.0,1152000000.0,3187.0,1668493591.0,3521009.0,105137.0,2209853.0,19680000000.0,53.320359
ruby,TestDfft,0.15,5295437500.0,6294812500.0,2762812500.0,22479375000.0,52000000.0,76062500.0,25437500.0,28250000.0,1104.375,98664908.59,825872590.8,105842.75,2107425.594,1385812500.0,4.466920813
ruby,TestDfft,0.0166,78000000.0,120000000.0,60000000.0,526000000.0,2000000.0,4000000.0,0.0,0.0,3262.0,25950441.0,535595.0,105137.0,2209803.0,8000000.0,0.070041
ruby,TestDfft,0.0666,72375000.0,140625000.0,53812500.0,406062500.0,,,,,1212.40625,10431442.59,16173954.13,105873.7813,2107424.969,1875000.0,0.305621156
ruby,TestDfft,0.0166,518000000.0,728000000.0,404000000.0,3440000000.0,24000000.0,48000000.0,12000000.0,14000000.0,3211.0,162452061.0,1375659.0,105137.0,2209820.0,154000000.0,0.491446
ruby,TestDfft,0.0833,126125000.0,270812500.0,114875000.0,834375000.0,0.0,62500.0,0.0,0.0,1107.65625,18728467.41,23384715.0,105842.75,2107424.531,8687500.0,0.125989563
ruby,TestDfft,0.1333,4334000000.0,4396000000.0,2510000000.0,23606000000.0,344000000.0,362000000.0,134000000.0,136000000.0,3582.0,262276851.0,2299779.0,105137.0,2210411.0,4462000000.0,6.47734
ruby,TestDfft,0.1,612625000.0,904562500.0,404625000.0,3150000000.0,6000000.0,10000000.0,2000000.0,2000000.0,1189.28125,38162117.13,81275725.69,105873.7813,2107443.969,74625000.0,0.480017188
ruby,TestDfft,1.0333,33246000000.0,27156000000.0,15726000000.0,163368000000.0,3172000000.0,2418000000.0,1272000000.0,1210000000.0,3576.0,1871096080.0,3418920.0,105137.0,2210429.0,24666000000.0,61.098228
ruby,TestDfft,0.1666,6050625000.0,7126875000.0,3142437500.0,25530500000.0,59187500.0,86187500.0,29062500.0,32437500.0,1083.25,105069817.3,877527184.9,105873.7813,2107444.563,1522000000.0,4.982346938
ruby,TestDfft,0.0166,86000000.0,128000000.0,64000000.0,566000000.0,2000000.0,6000000.0,0.0,0.0,3746.0,26467050.0,511554.0,105137.0,2210373.0,10000000.0,0.070038
ruby,TestDfft,0.0666,79687500.0,151687500.0,57250000.0,435875000.0,,,,,1098.03125,10529734.81,17458334.94,105873.7813,2107442.781,1937500.0,0.075591563
ruby,TestDfft,0.0166,580000000.0,788000000.0,438000000.0,3766000000.0,28000000.0,56000000.0,12000000.0,16000000.0,3580.0,164146427.0,1383973.0,105137.0,2210391.0,172000000.0,0.561834
ruby,TestDfft,0.0833,137312500.0,290312500.0,123062500.0,895875000.0,0.0,2000000.0,0.0,0.0,1102.59375,21474856.25,25221914.16,105873.7813,2107443.375,10500000.0,0.130413344
ruby,TestDfft,0.1,4004000000.0,3962000000.0,2224000000.0,21394000000.0,164000000.0,244000000.0,100000000.0,112000000.0,3955.0,331733006.0,6386579.0,105137.0,2210984.0,1778000000.0,5.076418
ruby,TestDfft,0.0833,637000000.0,1238312500.0,556500000.0,4139750000.0,4000000.0,6000000.0,0.0,0.0,1075.09375,109377671.2,73599937.84,105873.7813,2107461.906,38625000.0,0.797423031
ruby,TestDfft,0.15,4798000000.0,4772000000.0,2728000000.0,25840000000.0,380000000.0,390000000.0,148000000.0,150000000.0,3966.0,293063772.0,2321079.0,105137.0,2210984.0,5046000000.0,7.283607
ruby,TestDfft,0.1,696812500.0,1012062500.0,450250000.0,3520000000.0,6000000.0,10000000.0,2000000.0,2000000.0,1122.09375,37383365.88,86956523.97,105841.7813,2107460.906,81562500.0,0.751540313
ruby,TestDfft,0.25,9174000000.0,8044000000.0,4608000000.0,46284000000.0,544000000.0,664000000.0,260000000.0,270000000.0,3957.0,592170320.0,4802054.0,105136.0,2210982.0,6720000000.0,12.829109
ruby,TestDfft,0.0833,1491687500.0,2131875000.0,947937500.0,7429125000.0,11875000.0,18000000.0,3812500.0,4000000.0,1157.4375,103103206.4,193220208.9,105841.7813,2107460.906,232562500.0,1.418267531
ruby,TestDfft,0.4833,17720000000.0,15072000000.0,8610000000.0,88502000000.0,878000000.0,1090000000.0,542000000.0,530000000.0,3967.0,1061497527.0,5275147.0,105137.0,2210984.0,7224000000.0,26.408636
ruby,TestDfft,0.1333,2880500000.0,3656812500.0,1621812500.0,13062250000.0,22750000.0,34000000.0,7687500.0,9125000.0,1127.34375,119685963.3,362132537.5,105871.8125,2107461.844,522125000.0,3.053317281
ruby,TestDfft,0.85,30630000000.0,26270000000.0,15148000000.0,153984000000.0,1884000000.0,2228000000.0,966000000.0,920000000.0,3991.0,1881703556.0,10704150.0,105137.0,2211005.0,19446000000.0,46.964544
ruby,TestDfft,0.15,5347812500.0,6861625000.0,3051687500.0,24345000000.0,40000000.0,59000000.0,12000000.0,16000000.0,1061.0625,223152167.8,625646206.7,105873.7813,2107462.563,919937500.0,4.192105656
