machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec)
ruby,amg,0.1,0.0,0.0,0.0,2000000.0,,,,,0.0,132.21875,18824.6875,105803.9375,2107258.938,0.0,0.046693281
ruby,amg,0.0666,0.0,0.0,0.0,2000000.0,,,,,0.0,90.84375,16731.59375,105803.9375,2107258.938,0.0,0.238657781
ruby,amg,0.1,0.0,0.0,0.0,2000000.0,,,,,0.0,102.96875,17162.46875,105835.9375,2107259.938,0.0,0.041590719
ruby,amg,0.0833,0.0,0.0,0.0,2000000.0,,,,,0.0,115.34375,16228.71875,105835.9375,2107259.938,0.0,0.046594375
ruby,amg,0.0833,0.0,0.0,0.0,2000000.0,,,,,0.0,123.40625,17322.1875,105803.9375,2107258.938,0.0,0.042129844
ruby,amg,0.4,16603375000.0,26143437500.0,7385312500.0,73890187500.0,175625000.0,20812500.0,18812500.0,7500000.0,664.375,990987274.0,1225451157.0,59583.53125,2105406.625,464187500.0,18.32962866
ruby,amg,0.1,53187500.0,76812500.0,23000000.0,222312500.0,0.0,0.0,0.0,0.0,1158.8125,1855402.281,4372343.313,89282.75,2106608.563,2187500.0,0.106053031
ruby,amg,0.0833,156937500.0,291437500.0,56625000.0,747312500.0,1625000.0,125000.0,0.0,0.0,854.96875,14812022.66,15478628.63,99230.34375,2107010.594,11625000.0,0.280159094
ruby,amg,0.1166,1351250000.0,2423062500.0,552875000.0,6421375000.0,18687500.0,3125000.0,2062500.0,437500.0,908.1875,122732127.5,154860009.6,69494.53125,2105807.563,60812500.0,1.921765688
ruby,amg,0.0833,38062500.0,47937500.0,18625000.0,149750000.0,0.0,0.0,0.0,0.0,1127.875,225846.1563,2864124.031,89318.25,2106609.625,875000.0,0.252315469
ruby,amg,0.3833,5574928571.0,9514375000.0,788267857.1,22309464286.0,67375000.0,8625000.0,14589285.71,4071428.571,35.26785714,314966636.6,158337944.9,938.7232143,19688.65179,887000000.0,20.37717671
ruby,amg,0.05,246678571.4,341250000.0,34000000.0,852107142.9,17857.14286,17857.14286,0.0,0.0,30.125,566510.5179,378250.5714,938.7142857,19688.64286,5428571.429,0.661284473
ruby,amg,2.25,20875196429.0,43763410714.0,3108696429.0,97328625000.0,593803571.4,52839285.71,77982142.86,24178571.43,35.625,2534970395.0,1266740050.0,938.7232143,19688.65179,3341892857.0,129.8171361
ruby,amg,0.0333,344464285.7,498696428.6,47785714.29,1228696429.0,839285.7143,35714.28571,0.0,0.0,32.19642857,4725014.616,2554051.723,938.7232143,19688.65179,13553571.43,1.312658982
ruby,amg,0.1,1308785714.0,2022750000.0,181017857.1,4882142857.0,9785714.286,142857.1429,3053571.429,17857.14286,36.60714286,38899152.31,19966189.54,938.7232143,19688.65179,56642857.14,4.421066098
ruby,amg,0.05,91071428.57,124946428.6,12428571.43,313196428.6,0.0,0.0,0.0,0.0,20.14285714,64705.76786,81493.16964,938.7142857,19688.64286,1642857.143,0.122297018
ruby,amg,3.0666,126120000000.0,220434000000.0,50023000000.0,582851000000.0,1793437500.0,197000000.0,217312500.0,96250000.0,952.0,10555042453.0,17283776754.0,86040.5,2106476.75,7203875000.0,172.1841278
ruby,amg,0.0833,365437500.0,601937500.0,180250000.0,1662812500.0,7687500.0,2937500.0,0.0,500000.0,894.15625,21628209.75,39960093.91,69495.8125,2105807.625,24437500.0,0.412548844
ruby,amg,0.1166,1451000000.0,2858812500.0,578750000.0,7212375000.0,31625000.0,7375000.0,2062500.0,1625000.0,887.03125,165448082.5,203139864.7,59584.53125,2105406.5,107000000.0,2.098549844
ruby,amg,0.3833,11368687500.0,22478500000.0,4630000000.0,56789000000.0,208687500.0,35875000.0,28437500.0,12625000.0,972.71875,1310616254.0,1706953674.0,82710.78125,2106342.313,956375000.0,17.60372416
ruby,amg,0.0833,211875000.0,291875000.0,103500000.0,866437500.0,5312500.0,1875000.0,0.0,0.0,870.09375,2939908.594,17183241.94,89316.5625,2106609.5,18500000.0,0.250623531
